robot,scale,method,witness_feasible,baseline,units,gained_uids,lost_uids,stable_gained_uids,stable_lost_uids,success_difference,latency_ratio,latency_difference_ns
ur5e,1.0,trac_position_5ms,True,trac_strict_5ms,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.9893661286269153, 0.9785204495815509, 0.9982564116281286]","[-2318.1782666666672, -4743.828603333334, -378.16105000000016]"
ur5e,1.0,dls_strict,True,trac_strict_5ms,2500,[],['dab5891153ba33a9cc2d0fdc4f5af00030e7ee0af078623529bb3fcbabe00280'],[],['dab5891153ba33a9cc2d0fdc4f5af00030e7ee0af078623529bb3fcbabe00280'],"[-0.0004, -0.0012, 0.0]","[12.646373935896852, 12.17345280555202, 13.118556996764353]","[2538903.283333333, 2438470.54623, 2637785.1506433333]"
ur5e,1.0,trac_task_5ms,True,trac_strict_5ms,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.9599691958876585, 0.9493298179559628, 0.9702812501609906]","[-8726.693866666667, -11124.44538333333, -6445.170889999999]"
ur5e,1.0,trac_task_20ms,True,trac_strict_20ms,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.9444555572739374, 0.9097027420174004, 0.9666612989177102]","[-12323.035733333336, -20718.516986666666, -7263.987743333334]"
ur5e,1.0,trac_strict_20ms,True,trac_strict_5ms,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[1.017704434301715, 0.9966143614728872, 1.0528775030870674]","[3859.5572, -740.7771166666669, 11526.549500000003]"
ur5e,1.0,trac_orientation_5ms,True,trac_strict_5ms,2500,[],['029850a8ccc57e4392ac1e4a25ce3f75bb2f50eda61ebd8bbd381b4e7187e672'],[],[],"[-0.00013333333333333334, -0.0004, 0.0]","[1.005557802027263, 0.9931181966099887, 1.0192133450760605]","[1211.5978666666665, -1519.7432066666668, 4168.165836666668]"
ur5e,1.0,dls_task,True,dls_strict,2500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.23810586966704275, 0.22976873651609311, 0.246950509192791]","[-2100468.0216, -2199153.8168800003, -2001601.25789]"
ur5e,1.0,dls_task,False,dls_strict,500,[],[],[],[],"[0.0, 0.0, 0.0]","[1.0070449349254165, 0.9956031099934325, 1.0210345414584527]","[35286.046, -22082.498349999998, 105060.91335000003]"
ur5e,1.0,trac_task_20ms,False,trac_strict_20ms,500,[],[],[],[],"[0.0, 0.0, 0.0]","[1.0002177720725718, 0.9999671641273222, 1.0004748602718805]","[4424.632666666619, -667.2570166667681, 9646.62951666659]"
ur5e,1.0,trac_strict_20ms,False,trac_strict_5ms,500,[],[],[],[],"[0.0, 0.0, 0.0]","[3.849020495291506, 3.84661620165787, 3.8513244949409864]","[15039049.432, 15034624.751450002, 15043519.2941]"
ur5e,1.0,trac_position_5ms,False,trac_strict_5ms,500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.999955417336115, 0.9992711359076681, 1.0006385532735458]","[-235.33733333334513, -3848.9382166666883, 3369.7921666666316]"
ur5e,1.0,trac_task_5ms,False,trac_strict_5ms,500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.9998750167100529, 0.9991434431776005, 1.0005979101747946]","[-659.746, -4522.564833333315, 3154.390283333343]"
ur5e,1.0,dls_strict,False,trac_strict_5ms,500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.9488579414147764, 0.9427893512975383, 0.9555653726562534]","[-269962.2373333333, -302013.48501666664, -234540.75498333332]"
ur5e,1.0,trac_orientation_5ms,False,trac_strict_5ms,500,[],[],[],[],"[0.0, 0.0, 0.0]","[0.9996440245935451, 0.9988867085765268, 1.0003559794893075]","[-1879.0780000000075, -5879.070766666673, 1877.7892833333085]"
