robot,method,method_label,trajectory_count,whole_trajectory_completion_count,whole_trajectory_completion_rate,frame_count,frame_verified_success_rate,total_cumulative_latency_seconds,trajectory_cumulative_latency_mean_ms,trajectory_cumulative_latency_median_ms,trajectory_cumulative_latency_p95_ms,frame_p50_latency_ms,frame_p95_latency_ms,frame_p99_latency_ms,mean_fev,fallback_rate,accepted_contract_violation_count,cumulative_latency_ratio_vs_hard,mean_fev_ratio_vs_hard,p50_ratio_vs_hard,p95_ratio_vs_hard,p99_ratio_vs_hard
panda,fixed_robust_cascade,Fixed robust cascade,80,41,0.5125,12000,0.7651666666666667,487.637722234,6095.471527925,339.7389155,22719.759722649997,1.653199,236.31614169999963,355.56466852,63.79025,0.23591666666666666,0,1.0330339345186053,1.0482492957881488,1.0011806210993555,1.0313075737196506,1.005642270724442
panda,always_hard,Fixed hard-entry cascade,80,40,0.5,12000,0.76475,472.044243601,5900.5530450125,1015.73868,22356.131255049997,1.6512495,229.14225369999997,353.56973237,60.854083333333335,0.23666666666666666,0,1.0,1.0,1.0,1.0,1.0
panda,counterfactual_cghik_v4,CG-HIK,80,41,0.5125,12000,0.7679166666666667,267.31291445,3341.411430625,389.316696,14468.890952599992,1.8438665,201.56378134999994,353.67185238999997,33.36991666666667,0.1245,0,0.5662878386373223,0.5483595321595784,1.1166492404691115,0.8796447538387808,1.000288825684584
ur5e,fixed_robust_cascade,Fixed robust cascade,80,34,0.425,12000,0.6645,143.300932247,1791.2616530875,1958.801192,3846.2470423499994,1.55566,38.80889399999998,51.462694550000016,39.153416666666665,0.3378333333333333,0,1.0367029207097072,1.1114709500378501,0.9982469109184339,1.0184868638218796,1.0126336326034355
ur5e,always_hard,Fixed hard-entry cascade,80,34,0.425,12000,0.6639166666666667,138.227576468,1727.8447058499999,1958.517446,3689.33601595,1.558392,38.104462,50.82064519000001,35.22666666666667,0.33841666666666664,0,1.0,1.0,1.0,1.0,1.0
ur5e,counterfactual_cghik_v4,CG-HIK,80,34,0.425,12000,0.6639166666666667,62.265563281,778.3195410125,561.212704,2292.2646131499996,1.73122,29.744968599999996,39.085212090000006,12.28625,0.12983333333333333,0,0.45045688329357797,0.34877696820590465,1.1109014933341548,0.7806164170484811,0.7690813830457
