robot,query_sha256,family,entry,predicted_p95_ms,observed_empirical_p95_ms,selected_action,semantic_success
ur5e,14ef57bfaca196cfc499890ba19ec3c17e853024d90552d4f8a808eaf76b58b7,workspace_boundary,easy,2.8208260536193848,1.8227571999999999,hard,True
ur5e,327039b62198cbe8fd05084292320349f05bd1ff1f592f458474cb23e2a63719,near_singular,easy,3.852410078048706,1.5533788,hard,True
ur5e,8bd8be5799c40f61a28e3ceac871ad9ef7f7dc273b76797d1600f2d48cb3d936,id,easy,2.932356834411621,3.0553154,hard,True
ur5e,6ac8ded84ba46ced20aae42c6ed7f50179c01bcd7173b73f33f8899fbb1098ee,id,easy,2.7405195236206055,2.2558086,hard,True
ur5e,51be575aebc327b7915497d2a5b999c79798520736ea371e9a2cdc6ce9d1b7f0,id,easy,2.2897868156433105,1.896896,easy,True
ur5e,7f926c77504aa93bfea740c0492217e52f91f97c5ebf45c24eedcd0c3c23be6a,id,easy,4.226322174072266,3.3161712,hard,True
ur5e,9101b440eb55e5f7e8057cc414b1bfb939c0c22c99b1c61fc4871d38ead0d332,unreachable,easy,162.6040496826172,57.9649304,reject,False
ur5e,f03d943dbb9472eb91b96a101d4a9cddb95c64bb808e424a0e8141d1243ba7ed,hard_valid,easy,3.2409138679504395,3.0546302,hard,True
ur5e,13bb0d48ea9a1f769369cee5d31b3bc639f7331424c6ef95dee6dc4d9beb81da,id,easy,2.5896482467651367,1.7976458,hard,True
ur5e,2cb912916c3d51020a15ecdf0ac46324707858d3a00284acde5479dc4e2ad168,id,easy,3.5382795333862305,3.6237256,hard,True
ur5e,7b18a6084f18adc99d312bc4834e5a5b150430285303d3b90040b05babf9f80e,hard_valid,easy,4.243898391723633,3.1407626,hard,True
ur5e,77a8193fb5db44e1698970ff00e35c166d3403e0f8531550bc4ffab627259461,large_step,easy,82.86344909667969,54.7775896,reject,False
ur5e,77536bac52656aabffb7b0e6b3094f77cab15898755369d5a6c7e8abcd660ccc,hard_valid,easy,3.231600046157837,3.3361214,hard,True
ur5e,6770a3f92de2813726e4f9c5dfb258465db3c56223e108adf3052aba40e770cc,hard_valid,easy,4.244993686676025,3.354539,hard,True
ur5e,818fe7a4493a5f195f1f49c0bfb23e65a2905b14d0cd922ea6e94c595c71104b,id,easy,4.864171504974365,3.0703208,hard,True
ur5e,15e69196fed9020a87ed5b5bd022753d52f4d1614897809f0a38ec48a0118e7a,id,easy,2.981065511703491,2.0786682,hard,True
ur5e,83dd4fd68c7bd3e2f8c587ce4405c1231abfe24ba11f7e8e752338d82ed075bc,workspace_boundary,easy,3.0766687393188477,1.9884754000000002,hard,True
ur5e,fc73312b134e5e75eb344e3ba50dd8dc882e418014abe01689cd78a4f1b6a6ea,id,easy,2.4938998222351074,1.6913384,hard,True
ur5e,0bc43771c4a7e3a0e1cc1b16a4586e3b511c7bbbd31ce013370aef5ff05a8480,id,easy,2.9461991786956787,1.7753656,hard,True
ur5e,d2abb85a371eebbc5c00ae0d6dc029d24b7624481d8ce20d5f301781c6501805,id,easy,2.555237293243408,1.9421023999999998,hard,True
