robot,entry,count,rate
panda,easy,4673,0.26692180270748844
panda,medium,4861,0.27766036442565833
panda,hard,7973,0.4554178328668533
ur5e,easy,4117,0.23413330300272975
ur5e,medium,4460,0.2536396724294813
ur5e,hard,9007,0.5122270245677889
