robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations
panda,cr_ik,CR-IK,all,80,3,"[69,67,67]",67.66666666666667,0.8458333333333334,"[69,64,65]",0.825,0.9376249999999999,0.9375416666666666,5.6711585,6.45431675,6.548445789999998,138824.97209466668,1735.3121511833335,1721.0486156666666,1856.3202105,0.09375,0.90625,0.0009929280685787919,0.0009999999756559786,0.008726553196340994,0.008726643629870771,0.9999999999999999,7.614299667049982,0.15228599334099965,274.19166666666666,0
panda,pink_qp,Pink QP-IK,all,80,1,[68],68.0,0.85,[68],0.85,0.9328749999999999,0.9328749999999999,1.0140165,1.0472512,1.09847191,22593.478682,282.418483525,287.064307,305.5149532,0.0,0.0,0.00030240605572069826,0.0009429945425579927,0.0006178175610105542,0.0085123740568515,1.0,6.092039989126593,0.12184079978253189,277.15,0
panda,ranged_ik_positive_range,RangedIK (positive-range adapter),all,80,1,[0],0.0,0.0,[0],0.0,0.013000000000000001,0.013000000000000001,0.258868,0.41981454999999995,0.5092504999999997,7103.175778,88.789697225,84.780181,108.76900539999993,0.0,0.0,0.0007118260932375184,0.0009957954868109304,0.004627053354115094,0.00688059017676567,0.12756253789582586,0.03312204748537415,0.000662440949707483,2.125,0
panda,ranged_ik_upstream,RangedIK (original cutoff),all,80,1,[0],0.0,0.0,[0],0.0,0.019291666666666662,0.019291666666666662,0.299999,0.4256973999999999,0.5020974699999997,7547.913117,94.3489139625,92.39002099999999,110.47547839999999,0.0,0.0,0.0009443591754819789,0.0009979775616469277,0.004075631773781499,0.007416579985328328,0.9999999999999993,1.2949194974225948,0.025898389948451894,2.6125,0
panda,single_step_reserve,Single-step reserve,all,80,3,"[40,40,39]",39.666666666666664,0.4958333333333333,"[40,39,38]",0.4875,0.7396805555555555,0.7396388888888888,4.226261,6.1509083,9.13920179,116549.41997766666,1456.8677497208332,1444.8115761666668,1777.8879379833334,0.26765277777777785,0.7323472222222221,0.0009999900649844292,0.0009999998706342252,0.008726559686466639,0.008726646039511357,0.9822050403973638,8.906533987711134,0.17813067975422264,199.52916666666667,0
panda,trac_task_20ms,TRAC-IK task 20 ms,all,80,3,"[65,66,67]",66.0,0.825,"[61,64,65]",0.7916666666666667,0.9080277777777778,0.9079166666666666,0.166323,20.2407465,20.27040104,48792.98980633334,609.9123725791667,52.35961366666667,3985.8445675999997,0.0,0.0,0.0004902149867141465,0.000991437659250486,0.000881987425775016,0.007801129590958359,1.0,5.3688629320043315,0.10737725864008664,268.0625,0
panda,trac_task_5ms,TRAC-IK task 5 ms,all,80,3,"[64,64,65]",64.33333333333333,0.8041666666666666,"[62,64,63]",0.7875,0.9033472222222223,0.9032777777777778,0.1659605,5.2183411500000005,5.25664138,16059.631398666666,200.74539248333332,52.208003,1068.8592886499998,0.0,0.0,0.0004832467440078777,0.0009721805793466657,0.0008482842216557883,0.007960762974189007,1.0,5.330626053858057,0.10661252107716114,263.4291666666667,0
panda,two_step_predictive,Two-step predictive,all,80,3,"[63,63,64]",63.333333333333336,0.7916666666666667,"[59,60,63]",0.7583333333333333,0.8998611111111111,0.8997361111111111,3.798139,6.2696898,6.3258972,97197.25180866667,1214.9656476083333,1137.4640506666665,1655.5098599833334,0.10695833333333334,0.8909999999999999,0.00021210876898329918,0.0009997594424880304,0.001967627119002278,0.008235274730492683,0.9999999999999993,5.560779312517068,0.11121558625034138,263.4166666666667,0
panda,two_step_sigma,Two-step sigma-min,all,80,3,"[63,62,62]",62.333333333333336,0.7791666666666667,"[62,61,55]",0.7416666666666667,0.8928750000000001,0.8927222222222222,6.1429305,6.5394315999999995,6.7533983,146844.87023533334,1835.5608779416666,1835.6059283333334,1932.45794475,0.11869444444444446,0.8813055555555555,0.0004327338577786885,0.0009999931196739505,0.003513640454868574,0.00872655891296182,0.9999999999999998,8.105849143427777,0.16211698286855558,263.26666666666665,0
ur5e,cr_ik,CR-IK,all,80,3,"[74,71,74]",73.0,0.9125,"[70,69,73]",0.8833333333333334,0.9749722222222222,0.9748749999999998,5.211428,5.6219572,6.3539603200000006,125654.12716366666,1570.6765895458334,1563.8886630000002,1605.3220532833332,0.063875,0.9361250000000001,0.0009547306236955823,0.0009999985555672478,0.008726558944101834,0.008726628510055835,0.9999999999999998,11.909149062400187,0.23818298124800377,287.73333333333335,0
ur5e,pink_qp,Pink QP-IK,all,80,1,[61],61.0,0.7625,[61],0.7625,0.9048333333333332,0.9048333333333332,0.6385265,0.7593634499999999,0.8281422499999996,15682.489876,196.03112345,192.50415800000002,217.5482904,0.0,0.0,0.00029063536856260245,0.0009964273070274927,0.0005878568864009846,0.008211259878565712,1.0,14.340159246676047,0.28680318493352097,255.9,0
ur5e,ranged_ik_positive_range,RangedIK (positive-range adapter),all,80,1,[0],0.0,0.0,[0],0.0,0.013833333333333331,0.013833333333333331,0.23574,0.3779847499999999,0.45380211999999936,6428.566753,80.3570844125,77.35389649999999,93.04382374999989,0.0,0.0,0.0008862212570549778,0.0009932764814688027,0.00642516093568019,0.008587122662060496,0.08059801427068536,0.0522367071400186,0.001044734142800372,2.175,0
ur5e,ranged_ik_upstream,RangedIK (original cutoff),all,80,1,[0],0.0,0.0,[0],0.0,0.03175,0.03175,0.277264,0.40657309999999997,0.5068896999999989,7056.161847,88.20202308750001,85.8939345,109.8531163,0.0,0.0,0.0009034004262001703,0.000999019813296209,0.0030548953292206115,0.00825481866301073,0.5978574678420366,0.7759673284073159,0.01551934656814632,5.1875,0
ur5e,single_step_reserve,Single-step reserve,all,80,3,"[27,29,29]",28.333333333333332,0.35416666666666663,"[25,27,28]",0.33333333333333337,0.6542777777777776,0.6541666666666667,3.8805795,6.033791150000001,8.708804869999996,112842.89945499999,1410.5362431874998,1414.2814625,1767.5253656166665,0.3591944444444444,0.6407222222222223,0.0009999895429751372,0.0009999999051416568,0.00872656092213603,0.008726646144516487,0.9959457542575401,6.753011979069766,0.13506023958139532,176.42916666666667,0
ur5e,trac_task_20ms,TRAC-IK task 20 ms,all,80,3,"[73,75,73]",73.66666666666667,0.9208333333333334,"[71,73,73]",0.9041666666666666,0.9732222222222222,0.9731527777777778,0.151342,0.24299985000000004,20.219730239999997,16964.534755,212.0566844375,47.63153166666666,713.1467046333296,0.0,0.0,0.0004428144685707858,0.000970392407431011,0.000744879135750327,0.008369443743246194,1.0,12.583530042075981,0.25167060084151965,287.12916666666666,0
ur5e,trac_task_5ms,TRAC-IK task 5 ms,all,80,3,"[69,69,71]",69.66666666666667,0.8708333333333333,"[68,67,66]",0.8375,0.9534722222222222,0.9533472222222222,0.151293,0.5302292000000002,5.20999523,9702.102933666667,121.27628667083334,47.6112315,516.8561778999999,0.0,0.0,0.00044017319858105256,0.0009804796835741294,0.0007391159176464387,0.008534239001180655,0.9999999999999998,12.422031212471806,0.2484406242494361,281.8208333333333,0
ur5e,two_step_predictive,Two-step predictive,all,80,3,"[67,71,67]",68.33333333333333,0.8541666666666666,"[63,68,67]",0.825,0.9413472222222222,0.9412499999999999,3.51837,6.150595900000001,6.21291576,88141.17753933334,1101.7647192416666,1055.421476,1445.42357485,0.07059722222222223,0.9274444444444444,0.00018377459156466826,0.0009999899984439928,0.0027055548702764713,0.0087265589624377,0.9999999999999998,8.601185965794786,0.1720237193158957,277.6125,0
ur5e,two_step_sigma,Two-step sigma-min,all,80,3,"[59,61,60]",60.0,0.75,"[56,60,56]",0.7166666666666667,0.8829722222222222,0.8828333333333334,5.38399,6.38279025,6.43743105,131993.08835499999,1649.9136044374998,1631.3422249999999,1826.9780274666664,0.1294861111111111,0.8705138888888889,0.0004258340446045864,0.0009999962614559222,0.0033988071562103374,0.008726558087797284,0.9999999999999998,10.953314122066946,0.21906628244133894,257.65,0
