robot,cohort,group,method,unique_qps,source_uids,calls,quality_failed_calls,quality_failed_qps,max_box,max_raw_kkt,max_normalized_kkt,max_scaled_objective_gap,kernel_mean_us,kernel_p50_us,kernel_p95_us,kernel_p99_us,return_mean_us,return_p50_us,return_p95_us,return_p99_us,common_check_mean_us,common_check_p50_us,common_check_p95_us,common_check_p99_us,total_mean_us,total_p50_us,total_p95_us,total_p99_us,first_call_mean_us,steady_call_mean_us
panda,natural,all,active_numpy,971,8,4855,0,0,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,27.45621709577755,26.843,28.893,34.77666,27.65618455200824,27.041,29.097900000000003,35.253800000000005,44.44802595262616,44.149,46.448,49.22112,72.1042105046344,71.323,75.1442,83.14772,76.197,72.07021017653166
panda,natural,all,clip,971,8,4855,0,0,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,5.585844696189496,5.141,6.235,7.8886,5.7566273944387225,5.305,6.438,8.226140000000004,41.47788444902163,41.214,43.2095,44.92134,47.23451184346035,46.621,48.9929,53.55292000000001,51.080375000000004,47.20256282450675
panda,natural,all,osqp_cached,971,8,4855,0,0,0.0,6.6279426391702145e-09,9.218181773462675e-12,1.807838333701358e-15,14.597708341915551,14.37,15.597,21.082060000000002,36.060220185375904,35.509,38.6058,44.3593,44.66903542739444,44.371,46.359,48.88146,80.72925561277034,80.022,84.1918,90.31014000000002,94.41845,80.61553437175492
panda,natural,all,qpoases,971,8,4855,0,0,0.0,4.547473508864641e-13,1.27675647831893e-15,1.6364849026697765e-15,2.3752714727085475,2.092,2.6376000000000004,7.194620000000014,12.007686920700309,10.682,12.800900000000002,46.56640000000001,43.792180432543766,43.395,46.0549,49.137600000000006,55.799867353244075,54.171,58.5555,92.41628,89.168575,55.522661059190035
panda,natural,unconstrained,active_numpy,971,8,4855,0,0,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,27.45621709577755,26.843,28.893,34.77666,27.65618455200824,27.041,29.097900000000003,35.253800000000005,44.44802595262616,44.149,46.448,49.22112,72.1042105046344,71.323,75.1442,83.14772,76.197,72.07021017653166
panda,natural,unconstrained,clip,971,8,4855,0,0,0.0,2.2737367544323206e-13,1.942890293094024e-16,0.0,5.585844696189496,5.141,6.235,7.8886,5.7566273944387225,5.305,6.438,8.226140000000004,41.47788444902163,41.214,43.2095,44.92134,47.23451184346035,46.621,48.9929,53.55292000000001,51.080375000000004,47.20256282450675
panda,natural,unconstrained,osqp_cached,971,8,4855,0,0,0.0,6.6279426391702145e-09,9.218181773462675e-12,1.807838333701358e-15,14.597708341915551,14.37,15.597,21.082060000000002,36.060220185375904,35.509,38.6058,44.3593,44.66903542739444,44.371,46.359,48.88146,80.72925561277034,80.022,84.1918,90.31014000000002,94.41845,80.61553437175492
panda,natural,unconstrained,qpoases,971,8,4855,0,0,0.0,4.547473508864641e-13,1.27675647831893e-15,1.6364849026697765e-15,2.3752714727085475,2.092,2.6376000000000004,7.194620000000014,12.007686920700309,10.682,12.800900000000002,46.56640000000001,43.792180432543766,43.395,46.0549,49.137600000000006,55.799867353244075,54.171,58.5555,92.41628,89.168575,55.522661059190035
panda,targeted,all,active_numpy,2000,22,10000,0,0,0.0,4.547473508864641e-13,3.3306690738754696e-16,0.0,26.983103000000003,18.54,97.14959999999999,119.14041000000003,27.261159600000003,18.845,97.39684999999997,119.46270000000001,44.9518708,44.728,46.958,48.19001,72.2130304,63.81,143.69539999999998,166.13,92.97855454545454,71.98206905965621
panda,targeted,all,clip,2000,22,10000,9980,1996,0.0,1.9999999999980052,0.8814994994471678,14819.584640907617,5.5861992,5.193,5.871,8.27301,5.8373833,5.443,6.215,8.584350000000008,41.6793401,41.453,43.2312,45.22838000000001,47.5167234,46.912,49.125099999999996,57.78331000000003,48.76393636363637,47.5028514661274
