robot,cohort,group,comparison,metric,all_qps,quality_paired_qps,source_uids,ratio,ci95_low,ci95_high,unit
panda,targeted,internal_set_change,active_numpy / osqp_cached,return_ns,283,282,22,0.584462494337887,0.37866659334857405,0.9279484616871726,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,internal_set_change,active_numpy / osqp_cached,total_ns,283,282,22,0.7187003852374163,0.53063348549664,0.9604991801416053,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,internal_set_change,active_numpy / clip,kernel_ns,283,4,4,9.389708929452393,9.084156669019054,9.807724113489142,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,internal_set_change,active_numpy / clip,return_ns,283,4,4,9.101899547726731,8.870053373999237,9.465811723316122,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,internal_set_change,active_numpy / clip,total_ns,283,4,4,2.0050818631643055,1.976099232051422,2.0529555109551882,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,multiple_active,active_numpy / qpoases,kernel_ns,1820,1820,11,9.83187718347866,7.399777720772394,12.75679558291484,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,multiple_active,active_numpy / qpoases,return_ns,1820,1820,11,3.028203826487081,2.474315777259168,3.6500045267171077,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,multiple_active,active_numpy / qpoases,total_ns,1820,1820,11,1.4935803643473686,1.3563087024861475,1.6416168266474318,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,multiple_active,active_numpy / osqp_cached,kernel_ns,1820,1820,11,0.04631192696295576,0.022795218391597743,0.13284770676287386,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,multiple_active,active_numpy / osqp_cached,return_ns,1820,1820,11,0.04542737061322681,0.022612216093606717,0.12574428080724975,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,multiple_active,active_numpy / osqp_cached,total_ns,1820,1820,11,0.0908443898371761,0.0517047301298972,0.2168084745437324,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,one_active,active_numpy / qpoases,kernel_ns,176,176,19,4.416864565056278,3.4789978614827337,5.842712056662014,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,one_active,active_numpy / qpoases,return_ns,176,176,19,2.0444929877318163,1.7829518161994924,2.3366204097890093,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,one_active,active_numpy / qpoases,total_ns,176,176,19,1.3195850590747276,1.2486644820878114,1.385815523104629,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,one_active,active_numpy / osqp_cached,kernel_ns,176,173,19,0.35905715236145597,0.2415317016371035,0.5956196066398414,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,one_active,active_numpy / osqp_cached,return_ns,176,173,19,0.2957444090631276,0.20953668067974948,0.4397333778118605,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,one_active,active_numpy / osqp_cached,total_ns,176,173,19,0.48117736796428817,0.37291641078199395,0.6333445532542649,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,sequence_set_change,active_numpy / qpoases,kernel_ns,165,165,22,3.9674103733762873,3.171067420635079,5.25840072292527,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,sequence_set_change,active_numpy / qpoases,return_ns,165,165,22,2.2425396789899383,1.892396273781801,2.7189019913505357,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,sequence_set_change,active_numpy / qpoases,total_ns,165,165,22,1.436811084106007,1.3352051281067836,1.5623686115994446,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,sequence_set_change,active_numpy / osqp_cached,kernel_ns,165,165,22,0.6955364645583656,0.4276611160286574,1.2485684417569387,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,sequence_set_change,active_numpy / osqp_cached,return_ns,165,165,22,0.5280966477045386,0.35616464307201945,0.8079368348927969,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,sequence_set_change,active_numpy / osqp_cached,total_ns,165,165,22,0.6750516386256679,0.5133585036419852,0.8859061315971218,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,sequence_set_change,active_numpy / clip,kernel_ns,165,4,4,9.389708929452393,9.084156669019054,9.807724113489142,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,sequence_set_change,active_numpy / clip,return_ns,165,4,4,9.101899547726731,8.870053373999237,9.465811723316122,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,sequence_set_change,active_numpy / clip,total_ns,165,4,4,2.0050818631643055,1.976099232051422,2.0529555109551882,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,unconstrained,active_numpy / qpoases,kernel_ns,4,4,4,9.57266152314084,8.903123589679575,10.201198033995494,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,unconstrained,active_numpy / qpoases,return_ns,4,4,4,3.0844812287240044,2.419886353283546,3.687546442418758,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,unconstrained,active_numpy / qpoases,total_ns,4,4,4,1.563837682117602,1.4488091473304987,1.6622218454773021,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,unconstrained,active_numpy / osqp_cached,kernel_ns,4,4,4,2.1850721662740344,1.928863719627677,2.4310558757604865,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,unconstrained,active_numpy / osqp_cached,return_ns,4,4,4,0.9644858474099156,0.7255186405267656,1.1770015433587344,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,unconstrained,active_numpy / osqp_cached,total_ns,4,4,4,0.9611946731247292,0.7771022266208999,1.1007800782486252,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,unconstrained,active_numpy / clip,kernel_ns,4,4,4,9.389708929452393,9.084156669019054,9.807724113489142,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,unconstrained,active_numpy / clip,return_ns,4,4,4,9.101899547726731,8.870053373999237,9.465811723316122,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
panda,targeted,unconstrained,active_numpy / clip,total_ns,4,4,4,2.0050818631643055,1.976099232051422,2.0529555109551882,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
ur5e,natural,all,active_numpy / qpoases,kernel_ns,1000,1000,8,11.270921423777443,11.0469158922583,11.498198110964218,UID equal-weight; five calls averaged within each QP; QPs averaged within UID
