robot,family,frame_count,local_occupancy,robust_occupancy,frame_verified_success,learned_seed_invocation_rate,transition_frame_rate,local_probe_rate
panda,smooth_multi_joint,1500,0.9933333333333333,0.006666666666666667,1.0,0.006666666666666667,0.0,0.0
panda,wrist_orientation,1500,0.9933333333333333,0.006666666666666667,1.0,0.006666666666666667,0.0,0.0
panda,low_manipulability,1500,0.9933333333333333,0.006666666666666667,1.0,0.006666666666666667,0.0,0.0
panda,joint_limit_skimming,1500,0.9933333333333333,0.006666666666666667,1.0,0.006666666666666667,0.0,0.0
ur5e,smooth_multi_joint,1500,0.9386666666666666,0.06133333333333333,0.9446666666666667,0.062,0.0006666666666666666,0.005333333333333333
ur5e,wrist_orientation,1500,0.842,0.158,0.868,0.15933333333333333,0.005333333333333333,0.014
ur5e,low_manipulability,1500,0.9933333333333333,0.006666666666666667,1.0,0.006666666666666667,0.0,0.0
ur5e,joint_limit_skimming,1500,0.9933333333333333,0.006666666666666667,1.0,0.006666666666666667,0.0,0.0
