robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,zero_cost_verified_rate,optimization_rate,command_change_rate,mean_intervention
panda,pink_qp,Pink QP-IK,all,40,3,"[37,37,37]",37.0,0.925,"[37,37,37]",0.925,0.9831666666666666,0.9831666666666666,1.0028085,1.0530610499999997,1.2730358599999998,5539.146070333333,138.47865175833334,142.85148533333336,152.32363741666666,0.0,0.0,0.00019646269395097397,0.0009854507257299875,0.0003938978506710354,0.008304875900969308,0.9999999999999997,4.204448743441598,0.08408897486883196,147.475,0,0.0,0.0,0.0,0.0
panda,tar_corrected,Numerically corrected TAR-IK,all,40,3,"[36,37,37]",36.666666666666664,0.9166666666666666,"[35,35,36]",0.8833333333333334,0.9703333333333333,0.970111111111111,3.5925865,5.3201439,8.22363843,23893.753006333332,597.3438251583333,556.6188346666668,810.2930213999999,0.969,0.0010555555555555557,0.0004679227415572927,0.0009999898071188986,0.001588341408370165,0.008322452500294888,0.9999999999999968,4.892156688245408,0.09784313376490818,145.54166666666666,0,0.9627222222222223,0.18605555555555556,0.0012222222222222222,4.2507340743424455e-05
panda,tar_old,Original TAR-IK,all,40,3,"[36,37,37]",36.666666666666664,0.9166666666666666,"[35,37,34]",0.8833333333333334,0.9718888888888889,0.9716666666666666,4.3919105,5.74186405,7.12792824,25743.816514,643.59541285,643.8369518333334,743.5045288666666,0.33183333333333326,0.5881111111111111,0.0009719265963561617,0.0009999935242819922,0.005754184592391642,0.008721619095650373,0.9999999999999968,5.40573385613565,0.108114677122713,145.75,0,0.0,0.9998888888888888,0.6400000000000001,0.030498232041842897
panda,trac_task_5ms,TRAC-IK task 5 ms,all,40,3,"[37,37,36]",36.666666666666664,0.9166666666666666,"[37,36,36]",0.9083333333333334,0.9724444444444444,0.9723888888888889,0.166377,0.29199394999999956,5.2319828,1937.2453693333334,48.43113423333334,26.660781,189.40572716666662,0.0,0.0,0.0003897050286018318,0.0009657402190472655,0.000612678722879879,0.008052944077687937,0.9999999999999968,4.040942762659302,0.08081885525318604,145.85833333333332,0,0.0,0.0,0.0,0.0
ur5e,pink_qp,Pink QP-IK,all,40,3,"[38,38,38]",38.0,0.95,"[38,37,38]",0.9416666666666667,0.9876666666666666,0.987611111111111,0.6381755,0.6965063999999997,0.8352816899999889,3893.3607293333334,97.33401823333334,96.49647483333334,103.88986961666667,0.0,0.0,0.0001299458951403319,0.0009991808999851898,0.0003204320227118717,0.005258969337769823,1.0,12.105647192445698,0.24211294384891394,146.25,0,0.0,0.0,0.0,0.0
ur5e,tar_corrected,Numerically corrected TAR-IK,all,40,3,"[38,39,39]",38.666666666666664,0.9666666666666666,"[36,38,38]",0.9333333333333333,0.9839444444444444,0.9837222222222223,3.3304595,4.7331894000000005,7.249810939999995,22409.344575000003,560.2336143750001,543.2069973333333,656.0343617,0.9816666666666667,0.002,0.0005681553391030439,0.0009986448124721002,0.0036437153618298183,0.008525034961231647,1.0,12.32001696969049,0.24640033939380981,147.59166666666667,0,0.9678333333333333,0.3147777777777777,0.0022777777777777774,8.008965839876124e-05
ur5e,tar_old,Original TAR-IK,all,40,3,"[38,40,39]",39.0,0.975,"[38,39,39]",0.9666666666666666,0.9897222222222222,0.9896666666666666,4.0833905,5.22690525,6.966701959999998,23902.172403666667,597.5543100916667,595.4251766666666,675.9597668333332,0.2516111111111111,0.6705555555555556,0.0009780428304525558,0.0009999674521008663,0.007331719521366935,0.008725978693339848,0.9999999999999998,12.19359467079783,0.2438718934159566,148.18333333333334,0,0.0,1.0,0.7381111111111112,0.03471702204320116
ur5e,trac_task_5ms,TRAC-IK task 5 ms,all,40,3,"[39,39,39]",39.0,0.975,"[39,37,39]",0.9583333333333334,0.9957777777777779,0.9956666666666667,0.1536355,0.22334919999999997,0.38948786999999474,1150.221547,28.755538675000004,24.48400983333333,39.20844208333333,0.0,0.0,0.0003848484458607486,0.00097476575772944,0.0006228045852712821,0.00827267279319368,1.0,10.454419530343646,0.20908839060687293,149.36666666666667,0,0.0,0.0,0.0,0.0
