robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations,optimization_call_rate,mean_conic_calls,partial_correction_rate,effective_command_adjustment_rate,geometric_recovery_rate,intervention_normalized_mean,unchanged_given_legal_backup,accepted_near_tolerance_rate,demand_met_rate,direct_extra_p50_ms,initial_gap_mean,final_gap_mean,normalized_gap_reduction_mean
panda,cr_ik,CR-IK,all,40,3,"[37,38,37]",37.333333333333336,0.9333333333333333,"[36,37,34]",0.8916666666666666,0.9792777777777778,0.9789999999999999,5.5851695,6.4141064000000005,7.24445776999998,34164.77766466667,854.1194416166667,853.0542663333333,890.4027669333333,0.04877777777777778,0.9512222222222223,0.0009683032699196508,0.0009999978946425739,0.007368448652088908,0.008726623675143574,0.9999999999999968,5.366883588993824,0.10733767177987648,146.88333333333333,0,1.0,5.893166666666667,,,,0.1310539899714276,0.029398779353285758,0.07336808466594213,,,,,
panda,cr_ik_elastic_mu0,Same-core no-reserve-cost (mu=0),all,40,3,"[38,38,38]",38.0,0.95,"[38,36,38]",0.9333333333333333,0.9886666666666667,0.9885555555555555,0.7821415,3.1821162999999997,6.06511221,6887.853020333333,172.19632550833333,151.612027,307.29347709999985,0.9717222222222223,0.02827777777777778,0.0004039873584341297,0.0009677574470768076,0.0009168070752054878,0.008220246349143763,0.9999999999999992,4.617143955254614,0.09234287910509227,148.3,0,0.48983333333333334,0.6462222222222224,0.0,0.02705555555555556,0.02827777777777778,0.005254598658035949,0.9725815071957487,0.0005737463126843659,0.5107222222222222,0.35155248529411764,0.8984813918721126,0.8984813918721126,0.0
panda,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),all,40,3,"[38,38,38]",38.0,0.95,"[38,38,38]",0.95,0.9867222222222222,0.9866666666666667,0.71194,1.6179975999999998,6.07570575,5863.904119,146.597602975,131.76843033333336,231.2977949166663,0.712,0.28561111111111115,0.0005812543331961072,0.0009999999372352858,0.003274947484959919,0.00872651195803925,0.9999999999999968,4.718153426499707,0.09436306852999414,148.00833333333333,0,0.4726111111111111,0.48694444444444446,0.2610555555555555,0.2867222222222222,0.025222222222222222,0.013562623199365168,0.7067229495514191,0.006024675616141026,0.5295,0.35188231862745095,0.867885586735905,0.80498618138512,0.03473937637940266
panda,cr_ik_elastic_mu1,Elastic CR-IK (mu=1),all,40,3,"[38,37,38]",37.666666666666664,0.9416666666666667,"[38,35,36]",0.9083333333333334,0.9843333333333334,0.9841111111111112,0.74687,1.7000444999999993,6.0799286200000004,6048.889228999999,151.22223072499997,132.71477933333333,302.1806932999999,0.7119444444444445,0.28550000000000003,0.0006159795197279612,0.0009999972329135828,0.004432731970812246,0.00872664357444249,0.9999999999999968,4.6961040224959865,0.09392208044991973,147.65,0,0.47755555555555557,0.49322222222222223,0.26,0.2869444444444445,0.026333333333333334,0.019537824114929183,0.7050938582335212,0.017995461630427253,0.5243888888888889,0.35183386538461536,0.8787778259950104,0.7941533448644081,0.039426347987738426
panda,cr_ik_elastic_mu4,Elastic CR-IK (mu=4),all,40,3,"[37,38,38]",37.666666666666664,0.9416666666666667,"[36,36,35]",0.8916666666666666,0.9845555555555555,0.9842222222222222,0.7129565,1.6573691,6.080987749999999,6046.312647000001,151.15781617500002,129.03858866666667,299.00249449999995,0.7175555555555555,0.2787777777777778,0.0006072389474203675,0.0009999968396160383,0.004390955973290929,0.008726613989549235,0.9999999999999968,4.639083213916134,0.09278166427832267,147.68333333333334,0,0.47572222222222216,0.49188888888888893,0.2501111111111111,0.2813333333333333,0.026666666666666665,0.020464254617581716,0.7118191364470356,0.011670949680967515,0.5301666666666667,0.3504441238095239,0.8720170523701611,0.7807895085451545,0.043432361795322866
panda,cr_ik_minimal,Hard-demand Minimal,all,40,3,"[38,38,37]",37.666666666666664,0.9416666666666667,"[36,35,37]",0.9,0.9847222222222223,0.9844444444444443,0.6811175,2.55891755,6.0817058799999995,5473.406753666666,136.83516884166664,114.44903083333332,272.3934391166665,0.9632777777777778,0.036000000000000004,0.0004699045339871709,0.000999988730958609,0.002046621695048952,0.008726558964470272,0.9999999999999968,4.948558081532415,0.0989711616306483,147.70833333333334,0,0.47533333333333333,0.5182777777777778,,,,0.000953791625343918,0.9633233647188029,0.0017531146707348083,0.5608888888888889,0.34528547142857147,,,
panda,pink_qp,Pink QP-IK,all,40,1,[37],37.0,0.925,[37],0.925,0.9831666666666667,0.9831666666666667,1.0085575,1.0624023999999999,1.17296779,5559.914223,138.997855575,142.93920450000002,151.92570650000002,0.0,0.0,0.00019641446507472527,0.0009854507257299875,0.00039387074320355566,0.008304875900969308,0.9999999999999997,4.204448743441598,0.08408897486883196,147.475,0,,,,,,,,0.0006811085089773615,,,,,
panda,trac_task_20ms,TRAC-IK task 20 ms,all,40,3,"[37,37,36]",36.666666666666664,0.9166666666666666,"[36,37,36]",0.9083333333333334,0.9764444444444444,0.976388888888889,0.1628445,0.2788656999999998,20.26413943,3992.152967666667,99.80382419166668,26.227828666666667,664.2221179999998,0.0,0.0,0.0003952760680528465,0.0009717924495867391,0.0006479623854765778,0.008246357124142584,0.9999999999999968,4.047895770229444,0.08095791540458888,146.0,0,,,,,,,,0.0015262643543739259,,,,,
panda,trac_task_5ms,TRAC-IK task 5 ms,all,40,3,"[37,36,37]",36.666666666666664,0.9166666666666666,"[36,36,37]",0.9083333333333334,0.9757222222222223,0.9756666666666668,0.162836,0.27624429999999983,5.2273226,1830.6424600000003,45.766061500000006,25.93035033333333,187.41942956666657,0.0,0.0,0.00039387629128987154,0.0009718834813464523,0.0006618330140174024,0.0076164044383840255,0.9999999999999968,4.14069209519751,0.0828138419039502,145.89166666666668,0,,,,,,,,0.0008387390043736794,,,,,
ur5e,cr_ik,CR-IK,all,40,3,"[39,39,38]",38.666666666666664,0.9666666666666666,"[37,39,36]",0.9333333333333333,0.984,0.9837777777777779,5.2208605,5.5583288,6.37203013,31442.25809533333,786.0564523833333,784.8789148333333,808.1811168666667,0.07694444444444444,0.9230555555555556,0.0002281668231299134,0.00099999000186387,0.003730937978814363,0.008726558993742185,0.9999999999999998,8.597807987213868,0.17195615974427733,147.6,0,0.9975,5.891666666666667,,,,0.14666181183844187,0.06274315508407304,0.015833333333333335,,,,,
ur5e,cr_ik_elastic_mu0,Same-core no-reserve-cost (mu=0),all,40,3,"[39,39,38]",38.666666666666664,0.9666666666666666,"[37,37,37]",0.925,0.9934999999999999,0.9932222222222222,0.581128,2.9824663,3.216682719999999,6309.021470666667,157.72553676666666,130.68173333333334,291.58352484999966,0.9879444444444445,0.012055555555555557,0.0004595404206939507,0.0009760747998177443,0.0011776576963736223,0.007617842365526841,0.9999999999999998,11.591755246043299,0.23183510492086595,148.75,0,0.4476111111111111,0.6040555555555557,0.0,0.012055555555555557,0.012055555555555557,0.004760390786412114,0.9878687793890369,0.0006111111111111111,0.5527222222222222,0.33943015789473685,0.6925781859659196,0.6925781859659196,0.0
ur5e,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),all,40,3,"[39,40,40]",39.666666666666664,0.9916666666666666,"[39,40,39]",0.9833333333333334,0.9977222222222222,0.9976666666666667,0.5785065,1.4173641499999998,2.675369199999995,5090.810380666667,127.27025951666667,118.26517716666666,198.6267076,0.7128333333333334,0.2797777777777778,0.0005901962008700276,0.0009999893502752716,0.0038906289207882674,0.008726642526388844,0.9999999999999998,10.781896235944235,0.2156379247188847,149.38333333333333,0,0.44394444444444453,0.45433333333333337,0.2757222222222222,0.2871666666666667,0.011444444444444445,0.0133637330326826,0.7122273190621815,0.006,0.5566666666666666,0.3389779780701754,0.6905945516668939,0.6495540920570917,0.012719131491290494
ur5e,cr_ik_elastic_mu1,Elastic CR-IK (mu=1),all,40,3,"[40,39,40]",39.666666666666664,0.9916666666666666,"[38,39,39]",0.9666666666666666,0.9977222222222222,0.9975555555555555,0.576804,1.4741298999999999,2.7017366000000003,5169.03714,129.2259285,118.67024716666666,198.7150978,0.7122777777777779,0.27583333333333326,0.0006313729179713568,0.0009999873870820551,0.004766367961435995,0.008726630476711034,0.9999999999999998,11.650782967721131,0.23301565935442264,149.38333333333333,0,0.44327777777777777,0.45472222222222225,0.27516666666666667,0.28772222222222227,0.010944444444444446,0.01718807681610881,0.7101462793068298,0.012868501529051989,0.5586666666666668,0.33873248245614035,0.689350160534442,0.6361078623715819,0.01939827579289078
ur5e,cr_ik_elastic_mu4,Elastic CR-IK (mu=4),all,40,3,"[39,38,39]",38.666666666666664,0.9666666666666666,"[38,37,39]",0.95,0.9925555555555554,0.9924444444444445,0.579147,1.4856505,2.808515839999998,5326.886122,133.17215305,126.09227583333333,205.08032475,0.711,0.2798333333333333,0.0006421703617092864,0.0009999908913374946,0.00486520844155211,0.00872664504155233,0.9999999999999998,10.858376112263146,0.21716752224526292,148.34166666666667,0,0.44688888888888895,0.45805555555555555,0.27627777777777773,0.28900000000000003,0.011,0.018871857030193204,0.7108072322149516,0.015743119266055046,0.5548333333333332,0.3395540219298246,0.6923110968935335,0.6380655460277604,0.020680768764573053
