robot,method,label,family,trajectories,repeats,completion_by_repeat,mean_completed_trajectories,tsr,deadline_completion_by_repeat,dtsr20,frame_success,frame_deadline_success,p50_ms,p95_ms,p99_ms,cumulative_ms_per_sweep,trajectory_time_mean_ms,trajectory_time_median_ms,trajectory_time_p95_ms,backup_rate,changed_from_backup_rate,p95_position_m,max_position_m,p95_orientation_rad,max_orientation_rad,max_accepted_step_utilization,acceleration_rms_mean,velocity_change_rms_mean,successful_prefix_mean,accepted_contract_violations
panda,cr_ik,CR-IK,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[9,10,8]",0.9,1.0,0.9993333333333332,5.662759,6.34661825,7.243330590000004,8716.166772666666,871.6166772666666,872.5963066666667,887.4095885833333,0.009555555555555557,0.9904444444444443,0.0009999893481690242,0.0009999978946425739,0.008726558970647915,0.008726623675143574,0.9999999987108725,9.416990690294053,0.18833981380588108,150.0,0
panda,cr_ik,CR-IK,joint_limit_return,10,3,"[9,10,9]",9.333333333333334,0.9333333333333333,"[9,10,9]",0.9333333333333333,0.9657777777777777,0.9657777777777777,5.617427,6.4489289,7.3536086,8611.382247666666,861.1382247666667,860.6279943333333,894.1730379166667,0.046888888888888876,0.953111111111111,0.0006027077079907764,0.0009999945578462069,0.005144353715233202,0.008726569953988642,0.8235504524402495,2.7357429554724617,0.054714859109449225,144.86666666666667,0
panda,cr_ik,CR-IK,near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,8,8]",0.8,0.9513333333333333,0.9513333333333333,5.4738855,6.46917005,7.403936280000001,8374.847589333333,837.4847589333333,836.3394313333333,864.5005246166667,0.13733333333333336,0.8626666666666666,0.0002823219991810524,0.0009659150771221116,0.0015292179043304372,0.00797219062146406,0.9999999999999968,8.409913469236974,0.16819826938473942,142.66666666666666,0
panda,cr_ik,CR-IK,smooth,10,3,"[10,10,10]",10.0,1.0,"[10,9,9]",0.9333333333333333,1.0,0.9995555555555555,5.5802465,6.04218745,6.945508050000001,8462.381055,846.2381055,842.9092223333333,864.0937869666667,0.0013333333333333333,0.9986666666666666,0.0006931367065331784,0.0009999901381193947,0.0018686450028717037,0.00872656581133313,0.42720779255380065,0.9048872409718102,0.01809774481943621,150.0,0
panda,cr_ik_elastic_mu0,Same-core no-reserve-cost (mu=0),high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.836306,3.19308435,3.4869188200000014,2322.734171,232.27341710000002,222.66777933333333,366.2990007499998,0.9586666666666664,0.041333333333333326,0.00048238592610449875,0.0008956131737455763,0.0006272599599764541,0.00722740660933704,0.8983452368810018,7.14330695848045,0.14286613916960894,150.0,0
panda,cr_ik_elastic_mu0,Same-core no-reserve-cost (mu=0),joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.566382,3.17173665,3.7859679900000107,1364.314083,136.4314083,129.29145133333333,200.24026481666664,0.975111111111111,0.024888888888888887,0.00017840794544744546,0.0009367135683516627,0.0015571775976854893,0.007855173501728744,0.9999999999999968,2.7184687895963773,0.054369375791927535,150.0,0
panda,cr_ik_elastic_mu0,Same-core no-reserve-cost (mu=0),near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,7,8]",0.7666666666666667,0.9546666666666667,0.9544444444444444,0.8129425,3.4217393000000036,6.1071248,2026.88504,202.688504,203.25773016666668,339.17036809999996,0.9533333333333334,0.04666666666666667,0.0005572595674904485,0.0009677574470768076,0.0025262969792766887,0.008220246349143763,0.9999999999999992,7.018423937510597,0.14036847875021197,143.2,0
panda,cr_ik_elastic_mu0,Same-core no-reserve-cost (mu=0),smooth,10,3,"[10,10,10]",10.0,1.0,"[10,9,10]",0.9666666666666666,1.0,0.9997777777777778,0.56441,3.05821615,3.2542783400000004,1173.919726333333,117.39197263333331,102.59372566666667,183.96773374999995,0.9997777777777778,0.00022222222222222223,0.00013579929274651432,0.0009293455366398398,0.00015463639665823023,0.006982995885032728,0.46641876217914147,1.5883761354310304,0.031767522708620606,150.0,0
panda,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,1.3326915,1.6744754000000002,2.6929490400000007,1716.5598706666665,171.65598706666665,167.75159716666667,224.73540346666667,0.47333333333333333,0.5266666666666667,0.0006962670470435278,0.0009999999372352858,0.004154723771748182,0.006852104867379318,0.9690183626234405,7.153092359458839,0.14306184718917675,150.0,0
panda,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),joint_limit_return,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.569559,1.4557248000000018,2.867006360000014,1218.3347613333333,121.83347613333333,109.938255,170.25134271666667,0.817111111111111,0.17533333333333329,0.0002973906170696694,0.0009999623565715213,0.002379161493309317,0.008543021344767386,0.9182383038756202,2.5979942820540174,0.051959885641080346,150.0,0
panda,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,8,8]",0.8,0.9468888888888889,0.9466666666666667,0.8265785,6.047340849999999,6.111561770000001,1882.5521563333332,188.2552156333333,146.74109716666666,377.57184306666664,0.6902222222222221,0.30777777777777776,0.0006428269258814045,0.0009999008654578395,0.003152336955349471,0.00872651195803925,0.9999999999999968,7.517175304975185,0.1503435060995037,142.03333333333333,0
panda,cr_ik_elastic_mu025,Elastic CR-IK (mu=0.25),smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.5634185,1.3855654,1.5626006900000005,1046.4573306666666,104.64573306666666,98.68637333333334,140.79032434999996,0.8673333333333334,0.13266666666666665,0.0002283789272865076,0.0009930973328706716,0.0011801183877141802,0.006877963177070325,0.4547984640839638,1.6043517595107888,0.032087035190215774,150.0,0
panda,cr_ik_elastic_mu1,Elastic CR-IK (mu=1),high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,10,9]",0.9666666666666666,1.0,0.9997777777777778,1.3485785,1.72001955,2.7055986000000014,1800.4873856666666,180.04873856666666,193.75218133333334,215.38001681666665,0.4422222222222222,0.5577777777777778,0.0007322327694443611,0.0009999745035514714,0.006728182357873163,0.00872664357444249,0.8804380655449845,7.138191554057575,0.1427638310811515,150.0,0
panda,cr_ik_elastic_mu1,Elastic CR-IK (mu=1),joint_limit_return,10,3,"[10,9,10]",9.666666666666666,0.9666666666666666,"[10,8,10]",0.9333333333333333,0.983111111111111,0.9828888888888888,0.570059,1.5439590000000005,6.090938759999999,1322.8757706666665,132.28757706666664,111.86771583333334,232.77204896666655,0.856,0.13644444444444442,0.00033524952867590137,0.0009758392841199522,0.0024825823153810846,0.008575650683235325,0.9999999999999968,2.418529170719172,0.048370583414383425,147.46666666666667,0
panda,cr_ik_elastic_mu1,Elastic CR-IK (mu=1),near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,7,7]",0.7333333333333333,0.9542222222222222,0.9537777777777776,0.8268035,3.2450764500000053,6.11964259,1904.5867916666664,190.45867916666663,160.9322225,345.7478350833333,0.6333333333333332,0.36399999999999993,0.000706554220666993,0.0009999972329135828,0.0043683414532917535,0.008726558862553942,0.9999999999999968,7.18743848495596,0.1437487696991192,143.13333333333333,0
panda,cr_ik_elastic_mu1,Elastic CR-IK (mu=1),smooth,10,3,"[10,10,10]",10.0,1.0,"[10,10,10]",1.0,1.0,1.0,0.5649115,1.3680577,1.565124500000001,1020.939281,102.0939281,99.10592466666667,121.85129661666666,0.9162222222222223,0.08377777777777777,0.00027861634716369837,0.0009999051742006712,0.0012969369919086662,0.008080818341407692,0.4230508728955549,2.0402568802512393,0.040805137605024785,150.0,0
panda,cr_ik_elastic_mu4,Elastic CR-IK (mu=4),high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,9,9]",0.9333333333333333,1.0,0.9995555555555555,1.3376485,1.68554915,2.71345355,1786.2033846666666,178.62033846666665,185.4382121666667,220.63935106666665,0.4833333333333333,0.5166666666666668,0.0007088987719137535,0.0009999308723514775,0.005941036485694231,0.008726613989549235,0.9312961769497229,7.146491458375007,0.14292982916750016,150.0,0
panda,cr_ik_elastic_mu4,Elastic CR-IK (mu=4),joint_limit_return,10,3,"[9,10,10]",9.666666666666666,0.9666666666666666,"[9,10,10]",0.9666666666666666,0.9835555555555556,0.9835555555555556,0.5682025,1.562890050000001,6.084127280000001,1339.1075489999998,133.91075489999997,109.48995566666666,242.52116256666656,0.7982222222222223,0.1904444444444444,0.00047431787358685984,0.000999991909080271,0.0029972685929386825,0.008406348023894679,0.9999272838208383,2.5104977298458104,0.05020995459691619,147.53333333333333,0
panda,cr_ik_elastic_mu4,Elastic CR-IK (mu=4),near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,7,7]",0.7333333333333333,0.9546666666666667,0.9542222222222222,0.818377,3.1855958500000208,6.11875201,1864.0867019999998,186.4086702,153.08526283333333,352.27835336666664,0.6948888888888889,0.3017777777777778,0.0006689800824658348,0.0009999968396160383,0.004369769958049845,0.008726514946611932,0.9999999999999968,6.747491374663536,0.1349498274932707,143.2,0
panda,cr_ik_elastic_mu4,Elastic CR-IK (mu=4),smooth,10,3,"[10,10,10]",10.0,1.0,"[9,10,9]",0.9333333333333333,1.0,0.9995555555555555,0.56315,1.37858165,1.5557647600000004,1056.9150113333333,105.69150113333333,98.50822500000001,140.1529514833333,0.8937777777777778,0.10622222222222223,0.0003195061317092179,0.000989991752166759,0.0011325535966545276,0.008360840444645625,0.41220239368325307,2.151852292780183,0.04303704585560367,150.0,0
panda,cr_ik_minimal,Hard-demand Minimal,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[10,9,10]",0.9666666666666666,1.0,0.9997777777777778,0.8577835,1.3417622,2.9628366800000014,1387.0768176666666,138.70768176666667,138.14105883333332,157.83822919999997,0.9793333333333334,0.020666666666666663,0.0004829768203143112,0.0009481313728965921,0.0006296931522329889,0.008390843238237284,0.9014055398288966,6.951505189993975,0.1390301037998795,150.0,0
panda,cr_ik_minimal,Hard-demand Minimal,joint_limit_return,10,3,"[10,10,9]",9.666666666666666,0.9666666666666666,"[9,8,9]",0.8666666666666666,0.9835555555555556,0.9828888888888888,0.563197,2.9791696,6.08468169,1369.302604,136.9302604,107.320799,263.7709367,0.9466666666666667,0.050888888888888886,0.0002027070175417167,0.0009826841743558442,0.002349691319134072,0.008355309190923182,0.9999999999999968,2.619547891494087,0.05239095782988174,147.53333333333333,0
panda,cr_ik_minimal,Hard-demand Minimal,near_singular,10,3,"[8,8,8]",8.0,0.8,"[8,8,8]",0.8,0.9553333333333334,0.9553333333333334,0.800641,3.438811900000012,6.132974440000001,1655.5002716666668,165.55002716666667,116.2907135,320.0653745166667,0.9731111111111111,0.026444444444444444,0.000654419588579828,0.000999988730958609,0.00454646477407428,0.008726558964470272,0.9999999999999968,8.1142243259865,0.16228448651973,143.3,0
panda,cr_ik_minimal,Hard-demand Minimal,smooth,10,3,"[10,10,10]",10.0,1.0,"[9,10,10]",0.9666666666666666,1.0,0.9997777777777778,0.556038,1.31203205,3.00900765,1061.5270603333333,106.15270603333333,101.46856483333335,146.71416449999992,0.954,0.046,0.0001476294975715076,0.000912031020802632,0.0002304729983903809,0.007150810277885206,0.4181721503732134,2.108954918655097,0.04217909837310196,150.0,0
panda,pink_qp,Pink QP-IK,high_curvature,10,1,[9],9.0,0.9,[9],0.9,0.97,0.97,1.007309,1.0680702,1.16451078,1355.033284,135.50332840000002,141.9437495,148.7307574,0.0,0.0,0.0003328524460961774,0.0009538083780688717,0.0006874485180725519,0.008304875900969308,0.9999999999999997,7.4306153981199214,0.14861230796239844,145.5,0
panda,pink_qp,Pink QP-IK,joint_limit_return,10,1,[10],10.0,1.0,[10],1.0,1.0,1.0,1.0103265,1.0614876000000002,1.25072636,1410.897066,141.0897066,148.405441,152.68580814999999,0.0,0.0,0.00011439073177068541,0.00021513749647973678,0.00020334923127108987,0.0005076675385390474,0.5735095764782464,1.3886328104816577,0.027772656209633158,150.0,0
panda,pink_qp,Pink QP-IK,near_singular,10,1,[8],8.0,0.8,[8],0.8,0.9626666666666667,0.9626666666666667,1.0073935,1.0498675,1.112222,1397.40235,139.740235,142.259905,149.392786,0.0,0.0,6.47791144390982e-05,0.0009854507257299875,0.0001369482328481693,0.007358452784580322,0.9999999999999981,7.239683370352795,0.1447936674070559,144.4,0
panda,pink_qp,Pink QP-IK,smooth,10,1,[10],10.0,1.0,[10],1.0,1.0,1.0,1.0086985,1.0664094,1.24967175,1396.5815230000003,139.65815230000004,140.465511,152.06026559999998,0.0,0.0,8.874257521999117e-05,0.0001981718022720297,0.00019031372733852573,0.0003579234867976215,0.4952489805131127,0.7588633948120177,0.01517726789624035,150.0,0
panda,trac_task_20ms,TRAC-IK task 20 ms,high_curvature,10,3,"[10,10,10]",10.0,1.0,"[9,10,10]",0.9666666666666666,1.0,0.9997777777777778,0.1621395,0.22914545,0.3097306400000004,272.580571,27.258057100000002,25.59745433333333,34.883763999999985,0.0,0.0,0.00047053513504368577,0.0008351690761243764,0.0005629008239671329,0.004971126751601339,0.9014121497462755,6.7966286716227655,0.13593257343245532,150.0,0
panda,trac_task_20ms,TRAC-IK task 20 ms,joint_limit_return,10,3,"[9,9,9]",9.0,0.9,"[9,9,9]",0.9,0.95,0.95,0.1628975,19.408865250000154,20.27338656,1796.7228193333335,179.67228193333335,26.179873333333333,870.7338741666651,0.0,0.0,0.00015635749548574543,0.0009551927449639225,0.0005683902612553203,0.007950350240920218,0.8331078747014279,1.7610418313480225,0.03522083662696044,142.46666666666667,0
