robot,method,baseline,metric,trajectories,difference,difference_ci,ratio,ratio_ci
panda,cr_ik_elastic_mu025,trac_task_20ms,deadline_completion,40,0.04166666666666667,"[0.0,0.1]",1.0458715596330275,"[1.0,1.1177278603749194]"
panda,cr_ik_elastic_mu025,trac_task_20ms,total_latency_ns,40,46793778.78333334,"[-40076184.08833331,104344042.200625]",1.4688575729670335,"[0.7967373605979334,4.761989022013018]"
panda,cr_ik_elastic_mu025,trac_task_20ms,frame_success,40,0.010277777777777778,"[-0.004722222222222225,0.03738888888888889]",1.0105257168866637,"[0.995142301977369,1.0390870019746776]"
panda,cr_ik_elastic_mu025,trac_task_20ms,acceleration_rms,40,0.6702576562702631,"[0.19534918388650277,1.195506343520571]",1.1655817477316792,"[1.042445381127694,1.3434874403569674]"
panda,cr_ik_elastic_mu025,pink_qp,completion,40,0.025,"[0.0,0.075]",1.027027027027027,"[1.0,1.088235294117647]"
panda,cr_ik_elastic_mu025,pink_qp,deadline_completion,40,0.025,"[0.0,0.075]",1.027027027027027,"[1.0,1.088235294117647]"
panda,cr_ik_elastic_mu025,pink_qp,total_latency_ns,40,7599747.4,"[-8014660.56125,25959008.063125003]",1.054675285230565,"[0.9430861591573945,1.1869704241847712]"
panda,cr_ik_elastic_mu025,pink_qp,frame_success,40,0.003555555555555556,"[-0.00788888888888889,0.021111111111111115]",1.0036164321636434,"[0.9919610507246377,1.021700645308663]"
panda,cr_ik_elastic_mu025,pink_qp,acceleration_rms,40,0.513704683058109,"[-0.683995127558341,1.7091526863003312]",1.122181221464389,"[0.8674637376210982,1.5159537113017356]"
panda,cr_ik_elastic_mu025,cr_ik,completion,40,0.01666666666666667,"[0.0,0.05]",1.0178571428571428,"[1.0,1.0571428571428572]"
panda,cr_ik_elastic_mu025,cr_ik,deadline_completion,40,0.05833333333333335,"[0.01666666666666667,0.10833333333333335]",1.0654205607476637,"[1.017857142857143,1.1287128712871288]"
panda,cr_ik_elastic_mu025,cr_ik,total_latency_ns,40,-707521838.6416667,"[-722168423.7214582,-690722384.5983334]",0.1716359514045505,"[0.15409372263791,0.19277796460572363]"
panda,cr_ik_elastic_mu025,cr_ik,frame_success,40,0.007444444444444445,"[-0.002333333333333332,0.025722222222222223]",1.0076019742440574,"[0.9976380609605221,1.0265664448014689]"
panda,cr_ik_elastic_mu025,cr_ik,acceleration_rms,40,-0.6487301624941171,"[-1.3847265920042269,0.07503811646759297]",0.8791234891279355,"[0.7617230853584724,1.0147016456295503]"
panda,cr_ik_elastic_mu025,cr_ik,intervention_normalized_mean,40,-0.11749136677206243,"[-0.14115567872292573,-0.09651418058960468]",0.10348882321188463,"[0.07622178960285952,0.1395820776185987]"
panda,cr_ik_elastic_mu025,cr_ik,optimization_call_rate,40,-0.5273888888888889,"[-0.5943333333333334,-0.46416527777777783]",0.4726111111111111,"[0.4056666666666667,0.5358347222222223]"
panda,cr_ik_elastic_mu025,cr_ik_minimal,completion,40,0.008333333333333335,"[0.0,0.025]",1.008849557522124,"[1.0,1.0277777777777777]"
panda,cr_ik_elastic_mu025,cr_ik_minimal,deadline_completion,40,0.05,"[0.01666666666666667,0.08333333333333334]",1.0555555555555556,"[1.0183486238532111,1.099009900990099]"
panda,cr_ik_elastic_mu025,cr_ik_minimal,total_latency_ns,40,9762434.133333335,"[-1476997.204166663,20044938.1275]",1.071344481217614,"[0.9895945985595825,1.1532808329902848]"
panda,cr_ik_elastic_mu025,cr_ik_minimal,frame_success,40,0.001999999999999999,"[-0.004444444444444445,0.012111111111111105]",1.002031029619182,"[0.9954267421254216,1.0123352005884685]"
panda,cr_ik_elastic_mu025,cr_ik_minimal,acceleration_rms,40,-0.23040465503270754,"[-0.778781261905545,0.3205617415308472]",0.9534400422837195,"[0.8605182117229314,1.0728751792761793]"
panda,cr_ik_elastic_mu025,cr_ik_minimal,intervention_normalized_mean,40,0.012608831574021252,"[0.008921522335869184,0.016919455807358763]",14.219692057449933,"[7.778742532130255,31.849360759586894]"
panda,cr_ik_elastic_mu025,cr_ik_minimal,optimization_call_rate,40,-0.0027222222222222257,"[-0.015501388888888898,0.012055555555555557]",0.9942730247779334,"[0.9672942250838321,1.0257325685796632]"
panda,cr_ik_elastic_mu025,cr_ik_elastic_mu0,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,cr_ik_elastic_mu025,cr_ik_elastic_mu0,deadline_completion,40,0.01666666666666667,"[0.0,0.04166666666666667]",1.017857142857143,"[1.0,1.0458715596330275]"
panda,cr_ik_elastic_mu025,cr_ik_elastic_mu0,total_latency_ns,40,-25598722.53333334,"[-44505310.545625,-9334798.719999997]",0.8513399025341309,"[0.7594705836389511,0.9420690420459847]"
panda,cr_ik_elastic_mu025,cr_ik_elastic_mu0,frame_success,40,-0.0019444444444444403,"[-0.005999999999999989,0.00016666666666666775]",0.9980332659024499,"[0.9939045038943448,1.0001697792869269]"
panda,cr_ik_elastic_mu025,cr_ik_elastic_mu0,acceleration_rms,40,0.10100947124509366,"[-0.159614874168959,0.3816107763241818]",1.021877046118551,"[0.9652680046438291,1.0852710203659572]"
panda,cr_ik_elastic_mu025,cr_ik_elastic_mu0,intervention_normalized_mean,40,0.00830802454132922,"[0.005656673685386342,0.010987654116694777]",2.5810959279684695,"[1.7312091114233226,5.383268832947264]"
panda,cr_ik_elastic_mu025,cr_ik_elastic_mu0,optimization_call_rate,40,-0.01722222222222223,"[-0.03261111111111111,-0.005888888888888888]",0.9648406487467394,"[0.934895775852347,0.987948919542592]"
panda,cr_ik_elastic_mu025,cr_ik_elastic_mu0,partial_correction_rate,40,0.26105555555555554,"[0.20621666666666666,0.3217777777777777]",,
panda,cr_ik_elastic_mu025,cr_ik_elastic_mu0,effective_command_adjustment_rate,40,0.25966666666666666,"[0.20461111111111113,0.3193361111111111]",10.597535934291582,"[6.885511191772535,19.21406343283582]"
panda,cr_ik_elastic_mu025,cr_ik_elastic_mu0,normalized_shortfall_reduction_mean,40,0.034261174423403054,"[0.020007128126725324,0.05291700934289598]",,
panda,cr_ik_elastic_mu1,trac_task_5ms,completion,40,0.025,"[0.0,0.06666666666666667]",1.0272727272727271,"[1.0,1.0776699029126215]"
panda,cr_ik_elastic_mu1,trac_task_5ms,deadline_completion,40,-2.7755575615628915e-18,"[-0.05,0.05]",1.0,"[0.9478260869565217,1.06]"
panda,cr_ik_elastic_mu1,trac_task_5ms,total_latency_ns,40,105456169.225,"[91510255.55208334,116573007.488125]",3.304243925927513,"[2.3513197413103604,4.9136743891516765]"
panda,cr_ik_elastic_mu1,trac_task_5ms,frame_success,40,0.008611111111111106,"[-0.0005000000000000144,0.02633333333333333]",1.0088253715196722,"[0.9994849092644249,1.0277322724081441]"
panda,cr_ik_elastic_mu1,trac_task_5ms,acceleration_rms,40,0.5554119272984765,"[0.14836267548715082,0.9905362311341679]",1.1341350466369278,"[1.031850128153073,1.2805317862782648]"
panda,cr_ik_elastic_mu1,trac_task_20ms,completion,40,0.025,"[0.0,0.06666666666666667]",1.0272727272727271,"[1.0,1.0776699029126215]"
panda,cr_ik_elastic_mu1,trac_task_20ms,deadline_completion,40,-2.7755575615628915e-18,"[-0.04166666666666667,0.05]",0.9999999999999998,"[0.9553571428571429,1.0582667047401486]"
panda,cr_ik_elastic_mu1,trac_task_20ms,total_latency_ns,40,51418406.53333334,"[-29124955.02270833,106824812.68708333]",1.5151947528041378,"[0.8479567349034394,4.8654642727208826]"
panda,cr_ik_elastic_mu1,trac_task_20ms,frame_success,40,0.007888888888888885,"[-0.0008888888888888946,0.024722222222222215]",1.0080791989076014,"[0.9990925589836661,1.025800865800866]"
panda,cr_ik_elastic_mu1,trac_task_20ms,acceleration_rms,40,0.6482082522665428,"[0.23973883456025358,1.0690319199752212]",1.160134620321462,"[1.0531179735543181,1.3061529541440047]"
panda,cr_ik_elastic_mu1,pink_qp,completion,40,0.016666666666666666,"[-0.025,0.075]",1.018018018018018,"[0.975,1.0833333333333333]"
panda,cr_ik_elastic_mu1,pink_qp,deadline_completion,40,-0.01666666666666667,"[-0.06666666666666668,0.041666666666666664]",0.9819819819819818,"[0.9259259259259258,1.049019607843137]"
panda,cr_ik_elastic_mu1,pink_qp,total_latency_ns,40,12224375.15,"[-3980250.481041666,30595593.726041667]",1.0879465017602665,"[0.971623227298563,1.221408894541888]"
panda,cr_ik_elastic_mu1,pink_qp,frame_success,40,0.001166666666666663,"[-0.013444444444444453,0.018944444444444444]",1.0011866418036957,"[0.9862998188405797,1.0196621115147322]"
panda,cr_ik_elastic_mu1,pink_qp,acceleration_rms,40,0.49165527905438855,"[-0.8543096268607216,1.7952495204897432]",1.1169369182633773,"[0.8367215779626,1.5492170883213576]"
panda,cr_ik_elastic_mu1,cr_ik,completion,40,0.008333333333333333,"[0.0,0.025]",1.0089285714285714,"[1.0,1.0285714285714285]"
panda,cr_ik_elastic_mu1,cr_ik,deadline_completion,40,0.01666666666666667,"[-0.03333333333333334,0.06666666666666668]",1.0186915887850467,"[0.9646017699115044,1.0776725997842505]"
panda,cr_ik_elastic_mu1,cr_ik,total_latency_ns,40,-702897210.8916667,"[-716966373.456875,-687158061.1479167]",0.17705044910202308,"[0.15902831686649607,0.19768503528538275]"
panda,cr_ik_elastic_mu1,cr_ik,frame_success,40,0.005055555555555552,"[0.0,0.014444444444444435]",1.0051625347478301,"[1.0,1.0151074956420687]"
panda,cr_ik_elastic_mu1,cr_ik,acceleration_rms,40,-0.6707795664978374,"[-1.4019663344328164,0.09088131476486998]",0.8750150705945173,"[0.7562217465847305,1.0187817033666156]"
panda,cr_ik_elastic_mu1,cr_ik,intervention_normalized_mean,40,-0.1115161658564984,"[-0.13472665528269878,-0.09092119408600235]",0.14908225319342683,"[0.11312358170349736,0.189731425042722]"
panda,cr_ik_elastic_mu1,cr_ik,optimization_call_rate,40,-0.5224444444444444,"[-0.5922277777777778,-0.45344444444444443]",0.4775555555555556,"[0.4077722222222222,0.5465555555555556]"
panda,cr_ik_elastic_mu1,cr_ik_minimal,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,cr_ik_elastic_mu1,cr_ik_minimal,deadline_completion,40,0.008333333333333335,"[-0.04166666666666667,0.058333333333333334]",1.009259259259259,"[0.9568871814092954,1.0654205607476637]"
panda,cr_ik_elastic_mu1,cr_ik_minimal,total_latency_ns,40,14387061.883333335,"[3829232.086875,23981214.29645833]",1.1051415509998075,"[1.0258430707563841,1.1821737083497037]"
panda,cr_ik_elastic_mu1,cr_ik_minimal,frame_success,40,-0.0003888888888888942,"[-0.0010555555555555678,0.0]",0.999605077574048,"[0.9989106129235709,1.0]"
panda,cr_ik_elastic_mu1,cr_ik_minimal,acceleration_rms,40,-0.25245405903642804,"[-0.7477571744413809,0.20427384409987376]",0.9489843192952381,"[0.866938747046296,1.04623607127425]"
panda,cr_ik_elastic_mu1,cr_ik_minimal,intervention_normalized_mean,40,0.01858403248958527,"[0.01361978571343142,0.02377314276515711]",20.48437373088094,"[11.214106769074245,45.45438287324336]"
panda,cr_ik_elastic_mu1,cr_ik_minimal,optimization_call_rate,40,0.002222222222222211,"[-0.0133888888888889,0.019056944444444432]",1.0046750818139318,"[0.9707567006933477,1.0393199443256964]"
panda,cr_ik_elastic_mu1,cr_ik_elastic_mu0,completion,40,-0.008333333333333335,"[-0.025,0.0]",0.9912280701754386,"[0.972972972972973,1.0]"
panda,cr_ik_elastic_mu1,cr_ik_elastic_mu0,deadline_completion,40,-0.025,"[-0.058333333333333334,0.008333333333333335]",0.9732142857142857,"[0.9357798165137616,1.009090909090909]"
panda,cr_ik_elastic_mu1,cr_ik_elastic_mu0,total_latency_ns,40,-20974094.78333333,"[-38440360.733958334,-5615348.553958334]",0.8781966181832473,"[0.7910270117932896,0.9655380971260679]"
panda,cr_ik_elastic_mu1,cr_ik_elastic_mu0,frame_success,40,-0.004333333333333333,"[-0.01288888888888889,0.0]",0.9956169925826028,"[0.9868941362557905,1.0]"
panda,cr_ik_elastic_mu1,cr_ik_elastic_mu0,acceleration_rms,40,0.07896006724137321,"[-0.20904467560331588,0.38309644507882523]",1.0171014956446207,"[0.9552703268862195,1.0815765041057668]"
panda,cr_ik_elastic_mu1,cr_ik_elastic_mu0,intervention_normalized_mean,40,0.014283225456893239,"[0.010345067575426027,0.017880443368401586]",3.7182333773578797,"[2.3756903110431784,7.933878604066482]"
panda,cr_ik_elastic_mu1,cr_ik_elastic_mu0,optimization_call_rate,40,-0.01227777777777779,"[-0.02672500000000002,0.0010555555555555429]",0.9749347850742885,"[0.9444941028664512,1.0021798555035433]"
panda,cr_ik_elastic_mu1,cr_ik_elastic_mu0,partial_correction_rate,40,0.26,"[0.20683055555555557,0.3084444444444444]",,
panda,cr_ik_elastic_mu1,cr_ik_elastic_mu0,effective_command_adjustment_rate,40,0.2598888888888889,"[0.20733194444444442,0.3084472222222222]",10.605749486652977,"[6.68547523766962,19.772986278630963]"
panda,cr_ik_elastic_mu1,cr_ik_elastic_mu0,normalized_shortfall_reduction_mean,40,0.03901903493431853,"[0.025926893526437265,0.056207263503278954]",,
panda,cr_ik_elastic_mu4,trac_task_5ms,completion,40,0.025,"[0.0,0.06666666666666667]",1.0272727272727271,"[1.0,1.0776699029126215]"
panda,cr_ik_elastic_mu4,trac_task_5ms,deadline_completion,40,-0.01666666666666667,"[-0.06666666666666668,0.03333333333333334]",0.9816513761467891,"[0.9285714285714286,1.041237113402062]"
panda,cr_ik_elastic_mu4,trac_task_5ms,total_latency_ns,40,105391754.67500001,"[91215485.18416667,117876264.92875]",3.3028364517449247,"[2.346278287354415,4.906051126955404]"
panda,cr_ik_elastic_mu4,trac_task_5ms,frame_success,40,0.008833333333333328,"[-0.00038888888888889694,0.02677777777777778]",1.0090531230427604,"[0.9996025211515531,1.0282007136385665]"
panda,cr_ik_elastic_mu4,trac_task_5ms,acceleration_rms,40,0.49839111871862374,"[0.08381138823122929,0.9203699356935079]",1.120364206577125,"[1.017009938233243,1.2668125318270889]"
panda,cr_ik_elastic_mu4,trac_task_20ms,completion,40,0.025,"[0.0,0.06666666666666667]",1.0272727272727271,"[1.0,1.0776699029126215]"
panda,cr_ik_elastic_mu4,trac_task_20ms,deadline_completion,40,-0.01666666666666667,"[-0.06666666666666668,0.041666666666666664]",0.9816513761467889,"[0.9266055045871561,1.0471698113207548]"
panda,cr_ik_elastic_mu4,trac_task_20ms,total_latency_ns,40,51353991.983333334,"[-30046221.774166644,107437501.77583335]",1.514549341162633,"[0.841712422479221,4.842179210722169]"
panda,cr_ik_elastic_mu4,trac_task_20ms,frame_success,40,0.008111111111111107,"[-0.000666666666666671,0.025111111111111112]",1.0083067819754212,"[0.9993229519295869,1.0262515971657569]"
panda,cr_ik_elastic_mu4,trac_task_20ms,acceleration_rms,40,0.59118744368669,"[0.1540989629518999,1.0262840177124601]",1.1460480894875362,"[1.0329967443929942,1.303119514109711]"
panda,cr_ik_elastic_mu4,pink_qp,completion,40,0.016666666666666666,"[-0.025,0.075]",1.018018018018018,"[0.975,1.0833333333333333]"
panda,cr_ik_elastic_mu4,pink_qp,deadline_completion,40,-0.03333333333333334,"[-0.09166666666666667,0.03333333333333333]",0.9639639639639639,"[0.9009009009009008,1.0392156862745097]"
panda,cr_ik_elastic_mu4,pink_qp,total_latency_ns,40,12159960.6,"[-4296647.751041667,30873151.07687501]",1.087483080582051,"[0.9693044123164131,1.2223196851253975]"
panda,cr_ik_elastic_mu4,pink_qp,frame_success,40,0.0013888888888888868,"[-0.012999999999999998,0.01916666666666666]",1.0014126688139233,"[0.9868659420289856,1.019895991868829]"
panda,cr_ik_elastic_mu4,pink_qp,acceleration_rms,40,0.4346344704745359,"[-0.8268699238822682,1.686099399958643]",1.1033749004914164,"[0.8419813701467009,1.5104675037482338]"
panda,cr_ik_elastic_mu4,cr_ik,completion,40,0.008333333333333333,"[0.0,0.025]",1.0089285714285714,"[1.0,1.0285714285714285]"
panda,cr_ik_elastic_mu4,cr_ik,deadline_completion,40,0.0,"[-0.03333333333333334,0.03354166666666743]",1.0,"[0.9619047619047618,1.0439935064935066]"
panda,cr_ik_elastic_mu4,cr_ik,total_latency_ns,40,-702961625.4416666,"[-717619850.9756249,-686540172.5537502]",0.176975032776318,"[0.15873807464946868,0.19798337456649115]"
panda,cr_ik_elastic_mu4,cr_ik,frame_success,40,0.005277777777777775,"[0.0,0.014888888888888887]",1.0053894593521304,"[1.0,1.0155723416618248]"
panda,cr_ik_elastic_mu4,cr_ik,acceleration_rms,40,-0.7278003750776902,"[-1.4806698811655477,0.020202470636375106]",0.8643905046552095,"[0.7497264790438672,1.0042288965799508]"
panda,cr_ik_elastic_mu4,cr_ik,intervention_normalized_mean,40,-0.11058973535384586,"[-0.13382792474318408,-0.08974221282160624]",0.1561513283345539,"[0.11106033559279999,0.2074107652316587]"
panda,cr_ik_elastic_mu4,cr_ik,optimization_call_rate,40,-0.5242777777777777,"[-0.5894458333333333,-0.4606652777777778]",0.47572222222222216,"[0.4105541666666667,0.5393347222222221]"
panda,cr_ik_elastic_mu4,cr_ik_minimal,completion,40,0.0,"[0.0,0.0]",1.0,"[1.0,1.0]"
panda,cr_ik_elastic_mu4,cr_ik_minimal,deadline_completion,40,-0.008333333333333335,"[-0.058333333333333334,0.04166666666666667]",0.9907407407407407,"[0.9351851851851851,1.049031741409435]"
panda,cr_ik_elastic_mu4,cr_ik_minimal,total_latency_ns,40,14322647.333333338,"[4320196.878541668,23446558.138750006]",1.1046708054265364,"[1.0305925993023421,1.1788744431812004]"
panda,cr_ik_elastic_mu4,cr_ik_minimal,frame_success,40,-0.0001666666666666705,"[-0.0005000000000000115,0.0]",0.999830747531735,"[0.9994839745427442,1.0]"
panda,cr_ik_elastic_mu4,cr_ik_minimal,acceleration_rms,40,-0.3094748676162807,"[-0.8000325597262078,0.10814526353856686]",0.937461607499119,"[0.8612176220890654,1.0257558648542016]"
panda,cr_ik_elastic_mu4,cr_ik_minimal,intervention_normalized_mean,40,0.019510462992237805,"[0.013590778092064557,0.025416471985027164]",21.455687042966776,"[11.858291489978946,46.46686857821698]"
panda,cr_ik_elastic_mu4,cr_ik_minimal,optimization_call_rate,40,0.0003888888888888845,"[-0.011888888888888897,0.013502777777777789]",1.0008181393174378,"[0.9752085215863452,1.0290327749002905]"
panda,cr_ik_elastic_mu4,cr_ik_elastic_mu0,completion,40,-0.008333333333333335,"[-0.025,0.0]",0.9912280701754386,"[0.972972972972973,1.0]"
panda,cr_ik_elastic_mu4,cr_ik_elastic_mu0,deadline_completion,40,-0.04166666666666667,"[-0.08333333333333334,-0.008333333333333335]",0.9553571428571429,"[0.9137931034482758,0.9908256880733947]"
panda,cr_ik_elastic_mu4,cr_ik_elastic_mu0,total_latency_ns,40,-21038509.333333332,"[-39245670.688333325,-3716994.3752083275]",0.8778225419664069,"[0.7868280525824414,0.9769952922717726]"
panda,cr_ik_elastic_mu4,cr_ik_elastic_mu0,frame_success,40,-0.00411111111111111,"[-0.012444444444444439,0.0002222222222222181]",0.9958417621937514,"[0.9873460625917976,1.000224971878515]"
panda,cr_ik_elastic_mu4,cr_ik_elastic_mu0,acceleration_rms,40,0.021939258661520467,"[-0.2108376017636841,0.2552930477220489]",1.0047516947433601,"[0.9565266303344814,1.0586941849655735]"
panda,cr_ik_elastic_mu4,cr_ik_elastic_mu0,intervention_normalized_mean,40,0.01520965595954577,"[0.010228473125711715,0.0200983018597129]",3.8945418954662467,"[2.412981388723446,8.60849720561389]"
panda,cr_ik_elastic_mu4,cr_ik_elastic_mu0,optimization_call_rate,40,-0.014111111111111116,"[-0.03205555555555555,0.0010555555555555513]",0.9711920154247476,"[0.9354369899650072,1.0021807383876011]"
panda,cr_ik_elastic_mu4,cr_ik_elastic_mu0,partial_correction_rate,40,0.2501111111111111,"[0.1859986111111111,0.3170055555555556]",,
panda,cr_ik_elastic_mu4,cr_ik_elastic_mu0,effective_command_adjustment_rate,40,0.25427777777777777,"[0.18794305555555552,0.32422638888888894]",10.398357289527722,"[6.314713363474175,20.064492378274387]"
panda,cr_ik_elastic_mu4,cr_ik_elastic_mu0,normalized_shortfall_reduction_mean,40,0.04267012276232681,"[0.02641687710411262,0.06280918219324119]",,
ur5e,cr_ik_elastic_mu0,trac_task_5ms,completion,40,0.0,"[-0.025,0.025]",1.0,"[0.9747899159663865,1.0256410256410255]"
ur5e,cr_ik_elastic_mu0,trac_task_5ms,deadline_completion,40,-0.025,"[-0.06666666666666668,0.024999999999999998]",0.9736842105263158,"[0.9279279279279278,1.0258620689655173]"
ur5e,cr_ik_elastic_mu0,trac_task_5ms,total_latency_ns,40,129094932.475,"[110618083.33583334,149792156.89937502]",5.508983853776877,"[4.471605739301351,6.704425135582319]"
ur5e,cr_ik_elastic_mu0,trac_task_5ms,frame_success,40,-0.0021666666666666696,"[-0.006833333333333335,0.0002222222222222181]",0.9978239035821895,"[0.9931376924793572,1.0002251238181]"
ur5e,cr_ik_elastic_mu0,trac_task_5ms,acceleration_rms,40,1.526950600968242,"[0.44593546293940595,2.680524438235029]",1.1517118965359563,"[1.037883850884494,1.3260083513408842]"
ur5e,cr_ik_elastic_mu0,trac_task_20ms,completion,40,-0.008333333333333335,"[-0.025,0.0]",0.9914529914529914,"[0.9736842105263158,1.0]"
