robot,method,phase,frames,mean_ms,p50_ms,p95_ms,p99_ms
ur5e,cr_ik,total_latency_ns,18000,5.240376349222222,5.2208605,5.5583288,6.37203013
ur5e,cr_ik_elastic_mu0,backup_ns,18000,0.25855880111111107,0.2074375,0.2768332499999999,0.4488260699999763
ur5e,cr_ik_elastic_mu0,cone_construction_ns,18000,0.13071636166666667,0.0,0.41458994999999993,0.5021013199999944
ur5e,cr_ik_elastic_mu0,cone_solve_ns,18000,0.04250620755555556,0.0,0.23666844999999997,0.27217703
ur5e,cr_ik_elastic_mu0,demand_estimation_ns,18000,0.037231606333333334,0.037385,0.042542050000000005,0.05355725999999996
ur5e,cr_ik_elastic_mu0,initial_pair_ns,18000,0.2929319180555556,0.2922385,0.31999445,0.36853994999999967
ur5e,cr_ik_elastic_mu0,nonlinear_validation_ns,18000,0.26659971622222217,0.00012,1.7052487,1.7539749999999994
ur5e,cr_ik_elastic_mu0,optimization_ns,18000,0.43982228544444446,0.000138,2.34660895,2.4205841299999995
ur5e,cr_ik_elastic_mu0,total_latency_ns,18000,1.0515035784444444,0.581128,2.9824663,3.216682719999999
ur5e,cr_ik_elastic_mu025,backup_ns,18000,0.2281680228888889,0.203836,0.26986934999999995,0.34049608
ur5e,cr_ik_elastic_mu025,cone_construction_ns,18000,0.09874587133333333,0.0,0.21303794999999998,0.4728638199999986
ur5e,cr_ik_elastic_mu025,cone_solve_ns,18000,0.04373583983333333,0.0,0.14448339999999998,0.2441632399999998
ur5e,cr_ik_elastic_mu025,demand_estimation_ns,18000,0.03693211927777778,0.037242,0.041863149999999995,0.05201504999999983
ur5e,cr_ik_elastic_mu025,initial_pair_ns,18000,0.29040766761111114,0.2909325,0.31420525,0.34143692999999986
ur5e,cr_ik_elastic_mu025,nonlinear_validation_ns,18000,0.13009634827777777,0.000126,0.4226760499999999,0.9719047799999984
ur5e,cr_ik_elastic_mu025,optimization_ns,18000,0.2725780594444444,0.000138,0.7718392499999999,2.0652676099999976
ur5e,cr_ik_elastic_mu025,total_latency_ns,18000,0.8484683967777779,0.5785065,1.4173641499999998,2.675369199999995
ur5e,cr_ik_elastic_mu1,backup_ns,18000,0.23123612066666666,0.2040855,0.2722771499999999,0.34173122999999983
ur5e,cr_ik_elastic_mu1,cone_construction_ns,18000,0.09854442744444444,0.0,0.213477,0.4706582999999999
ur5e,cr_ik_elastic_mu1,cone_solve_ns,18000,0.04432901022222222,0.0,0.14525815,0.24836740999999976
ur5e,cr_ik_elastic_mu1,demand_estimation_ns,18000,0.036929029055555555,0.037213,0.042018099999999996,0.05209822999999997
ur5e,cr_ik_elastic_mu1,initial_pair_ns,18000,0.2907529281111111,0.291012,0.31485719999999995,0.3436927599999999
ur5e,cr_ik_elastic_mu1,nonlinear_validation_ns,18000,0.13930905338888888,0.000126,0.5037855,0.9851242899999999
ur5e,cr_ik_elastic_mu1,optimization_ns,18000,0.2821824910555556,0.000138,0.8677928999999995,2.083118059999998
ur5e,cr_ik_elastic_mu1,total_latency_ns,18000,0.86150619,0.576804,1.4741298999999999,2.7017366000000003
ur5e,cr_ik_elastic_mu4,backup_ns,18000,0.2567639455,0.2035825,0.27619604999999997,0.6175054299999987
ur5e,cr_ik_elastic_mu4,cone_construction_ns,18000,0.10074125444444446,0.0,0.21475794999999998,0.47931793999999955
ur5e,cr_ik_elastic_mu4,cone_solve_ns,18000,0.045523843,0.0,0.14722435,0.24655251999999928
ur5e,cr_ik_elastic_mu4,demand_estimation_ns,18000,0.03695378822222223,0.037132,0.0424152,0.05291737999999994
ur5e,cr_ik_elastic_mu4,initial_pair_ns,18000,0.2902750382222222,0.2904875,0.31557915000000003,0.3647629799999995
ur5e,cr_ik_elastic_mu4,nonlinear_validation_ns,18000,0.13720015,0.000126,0.5093702,0.9791304499999992
ur5e,cr_ik_elastic_mu4,optimization_ns,18000,0.28346524744444446,0.000139,0.8992896999999999,2.039193779999994
ur5e,cr_ik_elastic_mu4,total_latency_ns,18000,0.8878143536666666,0.579147,1.4856505,2.808515839999998
ur5e,cr_ik_minimal,backup_ns,18000,0.3350169769444445,0.207876,0.2903530999999999,5.24183813
ur5e,cr_ik_minimal,cone_construction_ns,18000,0.10177094172222223,0.0,0.2446514999999977,0.4077686099999999
ur5e,cr_ik_minimal,cone_solve_ns,18000,0.0342292005,0.0,0.1098754,0.22630959999999992
ur5e,cr_ik_minimal,demand_estimation_ns,18000,0.037279122000000005,0.037369,0.04290005,0.053362149999999976
ur5e,cr_ik_minimal,initial_pair_ns,18000,0.2823835355,0.283995,0.3084322,0.3472543899999998
ur5e,cr_ik_minimal,nonlinear_validation_ns,18000,0.04057405844444445,0.000119,0.000181,1.3975578699999982
ur5e,cr_ik_minimal,optimization_ns,18000,0.17657420066666668,0.000147,0.5064318999999999,2.028082139999993
ur5e,cr_ik_minimal,total_latency_ns,18000,0.8501460099444444,0.584663,1.3368726999999998,6.0220971599999995
ur5e,pink_qp,total_latency_ns,6000,0.646509118,0.640074,0.68717655,0.81529966
ur5e,trac_task_20ms,total_latency_ns,18000,0.2554975878888889,0.152294,0.22043969999999996,0.40947937999999784
ur5e,trac_task_5ms,total_latency_ns,18000,0.19087069527777778,0.1521655,0.21559099999999995,0.3441553099999993
