problem_id,robot,stratum,kappa,method,repeat,reason,theta,dual_updates,active_updates,upper,lower,gap,pzero,model_fraction,bounds_valid,raw_gap,objective,feasible_box_violation,normal_residual,dual_lower,box_minorant_lower,task_squared,outer_ns,kernel_ns,conversion_ns,verifier_calls,command_accepted,common_gap,tight_quality_pass,common_normalized_gap,model_fraction_vs_reference,objective_difference_vs_clarabel,raw_box_violation,roundoff_projection,raw_epigraph_violation,native_theta_weights,iterations,status,native_primal_objective,native_dual_objective,native_primal_residual,native_dual_residual,setup_update_ns,solve_ns,native_seconds,updated,total_ns,box_qp_updates,primal_upper,converged,task_feasible_early,deadline
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,relative_progress,3,relative_progress,0.5,1,1,0.0007658308607833049,0.0007657532538979141,7.760688539081104e-08,150.18978535007295,0.9999999994832718,True,7.760688539081104e-08,0.0007658308607833049,0.0,9.161620672871226e-14,0.0007657532538979141,0.0007657532538979141,"[2.902968554536524e-07,1.3508308467195013e-07]",161707,109439,6890,0,,7.066686759447504e-08,True,7.066686759447504e-08,0.999999999532116,7.027101983907592e-08,,,,,,,,,,,,,,,,,,,,
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,clarabel_command,3,,0.5947577494762584,,,,,,,,,,0.0007657605897634658,0.0,2.8116630236315557e-06,0.0007657601939157104,0.0007657601939157104,"[2.0543828960366895e-07,2.0543925690079582e-07]",236852,118465,4399,1,True,3.95847755399123e-10,True,3.95847755399123e-10,,0.0,0.0,0.0,0.0,"[0.5947577494765452,0.40524225052393714]",8,Solved,0.0007657605925456102,0.0007657605808968968,1.7373271023638736e-10,2.5380334181018387e-13,21645,42430,7.1534e-05,True,116706,,,,,
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,clarabel_epigraph,3,,0.5947577494762584,,,,,,,,,,0.0007657605897634658,0.0,2.8116630236315557e-06,0.0007657601939157104,0.0007657601939157104,"[2.0543828960366895e-07,2.0543925690079582e-07]",125158,119469,4297,0,,3.95847755399123e-10,True,3.95847755399123e-10,,0.0,0.0,0.0,0.0,"[0.5947577494765452,0.40524225052393714]",8,Solved,0.0007657605925456102,0.0007657605808968968,1.7373271023638736e-10,2.5380334181018387e-13,21567,42523,7.173e-05,True,117590,,,,,
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,old_command,3,,0.5,1,,,,,,,,,0.0007658308607832969,0.0,3.178341852196019e-14,0.0007657532538979143,0.0007657532538979143,"[2.9029685543148046e-07,1.350830846664827e-07]",298184,163412,4262,2,True,7.066686758645194e-08,True,7.066686758645194e-08,,7.027101983105282e-08,,,,,,task_feasible_early,,,,,,,,,,1,,False,True,False
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,old_tight,3,,0.5,1,,,,7.760688538257111e-08,,,,7.760688538257111e-08,0.0007658308607832969,0.0,3.178341852196019e-14,0.0007657532538979143,0.0007657532538979143,"[2.9029685543148046e-07,1.350830846664827e-07]",118080,78037,4116,0,,7.066686758645194e-08,True,7.066686758645194e-08,,7.027101983105282e-08,,,,,,gap_converged,,,,,,,,,,1,0.0007658308607832969,True,False,False
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,cached_command,3,task_first,0.5,1,,,,,,,,,0.0007658308607833049,0.0,9.161620672871226e-14,0.0007657532538979141,0.0007657532538979141,"[2.902968554536524e-07,1.3508308467195013e-07]",277062,138959,4208,2,True,7.066686759447504e-08,True,7.066686759447504e-08,,7.027101983907592e-08,,,,,,,,,,,,,,,,,,,,
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,cached_tight,3,tight_gap,0.5,1,1,0.0007658308607833049,0.0007657532538979141,7.760688539081104e-08,150.18978535007295,0.9999999994832718,True,7.760688539081104e-08,0.0007658308607833049,0.0,9.161620672871226e-14,0.0007657532538979141,0.0007657532538979141,"[2.902968554536524e-07,1.3508308467195013e-07]",122681,82752,4195,0,,7.066686759447504e-08,True,7.066686759447504e-08,0.999999999532116,7.027101983907592e-08,,,,,,,,,,,,,,,,,,,,
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,relative_command,3,task_first,0.5,1,,,,,,,,,0.0007658308607833049,0.0,9.161620672871226e-14,0.0007657532538979141,0.0007657532538979141,"[2.902968554536524e-07,1.3508308467195013e-07]",269303,136113,4105,2,True,7.066686759447504e-08,True,7.066686759447504e-08,,7.027101983907592e-08,,,,,,,,,,,,,,,,,,,,
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,old_tight,4,,0.5,1,,,,7.760688538257111e-08,,,,7.760688538257111e-08,0.0007658308607832969,0.0,3.178341852196019e-14,0.0007657532538979143,0.0007657532538979143,"[2.9029685543148046e-07,1.350830846664827e-07]",139052,93656,4914,0,,7.066686758645194e-08,True,7.066686758645194e-08,,7.027101983105282e-08,,,,,,gap_converged,,,,,,,,,,1,0.0007658308607832969,True,False,False
panda_trajectory_30_k0_f0,panda,regular_first_subproblems,0,clarabel_command,4,,0.5947577494762584,,,,,,,,,,0.0007657605897634658,0.0,2.8116630236315557e-06,0.0007657601939157104,0.0007657601939157104,"[2.0543828960366895e-07,2.0543925690079582e-07]",229504,117551,4240,1,True,3.95847755399123e-10,True,3.95847755399123e-10,,0.0,0.0,0.0,0.0,"[0.5947577494765452,0.40524225052393714]",8,Solved,0.0007657605925456102,0.0007657605808968968,1.7373271023638736e-10,2.5380334181018387e-13,20511,41768,7.1095e-05,True,115725,,,,,
