robot,stratum,kappa,method,calls,tight_quality_calls,p50_p95_p99_ms,kernel_p50_ms,mean_qps,statuses,relative_stops,achieved_at_least80_calls,minimum_achieved_fraction,max_normalized_gap
ur5e,historical_failure_inputs,0,cached_command,55,30,"[0.685447,1.033232,1.03846]",0.552987,3.3636363636363638,"{""tight_gap"":30,""task"":20,""task_first"":5}",0,0,,0.04634040854973931
ur5e,historical_failure_inputs,0,cached_tight,55,55,"[0.441199,0.4566757,0.4611445]",0.399439,4.7272727272727275,"{""tight_gap"":55}",0,0,,3.593116004122626e-08
ur5e,historical_failure_inputs,0,clarabel_command,55,55,"[0.246303,0.2604067,0.26984626]",0.139173,10.636363636363637,"{""Solved"":55}",0,0,,9.359293895450094e-11
ur5e,historical_failure_inputs,0,clarabel_epigraph,55,55,"[0.149722,0.16057020000000002,0.1624066]",0.14376,10.636363636363637,"{""Solved"":55}",0,0,,9.359293895450094e-11
ur5e,historical_failure_inputs,0,old_command,55,30,"[0.668848,1.026394,1.04387188]",0.538991,3.3636363636363638,"{""gap_converged"":30,""task_feasible_early"":25}",0,0,,0.046340408549709555
ur5e,historical_failure_inputs,0,old_tight,55,55,"[0.435955,0.4680677,0.5094562600000001]",0.394475,4.7272727272727275,"{""gap_converged"":55}",0,0,,3.593115999438873e-08
ur5e,historical_failure_inputs,0,relative_command,55,0,"[0.325928,0.3507922,0.36089141999999996]",0.194029,1.0,"{""relative_progress"":50,""task_first"":5}",50,50,0.9006668509699787,0.2929010100028998
ur5e,historical_failure_inputs,0,relative_progress,55,0,"[0.13719,0.148148,0.15187408000000002]",0.09608,1.0,"{""relative_progress"":55}",55,55,0.9006668509699787,0.2929010100028998
ur5e,historical_failure_inputs,1,cached_command,55,30,"[0.667994,1.0474231,1.05544372]",0.536221,3.3636363636363638,"{""tight_gap"":30,""task"":20,""task_first"":5}",0,0,,0.041510310193680434
ur5e,historical_failure_inputs,1,cached_tight,55,55,"[0.43762,0.453141,0.4573129]",0.394617,4.7272727272727275,"{""tight_gap"":55}",0,0,,3.639980608594051e-08
ur5e,historical_failure_inputs,1,clarabel_command,55,55,"[0.247728,0.2621603,0.26770252]",0.142135,10.727272727272727,"{""Solved"":55}",0,0,,2.8588268994925655e-11
ur5e,historical_failure_inputs,1,clarabel_epigraph,55,55,"[0.148089,0.161783,0.1648219]",0.141981,10.727272727272727,"{""Solved"":55}",0,0,,2.8588268994925655e-11
ur5e,historical_failure_inputs,1,old_command,55,30,"[0.677934,1.0423495,1.05715896]",0.545894,3.3636363636363638,"{""gap_converged"":30,""task_feasible_early"":25}",0,0,,0.04151031019365932
ur5e,historical_failure_inputs,1,old_tight,55,55,"[0.435813,0.4589797,0.46946698000000003]",0.393962,4.7272727272727275,"{""gap_converged"":55}",0,0,,3.6399806058184936e-08
ur5e,historical_failure_inputs,1,relative_command,55,0,"[0.324644,0.3410678,0.3451809]",0.192765,1.0,"{""relative_progress"":50,""task_first"":5}",50,50,0.9004768883331096,0.29117950017788574
ur5e,historical_failure_inputs,1,relative_progress,55,0,"[0.136365,0.14765029999999998,0.15220824000000002]",0.094714,1.0,"{""relative_progress"":55}",55,55,0.9004768883331096,0.29117950017788574
ur5e,regular_first_subproblems,0,cached_command,320,180,"[0.26231,0.2797418,0.6185439300000001]",0.132363,1.03125,"{""task_first"":315,""tight_gap"":5}",0,0,,0.00047439388722556215
ur5e,regular_first_subproblems,0,cached_tight,320,300,"[0.126606,0.98761775,1.02001861]",0.086577,2.71875,"{""tight_gap"":300,""cap"":20}",0,0,,1.4257284116021043e-05
ur5e,regular_first_subproblems,0,clarabel_command,320,320,"[0.248689,0.27668129999999996,0.28437648]",0.1437015,11.75,"{""Solved"":170,""AlmostSolved"":150}",0,0,,7.908864794485744e-08
ur5e,regular_first_subproblems,0,clarabel_epigraph,320,320,"[0.151198,0.1740655,0.18693112]",0.145189,11.759375,"{""Solved"":169,""AlmostSolved"":151}",0,0,,7.908864794485744e-08
ur5e,regular_first_subproblems,0,old_command,320,180,"[0.2915495,0.31017075,0.6067342]",0.160229,1.03125,"{""task_feasible_early"":315,""gap_converged"":5}",0,0,,0.0004743938872254728
ur5e,regular_first_subproblems,0,old_tight,320,300,"[0.129754,0.9862446000000001,1.01138413]",0.08857,2.71875,"{""gap_converged"":300,""inexact"":20}",0,0,,1.4257284116018766e-05
ur5e,regular_first_subproblems,0,relative_command,320,175,"[0.2613905,0.27911785,0.29889396]",0.1324115,1.0,"{""task_first"":315,""relative_progress"":5}",5,5,0.9999881954360916,0.00601924192885217
ur5e,regular_first_subproblems,0,relative_progress,320,175,"[0.118761,0.12867,0.13689189000000002]",0.0794055,1.0,"{""relative_progress"":320}",320,320,0.9999525737478597,0.00601924192885217
ur5e,regular_first_subproblems,1,cached_command,320,125,"[0.261719,0.27984475,0.61393921]",0.1318775,1.03125,"{""task_first"":315,""tight_gap"":5}",0,0,,0.00022600900403960122
ur5e,regular_first_subproblems,1,cached_tight,320,315,"[0.1873585,0.4830402500000001,1.00118825]",0.1468825,2.59375,"{""tight_gap"":315,""cap"":5}",0,0,,3.966652316333974e-07
ur5e,regular_first_subproblems,1,clarabel_command,320,315,"[0.244651,0.2734103,0.27740937]",0.1399815,11.046875,"{""AlmostSolved"":110,""Solved"":210}",0,0,,1.1181019378414536e-07
ur5e,regular_first_subproblems,1,clarabel_epigraph,320,315,"[0.1469015,0.17196035,0.17600344]",0.1408635,11.046875,"{""AlmostSolved"":110,""Solved"":210}",0,0,,1.1181019378414536e-07
ur5e,regular_first_subproblems,1,old_command,320,125,"[0.290255,0.3083835,0.60598715]",0.1594935,1.03125,"{""task_feasible_early"":315,""gap_converged"":5}",0,0,,0.00022600900403974
ur5e,regular_first_subproblems,1,old_tight,320,315,"[0.1841805,0.4676488,0.98887512]",0.143903,2.59375,"{""gap_converged"":315,""inexact"":5}",0,0,,3.966652316056418e-07
ur5e,regular_first_subproblems,1,relative_command,320,120,"[0.2617505,0.2816827,0.3103542]",0.132144,1.0,"{""task_first"":315,""relative_progress"":5}",5,5,0.9999881393890523,0.006047829719259268
ur5e,regular_first_subproblems,1,relative_progress,320,120,"[0.118968,0.12895725,0.13150997]",0.0793385,1.0,"{""relative_progress"":320}",320,320,0.9999773357211978,0.006047829719259268
