robot,method,family,scheduled_scenes,implementation_ready,timed_scenes,reference_missing_scenes,shared_b1_missing_scenes,planner_feasible_scene_equivalents,initialization_attempted_scenes,initialization_success_scene_equivalents,physics_executed_scenes,execution_completed_scenes,quality_completed_scenes,quality_rate_all_scheduled,quality_execution_s_mean,quality_execution_s_median,planning_s_mean,planning_s_median,planning_s_p95,predicted_execution_s_mean,initial_s_mean,smoothing_s_mean,optimization_s_mean,retime_s_mean,validation_s_mean,valid_coverage_mean_executed,acceleration_max_mean_executed
panda,B0,plane,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,17.050499999997857,17.132499999997954,1.4171017314141257,1.4149222639971413,1.496166773749307,16.850793151659452,0.3161077666663914,,,0.029490048750934268,1.0066000274170315,1.0,0.9725869026215579
panda,B0,cylinder,4,True,1,3,0,1.0,1,1.0,1,1,1,0.25,20.807000000002446,20.807000000002446,1.3991647066674584,1.3991647066674584,1.3991647066674584,20.60746147855565,0.28123594633264776,,,0.02996844433315952,1.0261163876663584,0.999999999999979,0.9669316316916567
panda,B0,saddle,4,True,4,0,0,4.0,4,4.0,4,3,3,0.75,16.757999999997498,16.62899999999734,1.4047093226672587,1.4056209526679595,1.476902403215354,16.78949526046612,0.2949644860006326,,,0.030213310416608387,1.0168824907492915,0.9999999999999961,0.9913030875221633
panda,B1,plane,4,True,4,0,0,4.0,4,4.0,4,2,2,0.5,17.13349999999796,17.13349999999796,32.47977321150029,32.478619743333795,32.75186084159965,16.469491400102328,0.2237348608329436,30.905038533666204,,0.029433739164232975,1.0087824145836446,1.0,0.9924269163514641
panda,B1,cylinder,4,True,1,3,0,1.0,1,1.0,1,1,1,0.25,20.689000000002302,20.689000000002302,31.888030854667402,31.888030854667402,31.888030854667402,20.489939057271176,0.22453708533430472,30.290094198663912,,0.03011499966911894,1.035435757000717,0.999999999999979,0.9666797332659363
panda,B1,saddle,4,True,4,0,0,4.0,4,4.0,4,3,2,0.5,16.747499999997487,16.747499999997487,32.62407363375011,32.612486422000075,33.24368574373208,16.2919228569179,0.22361311808405543,31.02271643050032,,0.030254581335005543,1.0180038425824023,0.9998627187787791,0.9890113648579358
panda,B2,plane,4,True,4,0,0,4.0,0,0,4,2,2,0.5,17.13349999999796,17.13349999999796,65.68454924833229,66.09797897433236,66.6816123826468,16.469491400102328,32.34429368374913,,31.730712606250265,0.02951364991470958,1.0139077956676676,1.0,0.9924269163514641
panda,B2,cylinder,4,True,1,3,0,1.0,0,0,1,1,1,0.25,20.689000000002302,20.689000000002302,64.02614318767398,64.02614318767398,64.02614318767398,20.489939057271176,31.800128676004533,,30.606109858003038,0.030245014332952753,1.0317879119999513,0.999999999999979,0.9666797332659363
panda,B2,saddle,4,True,4,0,0,4.0,0,0,4,3,1,0.25,16.000999999996573,16.000999999996573,65.67915737466863,65.48496685366868,66.8317063748332,16.280676390458474,32.602266822501406,,31.441582465333944,0.030304794916446554,1.0176326039163541,0.9997074572585224,0.9908233459293505
panda,B3,plane,4,False,0,0,0,,0,,0,,,,,,,,,,,,,,,,
panda,B3,cylinder,4,False,0,0,0,,0,,0,,,,,,,,,,,,,,,,
panda,B3,saddle,4,False,0,0,0,,0,,0,,,,,,,,,,,,,,,,
panda,G,plane,4,True,4,0,0,4.0,4,4.0,4,2,2,0.5,17.13349999999796,17.13349999999796,32.42383891125064,32.488853070666664,32.759898169234056,16.469491400102328,0.22294004025146327,30.846430466831713,,0.029619706417482426,1.0117040421658507,1.0,0.9924269163514641
panda,G,cylinder,4,True,1,3,0,1.0,1,1.0,1,1,1,0.25,20.689000000002302,20.689000000002302,31.773367298667534,31.773367298667534,31.773367298667534,20.489939057271176,0.22335762133540507,30.18559322600292,,0.029905517665611114,1.0283239229999406,0.999999999999979,0.9666797332659363
panda,G,saddle,4,True,4,0,0,4.0,4,4.0,4,3,2,0.5,16.747499999997487,16.747499999997487,32.65267892724963,32.57238242116485,33.39751400405184,16.2919228569179,0.22295363491442308,31.04808444424998,,0.030270366748785214,1.020057890085809,0.9998627187787791,0.9890113648579358
ur5e,B0,plane,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,16.16799999999703,16.132499999996952,1.384057406916933,1.3835240554981283,1.4472762787850417,15.968762484141802,0.2871279544166706,,,0.02965082333321334,1.0079863824157655,1.0,0.9711508351632728
ur5e,B0,cylinder,4,True,4,0,0,4.0,4,4.0,4,2,2,0.5,19.139000000000408,19.139000000000408,1.433769431667315,1.4329273823338249,1.4936618361833098,19.18238639058425,0.31247471891704964,,,0.0303980289172614,1.029907461833621,0.999999999999979,0.9928148983505407
ur5e,B0,saddle,4,True,4,0,0,4.0,4,4.0,4,3,3,0.75,16.150333333330465,15.745999999996712,1.384690400916952,1.3861688266661076,1.4516940478681741,16.175779563105586,0.28022200008429843,,,0.03042564408254596,1.0138604801674471,0.9999934416754325,0.9839341984075942
ur5e,B1,plane,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,16.16524999999703,16.128999999996953,32.895819121748595,32.80880901849862,33.97558372039966,15.965867386364241,0.21087483483218725,31.333926846666145,,0.029721215749911305,1.0120614444161524,1.0,0.9722562564541086
ur5e,B1,cylinder,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,19.39300000000072,19.291500000000596,32.47110620274907,32.61130910849897,32.876308088498504,19.19357049421657,0.21155307983341723,30.905901464666385,,0.030417419666870654,1.030273939667192,0.999999999999979,0.982182438636948
ur5e,B1,saddle,4,True,4,0,0,4.0,4,4.0,4,4,2,0.5,17.13549999999796,17.13549999999796,33.00522292725084,33.01311209800042,33.961291116601444,15.872822912385894,0.20968424874990887,31.431994888249392,,0.030462310832566196,1.0152205576669076,0.9999082972344456,0.9827822656883578
ur5e,B2,plane,4,True,4,0,0,4.0,0,0,4,4,4,1.0,16.16524999999703,16.128999999996953,66.42250014291555,66.2032480538328,67.7806356550666,15.965867386364241,32.93084544074918,,31.937123855333994,0.02969183299925741,1.0125938372499756,1.0,0.9722562564541086
ur5e,B2,cylinder,4,True,4,0,0,4.0,0,0,4,4,4,1.0,19.39300000000072,19.291500000000596,65.41309611474934,65.35642306933126,66.30478600738327,19.19357049421657,32.519165382998835,,31.319151659667114,0.030698197583963825,1.0302572534164938,0.999999999999979,0.982182438636948
ur5e,B2,saddle,4,True,4,0,0,4.0,0,0,4,4,2,0.5,17.13549999999796,17.13549999999796,66.13546309783548,66.08252443233748,67.02067631906455,15.818440798703472,32.91179497475059,,31.668284940667945,0.030505554250945956,1.0129226716677902,0.9999082972344456,0.9827822656883578
ur5e,B3,plane,4,False,0,0,0,,0,,0,,,,,,,,,,,,,,,,
ur5e,B3,cylinder,4,False,0,0,0,,0,,0,,,,,,,,,,,,,,,,
ur5e,B3,saddle,4,False,0,0,0,,0,,0,,,,,,,,,,,,,,,,
ur5e,G,plane,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,16.16524999999703,16.128999999996953,32.951029344915995,32.86462169349761,34.0287278411021,15.965867386364241,0.21022129125049105,31.396705233915778,,0.02972044583293609,1.0093317619994195,1.0,0.9722562564541086
ur5e,G,cylinder,4,True,4,0,0,4.0,4,4.0,4,4,4,1.0,19.39300000000072,19.291500000000596,32.3942621148326,32.46702422816695,32.83863755219985,19.19357049421657,0.20951111374840062,30.836468538249388,,0.030357078331993154,1.0250945853325295,0.999999999999979,0.982182438636948
ur5e,G,saddle,4,True,4,0,0,4.0,4,4.0,4,3,1,0.25,17.082999999997895,17.082999999997895,32.973916351501124,32.887725876668505,34.02973355189921,15.806253046641176,0.20939956000014112,31.40214129091631,,0.030467652331935824,1.0162587742500666,0.9999082972344456,0.987405806964573
