scene_uid,slot,cluster,robot,family,placement,direction,method,repeat,implementation_ready,planner_feasible,execution_completed,quality_completed,T_init,T_smooth,T_opt,T_retime,T_validate,total_plan_wall_s,predicted_execution_s,physical_run,status,reason,initialization_success,initialization_residual_evaluations,initialization_nodes,tb_dual_continuation_calls,initialization_node_process_legal,dense_geometry_feasible,dense_min_clearance_m,smoothing_displacement_rms_rad,planning_cost_scope,simulated_completion_time_s,elapsed_until_stop_s,simulation_wall_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,collision_steps,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,torque_requested_utilization_max,velocity_exceed_duration_s,acceleration_exceed_duration_s,scan_duration_s,transition_duration_s,settling_duration_s,sample_state_dt_s,physical_extrema_dt_s,acceleration_rms_rad_s2,jerk_rms_rad_s3,hole_measurement,standoff_m_p95,standoff_m_max,standoff_m_min,center_error_m_p95,center_error_m_max,center_error_m_min,incidence_rad_p95,incidence_rad_max,incidence_rad_min,line_error_rad_p95,line_error_rad_max,line_error_rad_min,profile_process_violation_duration_s,standoff_error_p95_m,standoff_error_max_m,incidence_p95_deg,incidence_max_deg,center_ray_path_error_max_m,line_orientation_error_max_deg,valid_profile_count,profile_count,tracking_joint_error_p95_rad,actual_clearance_sampled_5ms_min_m,actual_feedback_source,solver_return_status,checkpoint_selected,feasible_checkpoint_count
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,B2,2,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,B3,0,False,False,,,,,,,,,,False,not_evaluable,Official example ran; upstream seven-joint IIWA state packing and decoupled Cartesian error box are not yet verified against Panda/UR5e scanner-ray constraints. No surrogate MPC substituted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,B3,1,False,False,,,,,,,,,,False,not_evaluable,Official example ran; upstream seven-joint IIWA state packing and decoupled Cartesian error box are not yet verified against Panda/UR5e scanner-ray constraints. No surrogate MPC substituted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,B3,2,False,False,,,,,,,,,,False,not_evaluable,Official example ran; upstream seven-joint IIWA state packing and decoupled Cartesian error box are not yet verified against Panda/UR5e scanner-ray constraints. No surrogate MPC substituted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,G,0,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,G,1,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,G,2,True,False,,,,,,,,,,False,common_reference_unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B0,0,True,True,True,True,0.39427086600335315,,,0.02906769100081874,1.001039431001118,1.4857500200014329,16.897499564919215,True,planner_feasible,,True,1696,417,0,417,True,0.022038856974783836,0.006272941471849263,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",17.096999999997912,17.096999999997912,2.938583782997739,1.0,1.0,0.0,0.0009498999166806055,0,0.7997049062917717,0.9838092457943731,0.00016447279137264854,0.0,0.38411400812288765,0.0,0.0,13.112,3.786,0.2,0.005,0.001,0.7394648290245921,17.89238484244579,conservative_3d_component_bounding_box_diagonal,0.1504090715064344,0.15321864960908807,0.14883678702909042,0.00040541907617974607,0.0005499025068200945,6.27973364026673e-13,0.0028561286125435266,0.005621097840425612,4.712160915387242e-08,0.0008479579166095185,0.0013675812487907951,0.0,0.0,0.001030473434207673,0.0032186496090880756,0.16364411524529962,0.3220651824864891,0.0005499025068200945,0.07835663369694318,2622,2622,0.00010712284094584465,0.022038896819549778,execution.h5 and actual scan timestamps; no new solve or simulation,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B0,1,True,True,,,0.3964474140011589,,,0.029458990997227374,1.0124276730057318,1.499929006997263,16.897499564919215,False,planner_feasible,,True,1696,417,0,417,True,0.022038856974783836,0.006272941471849263,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B0,2,True,True,,,0.396932456002105,,,0.02977509699849179,1.005173195997486,1.5106590499999584,16.897499564919215,False,planner_feasible,,True,1696,417,0,417,True,0.022038856974783836,0.006272941471849263,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B1,0,True,True,False,False,0.22015385099803098,30.67094998399989,,0.02942819700547261,1.014327229000628,32.24527847600257,15.95746675663842,True,planner_feasible,,True,834,417,0,417,True,0.022061088942352983,0.0037534207096703727,"All measured work including 30 s checkpoint experiment and validation; selected path is the verified 10 s incumbent, not a 10 s return-time guarantee.",,16.156999999996764,2.7441863299973193,1.0,1.0,0.0,0.0009682976875163671,0,0.7227104440535159,1.0220996079356677,0.00013432796542456327,0.0,0.38421698928421916,0.0,0.013000000000000001,12.249,3.709,0.2,0.005,0.001,0.7266523212100346,18.07937337362003,conservative_3d_component_bounding_box_diagonal,0.14999180859698402,0.1500155106721857,0.14956722458954158,0.00015794857057721074,0.0003260877955356521,6.27973364026673e-13,0.0014933337641478226,0.0031528739232787053,4.712160915387242e-08,0.00026398748037085153,0.0010293602787800897,0.0,0.0,0.00011433168468224231,0.0004327754104584136,0.08556172209005493,0.18064636914072352,0.0003260877955356521,0.058977999572508974,2452,2452,0.00011031804830722996,0.02206112352654225,execution.h5 and actual scan timestamps; no new solve or simulation,User_Requested_Stop,10.0,3
