slot,method,repeat,standoff_error_p95_m,standoff_error_max_m,incidence_p95_deg,incidence_max_deg,center_ray_path_error_max_m,line_orientation_error_max_deg,valid_profile_count,profile_count,tracking_joint_error_p95_rad,actual_clearance_sampled_5ms_min_m,actual_feedback_source
panda_cylinder_p0_v,B0,0,0.0001718603416665852,0.000620442585881259,0.019752683449113642,0.04668061368408453,0.00023397677087708252,0.013773807226391377,2494,2494,8.041602235582257e-05,0.021402266169270767,execution.h5 and actual scan timestamps; no new solve or simulation
panda_cylinder_p0_v,B1,0,5.864099657614669e-05,0.00015414998601839813,0.017009337788571322,0.026689684767856825,0.0003244825165339715,0.004710608646706506,2476,2476,7.793603831400817e-05,0.021402282203551976,execution.h5 and actual scan timestamps; no new solve or simulation
panda_cylinder_p0_v,B2,0,5.864099657614669e-05,0.00015414998601839813,0.017009337788571322,0.026689684767856825,0.0003244825165339715,0.004710608646706506,2476,2476,7.793603831400817e-05,0.021402282203551976,execution.h5 and actual scan timestamps; no new solve or simulation
panda_cylinder_p0_v,G,0,5.864099657614669e-05,0.00015414998601839813,0.017009337788571322,0.026689684767856825,0.0003244825165339715,0.004710608646706506,2476,2476,7.793603831400817e-05,0.021402282203551976,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p0_u,B0,0,0.001030473434207673,0.0032186496090880756,0.16364411524529962,0.3220651824864891,0.0005499025068200945,0.07835663369694318,2622,2622,0.00010712284094584465,0.022038896819549778,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p0_u,B1,0,0.00011433168468224231,0.0004327754104584136,0.08556172209005493,0.18064636914072352,0.0003260877955356521,0.058977999572508974,2452,2452,0.00011031804830722996,0.02206112352654225,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p0_u,B2,0,0.00011433168468224231,0.0004327754104584136,0.08556172209005493,0.18064636914072352,0.0003260877955356521,0.058977999572508974,2452,2452,0.00011031804830722996,0.02206112352654225,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p0_u,G,0,0.00011433168468224231,0.0004327754104584136,0.08556172209005493,0.18064636914072352,0.0003260877955356521,0.058977999572508974,2452,2452,0.00011031804830722996,0.02206112352654225,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p0_v,B0,0,5.5075342511939896e-05,0.00042281838491053936,0.017585511536295718,0.06590616917094604,0.00021417653735432887,0.024685878226851563,2358,2360,7.737289630491694e-05,0.02206619851968055,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p0_v,B1,0,1.7277596791415142e-05,6.541300277287942e-05,0.004783299094964066,0.018930590898205327,0.00020119829742637558,0.005930021476574771,2332,2334,7.936726360844303e-05,0.022066244285631278,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p0_v,B2,0,1.7277596791415142e-05,6.541300277287942e-05,0.004783299094964066,0.018930590898205327,0.00020119829742637558,0.005930021476574771,2332,2334,7.936726360844303e-05,0.022066244285631278,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p0_v,G,0,1.7277596791415142e-05,6.541300277287942e-05,0.004783299094964066,0.018930590898205327,0.00020119829742637558,0.005930021476574771,2332,2334,7.936726360844303e-05,0.022066244285631278,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p1_u,B0,0,0.00017635885213761887,0.0003208680834404787,0.03761102235020316,0.04815742329050262,0.00017650694834646277,0.023782590745287498,2505,2506,0.00010930654898508862,0.022032369565338165,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p1_u,B1,0,0.0001148722835756843,0.0006211439161507015,0.08702908527460292,0.1889171984219855,0.00032298587727230707,0.07678723878277827,2448,2449,0.00011558317557483488,0.022039283960648918,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p1_u,B2,0,0.0001148722835756843,0.0006211439161507015,0.08702908527460292,0.1889171984219855,0.00032298587727230707,0.07678723878277827,2448,2449,0.00011558317557483488,0.022039283960648918,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p1_u,G,0,0.0001148722835756843,0.0006211439161507015,0.08702908527460292,0.1889171984219855,0.00032298587727230707,0.07678723878277827,2448,2449,0.00011558317557483488,0.022039283960648918,execution.h5 and actual scan timestamps; no new solve or simulation
panda_plane_p1_v,B0,0,8.161977557336052e-06,1.1539379232622382e-05,0.0029555956451614556,0.00796224469402852,0.00019471149713979398,0.004091914865040961,2314,2315,7.391827093820025e-05,0.022030590844220318,execution.h5 and actual scan timestamps; no new solve or simulation
