robot,baseline,method,metric,paired_scenes,interpretation,mean_difference,ci_lower,ci_upper,cluster_count,mean_ratio
ur5e,B0,B1,total_plan_wall_s,12,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",31.389877004082436,30.98545650857208,31.844511780135473,6.0,
ur5e,B0,B1,total_plan_wall_s_ratio,12,,,22.89975226877859,23.947278591422087,6,23.407910698642223
ur5e,B0,B1,T_init,12,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",-0.08257083666750177,-0.09287766033351848,-0.07247881583518595,6.0,
ur5e,B0,B1,predicted_execution_s,12,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",-0.09822254828831027,-0.22910571187891846,0.006186194433444037,6.0,
ur5e,B0,B1,predicted_execution_s_ratio,12,,,0.9862495953603289,1.0003476429512659,6,0.9942590048960003
ur5e,B1,B2,quality_completed,12,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",0.0,0.0,0.0,6.0,
ur5e,B1,B2,quality_execution_s,10,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",0.0,0.0,0.0,6.0,
ur5e,B1,B2,quality_execution_s_ratio,10,,,1.0,1.0,6,1.0
ur5e,B1,B2,total_plan_wall_s,12,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",33.19963703458396,32.92597311355551,33.46602496086235,6.0,
ur5e,B1,B2,total_plan_wall_s_ratio,12,,,1.9967963685853356,2.0272224753370183,6,2.012470631919758
ur5e,B1,B2,T_init,12,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",32.5765645450277,32.152864472833045,33.00757941619466,6.0,
ur5e,B1,B2,predicted_execution_s,12,"quality durations only on jointly quality-complete scenes; missing non-time outcomes count in all-scene yield, not as algorithm infeasibility",-0.018127371227473876,-0.05438211368242163,0.0,6.0,
ur5e,B1,B2,predicted_execution_s_ratio,12,,,0.9966981877231447,1.0,6,0.9989343581327302
