slot,scene_uid,robot,family,tb_statuses,tb_T_init,tb_initialization_success_repeat_mean,tb_initialization_nodes,tb_initialization_node_process_legal,tb_initialization_residual_evaluations,tb_tb_dual_continuation_calls,tb_smoothing_displacement_rms_rad,tb_planner_feasible_repeat_mean,tb_quality_completed,tb_quality_execution_s,tb_T_retime,tb_total_plan_wall_s,gn_statuses,gn_T_init,gn_initialization_success_repeat_mean,gn_initialization_nodes,gn_initialization_node_process_legal,gn_initialization_residual_evaluations,gn_tb_dual_continuation_calls,gn_smoothing_displacement_rms_rad,gn_planner_feasible_repeat_mean,gn_quality_completed,gn_quality_execution_s,gn_T_retime,gn_total_plan_wall_s,initial_q_difference_max_rad,final_control_difference_max_rad
panda_saddle_p1_v,5f43b4d6461fcea3fe8ed7073c7de83186d13133f6cb072fc4eb2c12336a6b6c,panda,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.22522845599936167,1.0,421.0,421.0,842.0,0.0,0.00017473294707435834,1.0,True,17.493999999998397,0.030078712334216107,33.09197996166525,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.22538747066331175,1.0,421.0,421.0,842.0,0.0,0.00017473294707435834,1.0,True,17.493999999998397,0.030417168333466787,33.09006406299644,0.0,0.0
ur5e_cylinder_p0_u,5d9aac3d7faa587a77b4ef01338725dc9ae7ca13f0a04df57de39f2cb095a9ac,ur5e,cylinder,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21021468899804555,1.0,417.0,417.0,834.0,0.0,0.0005505287459746772,1.0,True,19.41100000000074,0.03064501566890006,31.767531666000043,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2081382946659384,1.0,417.0,417.0,834.0,0.0,0.0005505287459746772,1.0,True,19.41100000000074,0.03049484699780199,31.782548818996776,0.0,0.0
ur5e_cylinder_p0_v,b181f4aea3dacadfb66671a2eea89b411650ea76f729a02a7b8c5f249579c5f5,ur5e,cylinder,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21599500200197022,1.0,421.0,421.0,842.0,0.0,0.00032000764587091727,1.0,True,19.17200000000045,0.030158162999820586,32.774495997999715,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.210556997662934,1.0,421.0,421.0,842.0,0.0,0.00032000764587091727,1.0,True,19.17200000000045,0.030166956331716694,32.860451183999736,0.0,0.0
ur5e_cylinder_p1_u,78356a8fe9f1e85ce2b8185467eefe91275f3763ead11629ba2fd1962fc65f9a,ur5e,cylinder,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20904817233288972,1.0,417.0,417.0,834.0,0.0,0.0008295786828307092,1.0,True,19.85200000000128,0.030547554335498717,32.44812221899823,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20948914566542953,1.0,417.0,417.0,834.0,0.0,0.0008295786828307092,1.0,True,19.85200000000128,0.030583289333056502,32.2190214843334,0.0,0.0
ur5e_cylinder_p1_v,2d20f99cf6c82aa207e523443bbea9c8b2f83a71121fed63556e715ac9a2a97f,ur5e,cylinder,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21095445600076346,1.0,421.0,421.0,842.0,0.0,0.00035366274353488804,1.0,True,19.137000000000405,0.030318945663263246,32.89427492799829,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20986001699930057,1.0,421.0,421.0,842.0,0.0,0.00035366274353488804,1.0,True,19.137000000000405,0.030183220665397432,32.71502697200049,0.0,0.0
ur5e_plane_p0_u,74c4b355832ae88369ec214894ab6b8c7e91246fa0de0bbe376637861cd8eed7,ur5e,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20897079400068228,1.0,417.0,417.0,834.0,0.0,0.00013723991614237425,1.0,True,15.670999999996754,0.029833422001199022,33.090334454997596,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2089120546685687,1.0,417.0,417.0,834.0,0.0,0.00013723991614237425,1.0,True,15.670999999996754,0.02966376766562462,33.06379411699648,0.0,0.0
ur5e_plane_p0_v,b4cbe6298b4c8842e3d61c4c05cef1b634d1de760788b1ccb4c7c2647062845b,ur5e,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21193346566481827,1.0,421.0,421.0,842.0,0.0,0.0001234912576891288,1.0,True,16.731999999997466,0.029604930998175405,31.833854270997108,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21149901066867946,1.0,421.0,421.0,842.0,0.0,0.0001234912576891288,1.0,True,16.731999999997466,0.029507151998889942,31.875863729665678,0.0,0.0
ur5e_plane_p1_u,403cb6773f1a1675c7f7f184c8e8c74848c8e1cd56930a8f81eb78de27e1428a,ur5e,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2100070109978939,1.0,417.0,417.0,834.0,0.0,0.00013995904540642113,1.0,True,15.74899999999671,0.029833737998463523,34.13180417900003,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20918430766566112,1.0,417.0,417.0,834.0,0.0,0.00013995904540642113,1.0,True,15.74899999999671,0.029904197666231386,34.199010263003096,0.0,0.0
ur5e_plane_p1_v,26227b24cb54fbd1ee1f9a2ff9548fd6b42ce382e7b92e4713c9a7c4eba0431e,ur5e,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2125880686653545,1.0,421.0,421.0,842.0,0.0,0.00012825392761645928,1.0,True,16.508999999997194,0.02961277200180727,32.527283581999654,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21128979199905493,1.0,421.0,421.0,842.0,0.0,0.00012825392761645928,1.0,True,16.508999999997194,0.029806666000998423,32.66544926999874,0.0,0.0
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20887082699967627,1.0,417.0,413.0,834.0,0.0,0.0031588968954905177,1.0,False,,0.030362102663881767,34.07161032800165,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2077654300010181,1.0,417.0,413.0,834.0,0.0,0.0031588968954905177,1.0,False,,0.03032368599815527,34.152989748998756,0.0,0.0
ur5e_saddle_p0_v,36b3d3486fc1b60616750c9293d770932ac4609219d8fed3920864fd4b552a68,ur5e,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21093299900045773,1.0,421.0,421.0,842.0,0.0,0.00043517083170386086,1.0,True,17.187999999998024,0.03011524633135802,33.33614891866697,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2110571456651087,1.0,421.0,421.0,842.0,0.0,0.0003298914191958045,1.0,False,,0.030162561000906862,33.331281768335124,0.0,0.002163444253254987
ur5e_saddle_p1_u,131c413eea68307c7e2869678e592255d46b9ff65ebdafcb0874ee15554f5ed5,ur5e,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20762398733495502,1.0,417.0,413.0,834.0,0.0,0.0023855404042408992,1.0,False,,0.030703084999307368,32.69007527733387,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.20796414433425525,1.0,417.0,413.0,834.0,0.0,0.003492654262835736,1.0,False,,0.030842779665060032,32.444169985001885,0.0,0.0
ur5e_saddle_p1_v,88778a5202fca058c5e99dc6c571ebc77b922de005dac1eb6c79648bfb8c2dc8,ur5e,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21130918166454649,1.0,421.0,421.0,842.0,0.0,0.00011641388969715282,1.0,True,17.082999999997895,0.030668809335717622,31.923057185000896,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2108115200001824,1.0,421.0,421.0,842.0,0.0,0.00011641388969715282,1.0,True,17.082999999997895,0.03054158266362113,31.967223903668735,0.0,0.0
