scene_uid,slot,cluster,robot,family,placement,direction,method,repeats,implementation_ready,statuses,planner_feasible_repeat_mean,physics_executed,quality_completed,execution_completed,initialization_success_repeat_mean,T_init,T_smooth,T_opt,T_retime,T_validate,total_plan_wall_s,predicted_execution_s,initialization_residual_evaluations,initialization_nodes,tb_dual_continuation_calls,smoothing_displacement_rms_rad,initialization_node_process_legal,simulated_completion_time_s,elapsed_until_stop_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,scan_duration_s,transition_duration_s,settling_duration_s,acceleration_rms_rad_s2,profile_process_violation_duration_s,standoff_error_p95_m,standoff_error_max_m,incidence_p95_deg,incidence_max_deg,center_ray_path_error_max_m,line_orientation_error_max_deg,valid_profile_count,tracking_joint_error_p95_rad,actual_clearance_sampled_5ms_min_m,quality_execution_s,amortized_per_job_N1_s,total_batch_N1_s,amortized_per_job_N10_s,total_batch_N10_s,amortized_per_job_N100_s,total_batch_N100_s
406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,panda_cylinder_p1_u,panda_cylinder_p1,panda,cylinder,1,u,B0,3,True,"[""common_reference_unavailable"", ""common_reference_unavailable"", ""common_reference_unavailable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,panda_cylinder_p1_u,panda_cylinder_p1,panda,cylinder,1,u,B1,3,True,"[""common_reference_unavailable"", ""common_reference_unavailable"", ""common_reference_unavailable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,panda_cylinder_p1_u,panda_cylinder_p1,panda,cylinder,1,u,B2,3,True,"[""common_reference_unavailable"", ""common_reference_unavailable"", ""common_reference_unavailable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,panda_cylinder_p1_u,panda_cylinder_p1,panda,cylinder,1,u,B3,3,False,"[""not_evaluable"", ""not_evaluable"", ""not_evaluable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,panda_cylinder_p1_u,panda_cylinder_p1,panda,cylinder,1,u,G,3,True,"[""common_reference_unavailable"", ""common_reference_unavailable"", ""common_reference_unavailable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,B0,3,True,"[""common_reference_unavailable"", ""common_reference_unavailable"", ""common_reference_unavailable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,B1,3,True,"[""common_reference_unavailable"", ""common_reference_unavailable"", ""common_reference_unavailable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,B2,3,True,"[""common_reference_unavailable"", ""common_reference_unavailable"", ""common_reference_unavailable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,B3,3,False,"[""not_evaluable"", ""not_evaluable"", ""not_evaluable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,G,3,True,"[""common_reference_unavailable"", ""common_reference_unavailable"", ""common_reference_unavailable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B0,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,True,True,1.0,0.39588357866887236,,,0.0294339263321793,1.0062134333347785,1.4987793589995515,16.897499564919215,1696.0,417.0,0.0,0.0062729414718492625,417.0,17.096999999997912,17.096999999997912,1.0,1.0,0.0,0.0009498999166806055,0.7997049062917717,0.9838092457943731,0.00016447279137264854,0.0,13.112,3.786,0.2,0.7394648290245921,0.0,0.001030473434207673,0.0032186496090880756,0.16364411524529962,0.3220651824864891,0.0005499025068200945,0.07835663369694318,2622,0.00010712284094584465,0.022038896819549778,17.096999999997912,18.595779358997465,18.595779358997465,17.246877935897867,172.46877935897868,17.111987793587907,1711.1987793587907
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B1,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,False,False,1.0,0.22068705800241636,30.627119594665903,,0.029385179666860495,1.010532012335413,32.20047068733402,15.95746675663842,834.0,417.0,0.0,0.0037534207096703727,417.0,,16.156999999996764,1.0,1.0,0.0,0.0009682976875163671,0.7227104440535159,1.0220996079356677,0.00013432796542456327,0.0,12.249,3.709,0.2,0.7266523212100346,0.0,0.00011433168468224231,0.0004327754104584136,0.08556172209005493,0.18064636914072352,0.0003260877955356521,0.058977999572508974,2452,0.00011031804830722996,0.02206112352654225,,,,,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B2,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,False,False,,32.24527847600257,,32.01137506233499,0.02941379533149302,1.0127858533354204,65.86985446966719,15.95746675663842,,,,,,,16.156999999996764,1.0,1.0,0.0,0.0009682976875163671,0.7227104440535159,1.0220996079356677,0.00013432796542456327,0.0,12.249,3.709,0.2,0.7266523212100346,0.0,0.00011433168468224231,0.0004327754104584136,0.08556172209005493,0.18064636914072352,0.0003260877955356521,0.058977999572508974,2452,0.00011031804830722996,0.02206112352654225,,,,,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,B3,3,False,"[""not_evaluable"", ""not_evaluable"", ""not_evaluable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda_plane_p0_u,panda_plane_p0,panda,plane,0,u,G,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,False,False,1.0,0.221716613668832,30.64449559633067,,0.029819507333741058,1.0196239699992777,32.22393889800151,15.95746675663842,834.0,417.0,0.0,0.0037534207096703727,417.0,,16.156999999996764,1.0,1.0,0.0,0.0009682976875163671,0.7227104440535159,1.0220996079356677,0.00013432796542456327,0.0,12.249,3.709,0.2,0.7266523212100346,0.0,0.00011433168468224231,0.0004327754104584136,0.08556172209005493,0.18064636914072352,0.0003260877955356521,0.058977999572508974,2452,0.00011031804830722996,0.02206112352654225,,,,,,,
f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db,panda_plane_p0_v,panda_plane_p0,panda,plane,0,v,B0,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,True,True,1.0,0.2486322493326346,,,0.02930749966859973,1.0020106269997389,1.339783038662669,17.093424865695106,970.0,421.0,0.0,0.0006900978029061906,421.0,17.292999999998152,17.292999999998152,1.0,1.0,0.0,0.0009329015449942473,0.6724521467491976,0.9620065970000174,0.00011423584067879466,0.0,11.801,5.293,0.2,0.6214632791171961,0.0,5.5075342511939896e-05,0.00042281838491053936,0.017585511536295718,0.06590616917094604,0.00021417653735432887,0.024685878226851563,2358,7.737289630491694e-05,0.02206619851968055,17.292999999998152,18.632783038660822,18.632783038660822,17.42697830386442,174.2697830386442,17.30639783038478,1730.6397830384778
f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db,panda_plane_p0_v,panda_plane_p0,panda,plane,0,v,B1,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,True,True,1.0,0.22611766766688865,31.12285278833345,,0.02942285032865281,1.0063085853325902,32.69790380266689,16.922908875039717,842.0,421.0,0.0,0.0001771920191780923,421.0,17.121999999997943,17.121999999997943,1.0,1.0,0.0,0.0009303388830520554,0.5227392334677375,0.9620562983355108,9.80487723176715e-05,0.0,11.667,5.256,0.2,0.6114914691495236,0.0,1.7277596791415142e-05,6.541300277287942e-05,0.004783299094964066,0.018930590898205327,0.00020119829742637558,0.005930021476574771,2332,7.936726360844303e-05,0.022066244285631278,17.121999999997943,49.81990380266484,49.81990380266484,20.39179038026463,203.91790380264632,17.44897903802461,1744.897903802461
f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db,panda_plane_p0_v,panda_plane_p0,panda,plane,0,v,B2,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,True,True,,32.71282007799891,,32.009146920999534,0.029423370331642218,1.013710691666347,66.32610347899754,16.922908875039717,,,,,,17.121999999997943,17.121999999997943,1.0,1.0,0.0,0.0009303388830520554,0.5227392334677375,0.9620562983355108,9.80487723176715e-05,0.0,11.667,5.256,0.2,0.6114914691495236,0.0,1.7277596791415142e-05,6.541300277287942e-05,0.004783299094964066,0.018930590898205327,0.00020119829742637558,0.005930021476574771,2332,7.936726360844303e-05,0.022066244285631278,17.121999999997943,83.44810347899548,83.44810347899548,23.754610347897696,237.54610347897696,17.78526103478792,1778.5261034787918
f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db,panda_plane_p0_v,panda_plane_p0,panda,plane,0,v,B3,3,False,"[""not_evaluable"", ""not_evaluable"", ""not_evaluable""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db,panda_plane_p0_v,panda_plane_p0,panda,plane,0,v,G,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,True,True,1.0,0.22454477900222022,31.177805368330155,,0.029491635332912363,1.008047552665327,32.75376724333182,16.922908875039717,842.0,421.0,0.0,0.0001771920191780923,421.0,17.121999999997943,17.121999999997943,1.0,1.0,0.0,0.0009303388830520554,0.5227392334677375,0.9620562983355108,9.80487723176715e-05,0.0,11.667,5.256,0.2,0.6114914691495236,0.0,1.7277596791415142e-05,6.541300277287942e-05,0.004783299094964066,0.018930590898205327,0.00020119829742637558,0.005930021476574771,2332,7.936726360844303e-05,0.022066244285631278,17.121999999997943,49.87576724332976,49.87576724332976,20.397376724331124,203.97376724331124,17.449537672431262,1744.953767243126
dc500163bea8d607c8f6676fccd669f938cace853f762bdc955d3710e5f2bae9,panda_plane_p1_u,panda_plane_p1,panda,plane,1,u,B0,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,True,True,1.0,0.3766387383341983,,,0.029598565000924282,1.0084717453331298,1.4813621239979209,16.44411815073015,1580.0,417.0,0.0,0.0008953773383602795,417.0,16.64399999999736,16.64399999999736,1.0,1.0,0.0,0.0009517832224218701,0.786057592676462,0.9705043480304294,0.00014719602374535512,0.0,12.530000000000001,3.915,0.2,0.7352673966517105,0.0,0.00017635885213761887,0.0003208680834404787,0.03761102235020316,0.04815742329050262,0.00017650694834646277,0.023782590745287498,2505,0.00010930654898508862,0.022032369565338165,16.64399999999736,18.12536212399528,18.12536212399528,16.79213621239715,167.9213621239715,16.65881362123734,1665.8813621237339
