site_id,candidate_id,variant,repeat,accepted,failure_kind,position_error,orientation_error,velocity_margin,q
case_00_pre_failure,matched_00,ordinary_matched,1,False,solver_failure,0.00294731210448065,0.003621162778392468,0.0436,
case_00_pre_failure,matched_00,ordinary_matched,3,False,solver_failure,0.00294731210448065,0.003621162778392468,0.0436,
case_00_pre_failure,candidate_00,uniform_refinement,1,True,accepted,1.3434975325256655e-05,4.185768611444645e-06,0.0031126260645492343,"[-2.5959641493045877, 0.8681211148738134, 0.04328053973831514, -0.5273046064917272, -1.7024721678417887, 2.2030250615990274, -2.2425033330668698]"
case_00_pre_failure,matched_01,ordinary_matched,3,False,solver_failure,0.0029473121044805485,0.0036211627783922467,0.0436,
case_00_pre_failure,candidate_00,uniform_refinement,2,True,accepted,1.3434975325256655e-05,4.185768611444645e-06,0.0031126260645492343,"[-2.5959641493045877, 0.8681211148738134, 0.04328053973831514, -0.5273046064917272, -1.7024721678417887, 2.2030250615990274, -2.2425033330668698]"
case_00_pre_failure,matched_02,ordinary_matched,3,False,solver_failure,0.0029473121044807683,0.0036211627783922463,0.0436,
case_00_pre_failure,matched_02,ordinary_matched,1,False,solver_failure,0.0029473121044807683,0.0036211627783922463,0.0436,
case_00_pre_failure,matched_02,ordinary_matched,4,False,solver_failure,0.0029473121044807683,0.0036211627783922463,0.0436,
case_00_pre_failure,candidate_00,uniform_refinement,3,True,accepted,5.797237630185703e-06,4.3811762662359103e-07,0.003467108314941708,"[-2.596099446858577, 0.8683331802859457, 0.043736920927530835, -0.5269638123896472, -1.7027420426953257, 2.2029546724043856, -2.2426817774155343]"
case_00_pre_failure,matched_02,ordinary_matched,2,False,solver_failure,0.0029473121044807683,0.0036211627783922463,0.0436,
case_00_pre_failure,matched_00,ordinary_matched,4,False,solver_failure,0.00294731210448065,0.003621162778392468,0.0436,
case_00_pre_failure,matched_01,ordinary_matched,0,False,solver_failure,0.0029473121044805485,0.0036211627783922467,0.0436,
case_00_pre_failure,matched_02,ordinary_matched,0,False,solver_failure,0.0029473121044807683,0.0036211627783922463,0.0436,
case_00_pre_failure,matched_01,ordinary_matched,2,False,solver_failure,0.0029473121044805485,0.0036211627783922467,0.0436,
case_00_pre_failure,matched_01,ordinary_matched,1,False,solver_failure,0.0029473121044805485,0.0036211627783922467,0.0436,
case_00_pre_failure,matched_00,ordinary_matched,0,False,solver_failure,0.00294731210448065,0.003621162778392468,0.0436,
case_00_pre_failure,candidate_00,uniform_refinement,4,True,accepted,1.3434975325256655e-05,4.185768611444645e-06,0.0031126260645492343,"[-2.5959641493045877, 0.8681211148738134, 0.04328053973831514, -0.5273046064917272, -1.7024721678417887, 2.2030250615990274, -2.2425033330668698]"
case_00_pre_failure,matched_01,ordinary_matched,4,False,solver_failure,0.0029473121044805485,0.0036211627783922467,0.0436,
case_00_pre_failure,candidate_00,uniform_refinement,0,True,accepted,1.3434975325256655e-05,4.185768611444645e-06,0.0031126260645492343,"[-2.5959641493045877, 0.8681211148738134, 0.04328053973831514, -0.5273046064917272, -1.7024721678417887, 2.2030250615990274, -2.2425033330668698]"
case_00_pre_failure,matched_00,ordinary_matched,2,False,solver_failure,0.00294731210448065,0.003621162778392468,0.0436,
case_01_pre_failure,matched_05,ordinary_matched,4,True,accepted,7.798362095616316e-06,4.363220404046567e-06,0.00034725590067088974,"[-1.2323487496264347, -0.061660934201495377, -1.587026531023097, -2.02328349310289, -1.104130409342145, 1.84024462252247, -1.8352813027715176]"
case_01_pre_failure,matched_03,ordinary_matched,4,False,solver_failure,0.006888461052401413,0.022351084217378428,0.0436,
case_01_pre_failure,matched_05,ordinary_matched,0,True,accepted,7.798362095616316e-06,4.363220404046567e-06,0.00034725590067088974,"[-1.2323487496264347, -0.061660934201495377, -1.587026531023097, -2.02328349310289, -1.104130409342145, 1.84024462252247, -1.8352813027715176]"
