run_id,site_id,uid,role,candidate_id,variant,repeat,frame,frames,complete,accepted_frames,first_failure,first_failure_kind,contiguous_success_frames,total_latency_ns,refinement_latency_ns,refinement_residual_calls,refinement_scipy_nfev,initial_refinement_latency_ns,initial_refinement_residual_calls,native_trac_fev,total_fev,witness
case_00_pre_failure_matched_00_ordinary_matched_r4,case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,matched_00,ordinary_matched,4,119,30,False,0,120,solver_failure,0,161973273,0,0,0,0,0,,,
case_00_pre_failure_matched_01_ordinary_matched_r0,case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,matched_01,ordinary_matched,0,119,30,False,0,120,solver_failure,0,162150737,0,0,0,0,0,,,
case_00_pre_failure_matched_02_ordinary_matched_r0,case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,matched_02,ordinary_matched,0,119,30,False,0,120,solver_failure,0,162797423,0,0,0,0,0,,,
case_00_pre_failure_matched_01_ordinary_matched_r2,case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,matched_01,ordinary_matched,2,119,30,False,0,120,solver_failure,0,162722522,0,0,0,0,0,,,
case_00_pre_failure_matched_01_ordinary_matched_r1,case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,matched_01,ordinary_matched,1,119,30,False,0,120,solver_failure,0,163020491,0,0,0,0,0,,,
case_00_pre_failure_matched_00_ordinary_matched_r0,case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,matched_00,ordinary_matched,0,119,30,False,0,120,solver_failure,0,162539246,0,0,0,0,0,,,
case_00_pre_failure_candidate_00_uniform_refinement_r4,case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,candidate_00,uniform_refinement,4,119,30,True,30,,,30,5213080225,5189670383,48000,6000,48537546,442,,,successful_witnesses/case_00_pre_failure_candidate_00_uniform_refinement_r4.json
case_00_pre_failure_matched_01_ordinary_matched_r4,case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,matched_01,ordinary_matched,4,119,30,False,0,120,solver_failure,0,163842243,0,0,0,0,0,,,
case_00_pre_failure_candidate_00_uniform_refinement_r0,case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,candidate_00,uniform_refinement,0,119,30,True,30,,,30,5222682370,5199495881,48000,6000,48607540,442,,,successful_witnesses/case_00_pre_failure_candidate_00_uniform_refinement_r0.json
case_00_pre_failure_matched_00_ordinary_matched_r2,case_00_pre_failure,05fed739bf62f4fdcb2405ecaae33d1d21420a4ab0f81376b77841fb57661365,cghik_lost,matched_00,ordinary_matched,2,119,30,False,0,120,solver_failure,0,164370004,0,0,0,0,0,,,
case_01_pre_failure_matched_05_ordinary_matched_r4,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_05,ordinary_matched,4,33,30,True,30,,,30,16415570,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_05_ordinary_matched_r4.json
case_01_pre_failure_matched_03_ordinary_matched_r4,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_03,ordinary_matched,4,33,30,False,0,34,solver_failure,0,162438253,0,0,0,0,0,,,
case_01_pre_failure_matched_05_ordinary_matched_r0,case_01_pre_failure,8007124479c3c7bc724a1818507bb840030dd31b60be2b3793048463dfa14ffc,trac_failed,matched_05,ordinary_matched,0,33,30,True,30,,,30,16421586,0,0,0,0,0,,,successful_witnesses/case_01_pre_failure_matched_05_ordinary_matched_r0.json
