path,setting,planned_s,execution_completed,quality_completed,simulated_completion_time_s,elapsed_until_stop_s,simulation_wall_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,collision_steps,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,torque_requested_utilization_max,velocity_exceed_duration_s,acceleration_exceed_duration_s,scan_duration_s,transition_duration_s,settling_duration_s,sample_state_dt_s,physical_extrema_dt_s,acceleration_rms_rad_s2,jerk_rms_rad_s3,hole_measurement,standoff_m_p95,standoff_m_max,standoff_m_min,center_error_m_p95,center_error_m_max,center_error_m_min,incidence_rad_p95,incidence_rad_max,incidence_rad_min,line_error_rad_p95,line_error_rad_max,line_error_rad_min,profile_process_violation_duration_s
panda_cylinder_v,after,26.107938915370084,True,True,26.307000000009168,26.307000000009168,4.490750393000781,0.9999999999999795,0.9999999999999795,0.0,0.0007542497104913481,0,0.4474366024034891,0.8176058327639117,8.1777468218025e-05,0.0,0.4870362419414695,0.0,0.0,16.255,9.853,0.2,0.001,0.001,0.43518492942472625,34.62684236413729,conservative_3d_component_bounding_box_diagonal,0.15002089483487668,0.15004985175054777,0.14997947278610796,3.98572408795409e-05,0.0001041014413832114,5.066847845084325e-16,4.841666403514778e-05,7.997176121213338e-05,5.16191365590357e-08,4.1946476856191945e-05,0.00010844058458835926,0.0,0.0
panda_cylinder_v,before,20.08436987771443,True,True,20.284000000001807,20.284000000001807,3.4484423599933507,0.9999999999999795,0.9999999999999795,0.0,0.0009021417980243122,0,0.5894044563095321,0.9668492085162195,0.0001295377647572149,0.0,0.4929246045923762,0.0,0.0,12.173,7.912,0.2,0.001,0.001,0.6201175931464619,62.76613790246031,conservative_3d_component_bounding_box_diagonal,0.15001789084818282,0.15004429199528838,0.14997625252293711,0.00011468194053478327,0.0001735055601325775,3.912724463873493e-16,0.00029890095488797013,0.00044183234102800143,4.4703483581542975e-08,5.368794248164204e-05,0.00011750977212269337,0.0,0.0
panda_plane_u,after,19.421907379752458,True,True,19.621000000000997,19.621000000000997,3.422206905001076,1.0,1.0,0.0,0.0008884413460365754,0,0.6516495066002487,0.866846932566769,0.0001092184862149237,0.0,0.36448704765991125,0.0,0.0,14.916,4.506,0.2,0.001,0.001,0.5231008298666194,34.77942205684452,conservative_3d_component_bounding_box_diagonal,0.15000762222896186,0.15001654909018666,0.14999547686387255,2.9293719386932642e-05,4.287733438242406e-05,6.534193700653501e-16,1.549120631136761e-05,5.416529666118918e-05,5.372690074837192e-08,1.6710662417720548e-05,3.224640203281487e-05,0.0,0.0
panda_plane_u,before,15.722565071830486,True,True,15.921999999996615,15.921999999996615,2.806190497998614,1.0,1.0,0.0,0.0009689519112030295,0,0.7047258709661214,0.9919489941169085,0.00012866097646674346,0.0,0.36306191459820086,0.0,0.0,12.076,3.6470000000000002,0.2,0.001,0.001,0.632715508108679,39.026024254365765,conservative_3d_component_bounding_box_diagonal,0.15002368227776147,0.15003769185433283,0.1499828078200263,8.801469843621383e-05,0.0001451660322198028,4.684059249969581e-16,1.850807865724939e-05,2.545022362502723e-05,3.332000937312528e-08,1.6958216157035944e-05,2.8219463258905536e-05,0.0,0.0
panda_saddle_u,after,19.94546434206216,True,True,20.145000000001637,20.145000000001637,3.7125715840084013,0.9999999999999961,0.9999999999999961,0.0,0.0008339709265581345,0,0.3273481313135966,0.8305027066942178,6.118824477341356e-05,0.0,0.2950379072386545,0.0,0.0,15.488,4.458,0.2,0.001,0.001,0.4180867792433887,29.418582308753514,conservative_3d_component_bounding_box_diagonal,0.15000400422243326,0.15001784203140034,0.14999238579252308,2.5697001917902115e-05,4.2442877699699816e-05,4.874171680422408e-16,3.6725086653610684e-05,7.200847658086825e-05,5.16191365590357e-08,1.2503475188061262e-05,3.386744819744777e-05,0.0,0.0
panda_saddle_u,before,15.079482616996273,True,True,15.278999999996971,15.278999999996971,2.8334845659992425,0.9999999999999961,0.9999999999999961,0.0,0.0009460528823229772,0,0.3087578865231232,0.9819739211018151,9.25892623875324e-05,0.0,0.33712818063871863,0.0,0.0,11.855,3.225,0.2,0.001,0.001,0.5795429681695328,48.17081181975286,conservative_3d_component_bounding_box_diagonal,0.1500090718502502,0.15001369596516248,0.14999189417767383,8.184649353441042e-05,0.00015107782731724884,4.1494353474686035e-16,0.00015386350715011814,0.0003020683241859916,4.942156062059701e-08,2.3461470103120952e-05,4.821081817131551e-05,0.0,0.0
ur5e_cylinder_v,after,24.331869405558088,True,True,24.531000000006998,24.531000000006998,4.271252940001432,0.9999999999999795,0.9999999999999795,0.0,0.0007792974844593613,0,0.3947701037810076,0.8162790983050667,9.148628146316007e-05,0.0,0.25792379486314215,0.0,0.0,15.807,8.525,0.2,0.001,0.001,0.5293081333343777,40.86977362045936,conservative_3d_component_bounding_box_diagonal,0.15002265076308716,0.15009030923362024,0.14996514315590118,4.408191574754455e-05,0.00011023344566785618,2.754279850525185e-16,5.9727908743119965e-05,0.00012623662663089095,0.0,3.6985806018601044e-05,4.671859576755133e-05,0.0,0.0
ur5e_cylinder_v,before,18.815602068117443,True,True,19.015000000000256,19.015000000000256,3.287526614993112,0.9999999999999795,0.9999999999999795,0.0,0.0009244486446747429,0,0.4684068688935703,0.9709973540639394,0.00011568646360471391,0.0,0.26318737227624256,0.0,0.0,11.942,6.8740000000000006,0.2,0.001,0.001,0.7475997804060929,71.41575845847306,conservative_3d_component_bounding_box_diagonal,0.15002921471943356,0.15007591350748659,0.14996688914248507,0.000115429480944838,0.00016436312847039247,5.91080137522821e-17,0.00030179038610923646,0.00042870424945688903,2.1073424255447017e-08,5.082098109912543e-05,7.34753518221581e-05,0.0,0.0
ur5e_plane_u,after,19.392541130861,True,True,19.59200000000096,19.59200000000096,3.4080524159944616,1.0,1.0,0.0,0.0008533675341656662,0,0.3290963928429371,0.8416152942036186,9.410109456897686e-05,0.0,0.1966024791093119,0.0,0.0,15.152000000000001,4.241,0.2,0.001,0.001,0.5095657544652578,36.774692558587766,conservative_3d_component_bounding_box_diagonal,0.15000460060811552,0.1500050112589458,0.14999967498662517,3.223435471132544e-05,4.8157301883337765e-05,2.5095053375949494e-16,1.4120880416860073e-05,1.489579581001257e-05,0.0,2.2078745445185673e-05,3.8911283277549056e-05,0.0,0.0
ur5e_plane_u,before,15.179501018076776,True,True,15.378999999996916,15.378999999996916,2.653742341994075,1.0,1.0,0.0,0.0009613899873281115,0,0.3682131646765725,0.9764274718299588,0.00012680004878085072,0.0,0.1988397927809305,0.0,0.0,11.835,3.345,0.2,0.001,0.001,0.6454010354223622,41.46311577944238,conservative_3d_component_bounding_box_diagonal,0.15001327836294723,0.1500215484814236,0.14999355506373796,8.587982240822162e-05,0.00014891258745637764,1.468055979906549e-16,1.6152866999408485e-05,1.7019937760437432e-05,0.0,2.5270773235996164e-05,6.291596365940952e-05,0.0,0.0
ur5e_saddle_u,after,19.32193709650368,True,True,19.521000000000875,19.521000000000875,3.621366801991826,0.9999999999999961,0.9999999999999961,0.0,0.0008504481784510759,0,0.2851425514788574,0.8241749423142978,6.62493057380642e-05,0.0,0.15856296768842001,0.0,0.0,15.178,4.144,0.2,0.001,0.001,0.4794652516449669,30.07642353328585,conservative_3d_component_bounding_box_diagonal,0.15000354765571927,0.15001747798516035,0.14999275500382717,2.9717826626041306e-05,4.816234798831408e-05,2.1228933251263786e-16,4.287120054591652e-05,6.806065044660247e-05,2.9802322387695312e-08,2.103853480876216e-05,4.3331149643086844e-05,0.0,0.0
ur5e_saddle_u,before,15.597423111653374,True,True,15.796999999996684,15.796999999996684,2.885962196000037,0.9999999999999961,0.9999999999999961,0.0,0.0009358532208486965,0,0.31399009784923243,0.9764417582314289,0.00012041560124432388,0.0,0.1607653209928642,0.0,0.0,12.072000000000001,3.5260000000000002,0.2,0.001,0.001,0.596207768417694,48.18670132240823,conservative_3d_component_bounding_box_diagonal,0.1500113957947597,0.15001570696936511,0.1499911201857401,8.259918840618855e-05,0.0001511092859053094,7.765673273041129e-17,0.0001552566539604872,0.0002753923520313184,0.0,2.3381559135790187e-05,5.2188559608362974e-05,0.0,0.0
