slot,scene_uid,cluster,robot,family,placement,direction,method,repeat,status,planner_feasible,physical_run,quality_completed,execution_completed,T_init,T_smooth,T_opt,T_retime,T_validate,initialization_success,initialization_residual_evaluations,initialization_nodes,tb_dual_continuation_calls,total_plan_wall_s,solver_return_status,checkpoint_selected,feasible_checkpoint_count,dense_geometry_feasible,dense_min_clearance_m,predicted_execution_s,simulated_completion_time_s,elapsed_until_stop_s,simulation_wall_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,collision_steps,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,torque_requested_utilization_max,velocity_exceed_duration_s,acceleration_exceed_duration_s,scan_duration_s,transition_duration_s,settling_duration_s,sample_state_dt_s,physical_extrema_dt_s,acceleration_rms_rad_s2,jerk_rms_rad_s3,hole_measurement,standoff_m_p95,standoff_m_max,standoff_m_min,center_error_m_p95,center_error_m_max,center_error_m_min,incidence_rad_p95,incidence_rad_max,incidence_rad_min,line_error_rad_p95,line_error_rad_max,line_error_rad_min,profile_process_violation_duration_s,shared_initial_sha256
ur5e_plane_p1_v,26227b24cb54fbd1ee1f9a2ff9548fd6b42ce382e7b92e4713c9a7c4eba0431e,ur5e_plane_p1,ur5e,plane,1,v,B2,1,planner_feasible,True,False,,,32.89829138699861,,30.53770394300227,0.032018060999689624,1.0030572749965359,,,,,65.16300800000317,User_Requested_Stop,10.0,3,True,0.017123053524291276,20.46077060707572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3983a030155cfc141f600d2b314ee7eddf5a13b7b950ed5341799620e79dfe9
ur5e_plane_p1_v,26227b24cb54fbd1ee1f9a2ff9548fd6b42ce382e7b92e4713c9a7c4eba0431e,ur5e_plane_p1,ur5e,plane,1,v,B2,2,planner_feasible,True,False,,,32.89829138699861,,30.559352565003792,0.0319415139965713,1.0045735290041193,,,,,65.17527556700225,User_Requested_Stop,10.0,3,True,0.017123053524291276,20.46077060707572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f3983a030155cfc141f600d2b314ee7eddf5a13b7b950ed5341799620e79dfe9
ur5e_plane_p1_v,26227b24cb54fbd1ee1f9a2ff9548fd6b42ce382e7b92e4713c9a7c4eba0431e,ur5e_plane_p1,ur5e,plane,1,v,G,0,planner_feasible,True,True,True,True,0.20831878601165954,31.178317510013585,,0.03209108400915284,0.9887438049918273,True,854,427,0,32.68544145599299,User_Requested_Stop,10.0,3,True,0.017123071215732834,20.478107988971953,20.67800000000229,20.67800000000229,3.4899041919998126,1.0,1.0,0.0,0.0008229270569893836,0,0.252902052990675,0.8120744331022127,8.428708343692637e-05,0.0,0.2183516015902056,0.0,0.0,14.613,5.8660000000000005,0.2,0.001,0.001,0.5204262692903548,42.76418688493693,conservative_3d_component_bounding_box_diagonal,0.15000680534517966,0.15001070517007706,0.14999008006094128,8.734748635731907e-05,0.0002541794047181785,9.599239243405339e-17,6.757601707302729e-06,1.0063867432051869e-05,0.0,3.776706840469264e-05,4.560964058727159e-05,0.0,0.0,
ur5e_plane_p1_v,26227b24cb54fbd1ee1f9a2ff9548fd6b42ce382e7b92e4713c9a7c4eba0431e,ur5e_plane_p1,ur5e,plane,1,v,G,1,planner_feasible,True,False,,,0.21001489499758463,31.63799438001297,,0.03223798600083683,0.989341399006662,True,854,427,0,33.146796874993015,User_Requested_Stop,10.0,3,True,0.017123071215732834,20.478107988971953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_plane_p1_v,26227b24cb54fbd1ee1f9a2ff9548fd6b42ce382e7b92e4713c9a7c4eba0431e,ur5e_plane_p1,ur5e,plane,1,v,G,2,planner_feasible,True,False,,,0.20985123299760744,31.276898031996097,,0.031955732993083075,0.9933655560016632,True,854,427,0,32.78963702399051,User_Requested_Stop,10.0,3,True,0.017123071215732834,20.478107988971953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,B0,0,planner_feasible,True,True,True,True,0.2141849670006195,,,0.03280806199472863,0.9960764330025995,True,870,419,0,1.2653945050114999,,,,True,0.01712286280608176,19.04877767881817,19.24800000000054,19.24800000000054,3.5010202050034422,0.9999999999999961,0.9999999999999961,0.0,0.000859844775902559,0,0.2855157587869395,0.8242993385521957,7.239426970218066e-05,0.0,0.16527750576279004,0.0,0.0,14.999,4.05,0.2,0.001,0.001,0.48895749376728725,30.966778822807367,conservative_3d_component_bounding_box_diagonal,0.15001365429345948,0.15002298712410328,0.1499996220953943,3.570004911144931e-05,6.48315378153748e-05,2.2215299868541707e-16,5.333003642571731e-05,0.00011863709947948679,0.0,4.820395495808768e-05,5.897982003619761e-05,0.0,0.0,
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,B0,1,planner_feasible,True,False,,,0.21320359699893743,,,0.033360357003402896,0.9914626050012885,True,870,419,0,1.260641040003975,,,,True,0.01712286280608176,19.04877767881817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,B0,2,planner_feasible,True,False,,,0.21285416699538473,,,0.03293756800121628,1.0071647339937044,True,870,419,0,1.2752922989893705,,,,True,0.01712286280608176,19.04877767881817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,B1,0,planner_feasible,True,True,True,True,0.20545113200205378,30.94917787000304,,0.032983555996906944,0.994595964992186,True,838,419,0,32.463791049987776,User_Requested_Stop,10.0,3,True,0.017122862877056964,19.344752170635537,19.544000000000903,19.544000000000903,3.5954567099979613,0.9999999999999961,0.9999999999999961,0.0,0.0008476780111115499,0,0.28129283760490775,0.82473769557263,6.847648250851712e-05,0.0,0.16428031883557498,0.0,0.0,15.224,4.121,0.2,0.001,0.001,0.47422003102946597,31.809321157458495,conservative_3d_component_bounding_box_diagonal,0.15001398081253223,0.15002111289219133,0.1499996228778323,5.129216764650385e-05,0.00034163344445062576,2.2215299868541707e-16,8.565933340300352e-05,0.0006139041425130812,0.0,4.73631208658285e-05,6.723610669153381e-05,0.0,0.0,
ur5e_saddle_p0_u,512f782109f8188da0d9abc0c832e86278e011a39690b19c4fd78abb5a46d0f5,ur5e_saddle_p0,ur5e,saddle,0,u,B1,1,planner_feasible,True,False,,,0.2064698110043537,31.040022974004387,,0.032984978999593295,0.99980703300389,True,838,419,0,32.56429219400161,User_Requested_Stop,10.0,3,True,0.017122862877056964,19.344752170635537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
