robot,method,scheduled_scenes,implementation_ready,timed_scenes,reference_missing_scenes,shared_b1_missing_scenes,planner_feasible_scene_equivalents,initialization_attempted_scenes,initialization_success_scene_equivalents,physics_executed_scenes,execution_completed_scenes,quality_completed_scenes,quality_rate_all_scheduled,quality_execution_s_mean,quality_execution_s_median,planning_s_mean,planning_s_median,planning_s_p95,predicted_execution_s_mean,initial_s_mean,smoothing_s_mean,optimization_s_mean,retime_s_mean,validation_s_mean,valid_coverage_mean_executed,acceleration_max_mean_executed
panda,B0,12,True,12,0,0,6.0,12,7.0,6,6,6,0.5,22.286500000004256,21.74300000000359,0.8768267473044236,1.2843544893306293,1.4598309366025206,22.086976520209337,0.25683973533280857,,,0.032237699498687614,1.0054714893818268,0.9999999999999952,0.8198992334603546
panda,B1,12,True,12,0,0,6.0,12,12.0,6,6,6,0.5,21.723000000003566,21.239500000002977,32.03412249966642,31.89119942283287,33.57497188361667,21.523390914718764,0.2256046356952639,31.00415074350005,,0.0323558633341842,1.0004134096121158,0.9999999999999952,0.821716261980748
panda,G,12,True,12,0,0,6.0,12,12.0,6,6,6,0.5,21.723000000003566,21.239500000002977,32.06533219611001,31.994326494830602,33.6416666650987,21.523390914718764,0.22455182022369832,31.037423882165356,,0.032278326334360626,1.0021864326109708,0.9999999999999952,0.821716261980748
panda,B2,12,True,6,0,6,6.0,0,0,6,6,6,0.5,21.650166666670145,21.22550000000296,65.1728154955013,64.9866485268382,66.42948781591258,21.450761053993148,32.75341055166791,,30.559298416112142,0.0322394495572856,1.0049816963300044,0.9999999999999952,0.8230242109356826
ur5e,B0,12,True,12,0,0,12.0,12,12.0,12,12,12,1.0,21.409583333336517,20.44750000000201,1.3628743855559957,1.3754388866679317,1.4237231887510764,21.21011815955072,0.30805816880618087,,,0.032750295972719966,0.9987608308894981,0.9999999999999919,0.8252165261000083
ur5e,B1,12,True,12,0,0,12.0,12,12.0,12,12,12,1.0,21.47183333333659,20.528500000002104,32.305459538832416,32.42900555649976,32.92406271345171,21.27226256231103,0.20855311347258976,30.777586226028987,,0.0327691059723697,1.0000365533350204,0.9999999999999919,0.8293615852283706
ur5e,G,12,True,12,0,0,12.0,12,12.0,12,12,12,1.0,21.47183333333659,20.528500000002104,32.37633469497006,32.37083904516476,32.91422611546222,21.27226256231103,0.20855388463921068,30.849749142335188,,0.03274411272165404,0.9994278364174534,0.9999999999999919,0.8293615852283706
ur5e,B2,12,True,12,0,0,12.0,0,0,12,12,12,1.0,21.424416666669867,20.503500000002077,64.2089981370013,64.56028897767101,65.19549467409306,21.224921339386174,32.272811685666966,,30.204391864637728,0.03272308297285539,1.0048393988052138,0.9999999999999919,0.8266902800363978
