slot,robot,family,method,repeat,status,optimizer_build_time,optimizer_solver_time,optimizer_elapsed,optimizer_iterations,optimizer_status,optimizer_sample_constraint_violation,optimizer_solver_feasible,verified_improved_incumbents,checkpoint_1.0_available_s,checkpoint_1.0_source,checkpoint_1.0_objective,checkpoint_1.0_relative_to_initial,checkpoint_5.0_available_s,checkpoint_5.0_source,checkpoint_5.0_objective,checkpoint_5.0_relative_to_initial,checkpoint_10.0_available_s,checkpoint_10.0_source,checkpoint_10.0_objective,checkpoint_10.0_relative_to_initial,checkpoint_30.0_available_s,checkpoint_30.0_source,checkpoint_30.0_objective,checkpoint_30.0_relative_to_initial,primary_control_change_max_rad
panda_saddle_p1_v,panda,saddle,B1,1,no_verified_path_at_primary_checkpoint,2.2594547899934696,28.252673251001397,30.512127927999245,40,User_Requested_Stop,1982.2616844223357,False,0,,,,,,,,,,,,,,,,,
panda_saddle_p1_v,panda,saddle,B1,2,no_verified_path_at_primary_checkpoint,2.2634098869893933,28.173552979002125,30.436962762993062,40,User_Requested_Stop,1982.2616844223357,False,0,,,,,,,,,,,,,,,,,
panda_saddle_p1_v,panda,saddle,B2,0,common_b1_initialization_missing,,,,,,,,,,,,,,,,,,,,,,,,,
panda_saddle_p1_v,panda,saddle,B2,1,common_b1_initialization_missing,,,,,,,,,,,,,,,,,,,,,,,,,
panda_saddle_p1_v,panda,saddle,B2,2,common_b1_initialization_missing,,,,,,,,,,,,,,,,,,,,,,,,,
panda_saddle_p1_v,panda,saddle,G,0,no_verified_path_at_primary_checkpoint,2.2598042040044675,28.231388325002627,30.491192400004365,40,User_Requested_Stop,1982.2616844223357,False,0,,,,,,,,,,,,,,,,,
panda_saddle_p1_v,panda,saddle,G,1,no_verified_path_at_primary_checkpoint,2.2603846179990796,28.16517420799937,30.42555867000192,40,User_Requested_Stop,1982.2616844223357,False,0,,,,,,,,,,,,,,,,,
panda_saddle_p1_v,panda,saddle,G,2,no_verified_path_at_primary_checkpoint,2.2677576139976736,28.320370786008425,30.588128279006924,40,User_Requested_Stop,1982.2616844223357,False,0,,,,,,,,,,,,,,,,,
ur5e_cylinder_p0_u,ur5e,cylinder,B1,0,planner_feasible,2.182222075003665,29.1903485369985,31.372570524006733,50,User_Requested_Stop,0.06052433048938011,False,0,,,,,1.0391422560060164,verified_initial_path,8.01976440585975,1.0,1.0391422560060164,verified_initial_path,8.01976440585975,1.0,1.0391422560060164,verified_initial_path,8.01976440585975,1.0,
ur5e_cylinder_p0_u,ur5e,cylinder,B1,1,planner_feasible,2.1855687539937207,29.254821659997106,31.44039027999679,50,User_Requested_Stop,0.06052433048938011,False,0,,,,,1.043644666991895,verified_initial_path,8.01976440585975,1.0,1.043644666991895,verified_initial_path,8.01976440585975,1.0,1.043644666991895,verified_initial_path,8.01976440585975,1.0,
ur5e_cylinder_p0_u,ur5e,cylinder,B1,2,planner_feasible,2.2165431899920804,29.17597269899852,31.39251572798821,50,User_Requested_Stop,0.06052433048938011,False,0,,,,,1.0498022899992066,verified_initial_path,8.01976440585975,1.0,1.0498022899992066,verified_initial_path,8.01976440585975,1.0,1.0498022899992066,verified_initial_path,8.01976440585975,1.0,
ur5e_cylinder_p0_u,ur5e,cylinder,B2,0,planner_feasible,4.124696165003115,25.988217019999865,30.11291281299782,60,User_Requested_Stop,0.0,,6,,,,,1.7354352200054564,verified_initial_path,23.457692006740416,1.0,8.80660472100135,nonlinear_validated_iterate,23.451392357605897,0.9997314463361225,21.167585650997353,nonlinear_validated_iterate,23.00457207052381,0.9806835243600945,0.0005600289564143823
ur5e_cylinder_p0_u,ur5e,cylinder,B2,1,planner_feasible,4.07703501501237,26.009476063991315,30.086510500012082,60,User_Requested_Stop,0.0,,6,,,,,1.7248788080032682,verified_initial_path,23.457692006740416,1.0,8.744048073000158,nonlinear_validated_iterate,23.451392357605897,0.9997314463361225,21.12313598000037,nonlinear_validated_iterate,23.00457207052381,0.9806835243600945,0.0005600289564143823
