problem,status,initial_s,known_faster_s,adopted_s,initial_actual_s,adopted_actual_s,known_faster_actual_s,objective_directional_error,constraints_directional_max_error,constraints_scaled_relative_error,epsilon
cylinder,validated,26.34881928876321,26.107938915370084,18.265929848590638,26.548000000009463,18.464999999999584,26.307000000009168,1.024836118745931e-11,7.103843649436392e-08,5.766005640051446e-08,1e-06
plane,validated,19.435180326239788,19.421907379752458,18.089187062358995,19.635000000001014,18.28899999999937,19.621000000000997,2.3106298970530792e-10,5.754999255879606e-08,5.7455052962075365e-08,1e-06
saddle,validated,20.216123911545765,19.94546434206216,18.335461016949804,20.41600000000197,18.53499999999967,20.145000000001637,2.651170857013215e-10,5.64234433619859e-08,4.9862233982332834e-08,1e-06
