slot,scene_uid,robot,family,tb_statuses,tb_T_init,tb_initialization_success_repeat_mean,tb_initialization_nodes,tb_initialization_node_process_legal,tb_initialization_residual_evaluations,tb_tb_dual_continuation_calls,tb_smoothing_displacement_rms_rad,tb_planner_feasible_repeat_mean,tb_quality_completed,tb_quality_execution_s,tb_T_retime,tb_total_plan_wall_s,gn_statuses,gn_T_init,gn_initialization_success_repeat_mean,gn_initialization_nodes,gn_initialization_node_process_legal,gn_initialization_residual_evaluations,gn_tb_dual_continuation_calls,gn_smoothing_displacement_rms_rad,gn_planner_feasible_repeat_mean,gn_quality_completed,gn_quality_execution_s,gn_T_retime,gn_total_plan_wall_s,initial_q_difference_max_rad,final_control_difference_max_rad
panda_cylinder_p0_u,1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda,cylinder,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.2290969849952186,1.0,419.0,,860.0,10.0,,0.0,,,,30.61636752867101,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.2282628046668833,1.0,419.0,,860.0,0.0,,0.0,,,,30.553972581328708,0.0,
panda_cylinder_p0_v,84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda,cylinder,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.22281347233122992,1.0,427.0,,854.0,0.0,,1.0,True,26.518000000009426,0.03252674799781138,33.34571298866649,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.22259207033494022,1.0,427.0,,854.0,0.0,,1.0,True,26.518000000009426,0.03264254466436493,33.32320827200116,0.0,0.0
panda_cylinder_p1_u,406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,panda,cylinder,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.22658040600557192,1.0,419.0,,852.0,7.0,,0.0,,,,31.3725647090032,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.2260614136660782,1.0,419.0,,852.0,0.0,,0.0,,,,31.391970545334818,0.0,
panda_cylinder_p1_v,be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda,cylinder,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.2376208736677654,1.0,427.0,,918.0,18.0,,0.0,,,,31.56764544833277,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.2354704343403379,1.0,427.0,,914.0,0.0,,0.0,,,,32.01853930199286,0.051724165330471195,
panda_plane_p0_u,5d5a023d5f637f0869c78b3e99c42c4dfd57402d820a31236667cdffd46ab609,panda,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.2206070006650407,1.0,419.0,,838.0,0.0,,1.0,True,19.91800000000136,0.032284158670033015,32.109887288330356,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21758990333667802,1.0,419.0,,838.0,0.0,,1.0,True,19.91800000000136,0.03196306066820398,31.982908633998402,0.0,0.0
panda_plane_p0_v,f3f3897b5f524fd2bf769f27b0ff33b7489cd38286aa0a3aef7bd1de2cff55db,panda,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.22404208700269615,1.0,427.0,,854.0,0.0,,1.0,True,21.346000000003105,0.03219476066684971,32.16955424366461,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.22303005066836099,1.0,427.0,,854.0,0.0,,1.0,True,21.346000000003105,0.03184825700009242,32.13287909933327,0.0,0.0
panda_plane_p1_u,dc500163bea8d607c8f6676fccd669f938cace853f762bdc955d3710e5f2bae9,panda,plane,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.22337980799784418,1.0,419.0,,854.0,7.0,,0.0,,,,31.734855794667965,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.22105868466799924,1.0,419.0,,854.0,0.0,,0.0,,,,31.847675372002413,0.0,
panda_plane_p1_v,e283b88390fe538a85d2694079d62454b1b3aa046d100f8504b4a66d9736b8d5,panda,plane,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.224325108002328,1.0,427.0,,854.0,0.0,,1.0,True,21.836000000003704,0.03184945600514766,32.85366399300013,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.22330048433407987,1.0,427.0,,854.0,0.0,,1.0,True,21.836000000003704,0.03195448799912507,32.81468073966486,0.0,0.0
panda_saddle_p0_u,f6c31864e2ce3e5c2e19b914f5e5b132c9658310d934a68e88ca62a1b777611b,panda,saddle,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.21966764900328903,1.0,419.0,,838.0,0.0,,1.0,True,21.133000000002845,0.03258030167004714,31.765024023334263,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",0.22010181700170506,1.0,419.0,,838.0,0.0,,1.0,True,21.133000000002845,0.03260758033623764,31.697794862338924,0.0,0.0
panda_saddle_p0_v,ddbaccae4d1e1e90b7da2315bf852ee615b4daba879473cd6ddfe24006fb6108,panda,saddle,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.22575664700222356,1.0,427.0,,867.0,5.0,,0.0,,,,32.017374822331476,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.22543667066687098,1.0,427.0,,867.0,0.0,,0.0,,,,32.005744355662806,0.0,
