slot,robot,family,method,planned_total_s,planned_scan_s,planned_turn_s,actual_scan_s,actual_turn_s,actual_settle_s,raw_scan_count_s,raw_turn_count_s,raw_settle_count_s,interval_partition_source,near_public_joint_speed_fraction,near_reserved_joint_speed_fraction,near_public_acceleration_fraction,near_reserved_acceleration_fraction,near_reserved_sampling_fraction,actual_acceleration_max,actual_tracking_max_rad,torque_saturation_fraction,constraint_occupancy_is_nonexclusive,quality_completed
panda_cylinder_p0_v,panda,cylinder,B0,26.39184995377227,16.436889690463644,9.954960263308626,16.438000000005147,9.954000000004124,0.1990000000002432,16.438,9.954,0.2,Left endpoint labels weighted by actual 1ms timestamp intervals; final timestamp has no extra duration,0.0,0.0,0.0,0.005255010074810122,0.0,0.8179829623381897,9.747412970684266e-05,0.0,True,True
panda_cylinder_p0_v,panda,cylinder,B1,26.318680172560097,16.37584930026334,9.942830872296756,16.37500000000506,9.944000000004122,0.1990000000002432,16.375,9.944,0.2,Left endpoint labels weighted by actual 1ms timestamp intervals; final timestamp has no extra duration,0.0,0.0,0.0,0.0028256581215240547,0.0,0.8173375061719423,8.273818258908161e-05,0.0,True,True
panda_cylinder_p0_v,panda,cylinder,G,26.318680172560097,16.37584930026334,9.942830872296756,16.37500000000506,9.944000000004122,0.1990000000002432,16.375,9.944,0.2,Left endpoint labels weighted by actual 1ms timestamp intervals; final timestamp has no extra duration,0.0,0.0,0.0,0.0028256581215240547,0.0,0.8173375061719423,8.273818258908161e-05,0.0,True,True
panda_cylinder_p0_v,panda,cylinder,B2,26.26962030482296,16.376018091080887,9.893602213742072,16.375000000005066,9.895000000004053,0.1990000000002432,16.375,9.895,0.2,Left endpoint labels weighted by actual 1ms timestamp intervals; final timestamp has no extra duration,0.0,0.0,0.0,0.0028247674845018806,0.0,0.8165001109338962,8.129871972124836e-05,0.0,True,True
panda_plane_p0_u,panda,plane,B0,20.516314024440117,15.808366666607748,4.70794735783237,15.809000000001708,4.708000000000384,0.1990000000002432,15.809000000000001,4.708,0.2,Left endpoint labels weighted by actual 1ms timestamp intervals; final timestamp has no extra duration,0.0,0.0,0.0,0.14648698537564583,0.5364877643874283,0.8227929986174363,0.00013814107116563723,0.0,True,True
panda_plane_p0_u,panda,plane,B1,19.71871974478962,15.111131868861644,4.607587875927976,15.111000000001376,4.607999999999741,0.1990000000002432,15.111,4.6080000000000005,0.2,Left endpoint labels weighted by actual 1ms timestamp intervals; final timestamp has no extra duration,0.0,0.0,0.0,0.3141442588731502,0.5717333250721431,0.8275860578287187,0.0001274104015318578,0.0,True,True
panda_plane_p0_u,panda,plane,G,19.71871974478962,15.111131868861644,4.607587875927976,15.111000000001376,4.607999999999741,0.1990000000002432,15.111,4.6080000000000005,0.2,Left endpoint labels weighted by actual 1ms timestamp intervals; final timestamp has no extra duration,0.0,0.0,0.0,0.3141442588731502,0.5717333250721431,0.8275860578287187,0.0001274104015318578,0.0,True,True
panda_plane_p0_u,panda,plane,B2,19.703845800848477,15.109603894524934,4.594241906323543,15.109000000001352,4.5949999999997475,0.1990000000002432,15.109,4.595,0.2,Left endpoint labels weighted by actual 1ms timestamp intervals; final timestamp has no extra duration,0.0,0.0,0.0,0.3157364060599843,0.5724549286933059,0.8304471169443729,0.00012271720153123056,0.0,True,True
panda_plane_p0_v,panda,plane,B0,22.828460941053958,15.870688872544275,6.957772068509683,15.873000000003616,6.956000000001302,0.1990000000002432,15.873000000000001,6.956,0.2,Left endpoint labels weighted by actual 1ms timestamp intervals; final timestamp has no extra duration,0.0,0.0,0.0,0.002727530959761853,0.0,0.8155232392091947,8.508064343182298e-05,0.0,True,True
panda_plane_p0_v,panda,plane,B1,21.146158240323725,14.753095819824665,6.39306242049906,14.75100000000186,6.396000000001003,0.1990000000002432,14.751,6.396,0.2,Left endpoint labels weighted by actual 1ms timestamp intervals; final timestamp has no extra duration,0.0,0.0,0.0,0.009486934505058256,0.0,0.8121656490652894,9.652894685518998e-05,0.0,True,True
