scene_uid,slot,cluster,robot,family,placement,direction,method,repeats,implementation_ready,statuses,planner_feasible_repeat_mean,physics_executed,quality_completed,execution_completed,initialization_success_repeat_mean,T_init,T_smooth,T_opt,T_retime,T_validate,total_plan_wall_s,predicted_execution_s,initialization_residual_evaluations,initialization_nodes,tb_dual_continuation_calls,smoothing_displacement_rms_rad,initialization_node_process_legal,simulated_completion_time_s,elapsed_until_stop_s,valid_coverage_fraction,raw_coverage_fraction,max_hole_diameter_upper_bound_m,max_along_scan_gap_m,velocity_utilization_max,acceleration_utilization_max,tracking_error_max_rad,torque_saturation_fraction,scan_duration_s,transition_duration_s,settling_duration_s,acceleration_rms_rad_s2,profile_process_violation_duration_s,standoff_error_p95_m,standoff_error_max_m,incidence_p95_deg,incidence_max_deg,center_ray_path_error_max_m,line_orientation_error_max_deg,valid_profile_count,tracking_joint_error_p95_rad,actual_clearance_sampled_5ms_min_m,quality_execution_s,amortized_per_job_N1_s,total_batch_N1_s,amortized_per_job_N10_s,total_batch_N10_s,amortized_per_job_N100_s,total_batch_N100_s
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B0,3,True,"[""geometric_initialization_failed"", ""geometric_initialization_failed"", ""geometric_initialization_failed""]",0.0,False,,,0.0,0.105954259338129,,,,,0.10817517966400676,,555.0,39.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B1,3,True,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.0,False,,,1.0,0.2290969849952186,30.132965161668835,,,,30.61636752867101,,860.0,419.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,G,3,True,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.0,False,,,1.0,0.2282628046668833,30.075305536665837,,,,30.553972581328708,,860.0,419.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d626ca03a345e6601c064a6a0c00a1a9212ee8924f6c3978e4ae4fa19bcc8eb,panda_cylinder_p0_u,panda_cylinder_p0,panda,cylinder,0,u,B2,3,True,"[""common_b1_initialization_missing"", ""common_b1_initialization_missing"", ""common_b1_initialization_missing""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0_v,panda_cylinder_p0,panda,cylinder,0,v,B0,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,True,True,1.0,0.31507979533247027,,,0.03263089500251226,1.0100649386586156,1.3903290096641285,26.39184995377227,1292.0,427.0,0.0,,,26.591000000009515,26.591000000009515,0.999999999999979,0.999999999999979,0.0,0.0007589654984964938,0.48162684477598,0.8179829623381897,9.747412970684266e-05,0.0,16.438,9.954,0.2,0.4455815886437837,0.0,,,,,,,,,,26.591000000009515,27.981329009673644,27.981329009673644,26.730032900975928,267.30032900975925,26.604903290106158,2660.490329010616
84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0_v,panda_cylinder_p0,panda,cylinder,0,v,B1,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,True,True,1.0,0.22281347233122992,31.770650483333156,,0.03252674799781138,1.0106302106723888,33.34571298866649,26.318680172560097,854.0,427.0,0.0,,,26.518000000009426,26.518000000009426,0.999999999999979,0.999999999999979,0.0,0.0007576250333089305,0.49510465957785166,0.8173375061719423,8.273818258908161e-05,0.0,16.375,9.944,0.2,0.4473192245219625,0.0,,,,,,,,,,26.518000000009426,59.863712988675914,59.863712988675914,29.852571298876075,298.52571298876074,26.85145712989609,2685.145712989609
84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0_v,panda_cylinder_p0,panda,cylinder,0,v,G,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,True,True,1.0,0.22259207033494022,31.74672694733211,,0.03264254466436493,1.016452979335251,33.32320827200116,26.318680172560097,854.0,427.0,0.0,,,26.518000000009426,26.518000000009426,0.999999999999979,0.999999999999979,0.0,0.0007576250333089305,0.49510465957785166,0.8173375061719423,8.273818258908161e-05,0.0,16.375,9.944,0.2,0.4473192245219625,0.0,,,,,,,,,,26.518000000009426,59.84120827201059,59.84120827201059,29.850320827209543,298.50320827209543,26.85123208272944,2685.123208272944
84054da21481d1359c181b6fcd2262b0249f857876c17df848868534df6762c8,panda_cylinder_p0_v,panda_cylinder_p0,panda,cylinder,0,v,B2,3,True,"[""planner_feasible"", ""planner_feasible"", ""planner_feasible""]",1.0,True,True,True,,33.15134155499982,,30.274722287334345,0.032672485996348165,1.0150172403324784,65.28659066533146,26.26962030482296,,,,,,26.469000000009366,26.469000000009366,0.999999999999979,0.999999999999979,0.0,0.0007588486347602171,0.49466563755453924,0.8165001109338962,8.129871972124836e-05,0.0,16.375,9.895,0.2,0.4468669121236931,0.0,,,,,,,,,,26.469000000009366,91.75559066534083,91.75559066534083,32.99765906654251,329.9765906654251,27.12186590666268,2712.186590666268
406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,panda_cylinder_p1_u,panda_cylinder_p1,panda,cylinder,1,u,B0,3,True,"[""geometric_initialization_failed"", ""geometric_initialization_failed"", ""geometric_initialization_failed""]",0.0,False,,,0.0,0.06684618866711389,,,,,0.06873640699874765,,322.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,panda_cylinder_p1_u,panda_cylinder_p1,panda,cylinder,1,u,B1,3,True,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.0,False,,,1.0,0.22658040600557192,30.893080843336065,,,,31.3725647090032,,852.0,419.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,panda_cylinder_p1_u,panda_cylinder_p1,panda,cylinder,1,u,G,3,True,"[""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint"", ""no_verified_path_at_primary_checkpoint""]",0.0,False,,,1.0,0.2260614136660782,30.917825431999518,,,,31.391970545334818,,852.0,419.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406af3b20ab059ba4ba3b0119a5c6adf254d03bdeae9dfa5c1b0f474ba4cf06d,panda_cylinder_p1_u,panda_cylinder_p1,panda,cylinder,1,u,B2,3,True,"[""common_b1_initialization_missing"", ""common_b1_initialization_missing"", ""common_b1_initialization_missing""]",0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be62d5dee820b8e320fc3af1c85548a704ca13694693c4f95b1ee71fb14e2609,panda_cylinder_p1_v,panda_cylinder_p1,panda,cylinder,1,v,B0,3,True,"[""geometric_initialization_failed"", ""geometric_initialization_failed"", ""geometric_initialization_failed""]",0.0,False,,,0.0,0.2494860433313685,,,,,0.25862799899672,,1136.0,235.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
