input_id,robot,method,source_methods,source_trajectories,accepted_fraction,within_20ms_fraction,latency_ms_mean,evaluations_mean,iterations_mean,statuses
09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e,panda,single_gn_k0,"[""single_gn_osqp""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,3.7971106666666663,100.0,15.0,"{""stationary"":3}"
09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e,panda,single_gn_k1,"[""single_gn_osqp""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,3.830465,100.0,15.0,"{""stationary"":3}"
09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e,panda,task_excess_gn,"[""single_gn_osqp""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,17.039225,111.0,20.0,"{""stationary"":3}"
09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e,panda,task_excess_lbfgsb,"[""single_gn_osqp""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,6.558083333333333,37.0,,"{""optimizer_stop"":3}"
09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e,panda,task_excess_isotropic,"[""single_gn_osqp""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,17.057083666666667,116.0,30.0,"{""iteration_limit"":3}"
09356f4513b62701731efafd2203596a897cfefe0acf13426c5f18d02b61686e,panda,point_loop_control,"[""single_gn_osqp""]","[""4f1940d91117f91ea27fc47a289476bf2361c47cbbb34e21aa92e2a9bf8c25da""]",0.0,0.0,2.832757,18.0,9.0,"{""stationary"":3}"
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,single_gn_k0,"[""single_gn_clip""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",0.0,0.0,4.299225333333333,113.0,18.0,"{""stationary"":3}"
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,single_gn_k1,"[""single_gn_clip""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",0.0,0.0,4.008169,104.0,17.0,"{""stationary"":3}"
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,task_excess_gn,"[""single_gn_clip""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",1.0,1.0,1.8066936666666666,10.0,5.0,"{""task_admissible"":3}"
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,task_excess_lbfgsb,"[""single_gn_clip""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",1.0,1.0,3.325986,18.0,,"{""task_admissible"":3}"
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,task_excess_isotropic,"[""single_gn_clip""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",1.0,1.0,1.208003,7.0,2.0,"{""task_admissible"":3}"
0d2f0b8c4906d449cde87c2f3b3eb6368cf63ec256a2ba134f1429a0a8661022,panda,point_loop_control,"[""single_gn_clip""]","[""6292d6a262da269233959d5b381d94998db141290bc3e30dd2208b51a11c8100""]",0.0,0.0,2.954787,19.0,10.0,"{""stationary"":3}"
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,single_gn_k0,"[""single_gn_clip""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,3.834734,100.0,15.0,"{""stationary"":3}"
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,single_gn_k1,"[""single_gn_clip""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,3.8017876666666663,100.0,15.0,"{""stationary"":3}"
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,task_excess_gn,"[""single_gn_clip""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,12.170234333333333,79.0,17.0,"{""stationary"":3}"
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,task_excess_lbfgsb,"[""single_gn_clip""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,7.368345666666667,42.0,,"{""optimizer_stop"":3}"
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,task_excess_isotropic,"[""single_gn_clip""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,20.168479,138.0,27.0,"{""deadline"":3}"
0fadcee75ebee19eeaf8f75e6cb4051343a5b42ad78fcbf01575d902138cfeb5,panda,point_loop_control,"[""single_gn_clip""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,11.359523,83.0,14.0,"{""stationary"":3}"
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,single_gn_k0,"[""single_gn_osqp""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,3.8314713333333335,100.0,15.0,"{""stationary"":3}"
10fa3fce33e1e01e44e4352b9ece7fac8d666b9b0ae0006cd95a27e4ae80f955,panda,single_gn_k1,"[""single_gn_osqp""]","[""700234aadb2ef0f2c5056fb078594221aa97a092642689035f4bffd6e6845062""]",0.0,0.0,4.401346333333333,118.0,16.0,"{""no_descent"":3}"
