site_id,robot,uid,family,method,current_accepted,predicted_gamma,gamma_origin,probe_count,probe_success,success_by_amplitude,all_directions_radius,direction_radii,actual_prediction_error
panda_trajectory_06_f80,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,ranged_ik_upstream,True,2.2877429980756556,common TRAC20 nominal next,147,0.9863945578231292,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":0.9444444444444444}",2.0,"[4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.23034592820466174
panda_trajectory_06_f80,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,ranged_ik_positive_range,False,,,0,,,,,
panda_trajectory_06_f80,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,two_step_predictive,True,3.397540021365069,optimized nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.23034592820466174
panda_trajectory_06_f80,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,cr_ik,True,3.442574635290028,optimized nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.23034592820466174
panda_trajectory_06_f80,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,single_step_reserve,True,2.486870325623259,common TRAC20 nominal next,147,0.9931972789115646,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":0.9722222222222222}",2.0,"[4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.23034592820466174
panda_trajectory_06_f80,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,two_step_sigma,True,2.747273911779455,optimized nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.23034592820466174
panda_trajectory_06_f110,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,trac_task_5ms,True,3.1689049059328362,common TRAC20 nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.17599796217643765
panda_trajectory_06_f110,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,trac_task_20ms,True,3.1689049059328362,common TRAC20 nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.17599796217643765
panda_trajectory_06_f110,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,pink_qp,True,3.17325775889252,common TRAC20 nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.17599796217643765
panda_trajectory_06_f110,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,ranged_ik_upstream,True,2.858415191796701,common TRAC20 nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.17599796217643765
panda_trajectory_06_f110,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,ranged_ik_positive_range,False,,,0,,,,,
panda_trajectory_06_f110,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,two_step_predictive,True,3.6058555481657866,optimized nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.17599796217643765
panda_trajectory_06_f110,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,cr_ik,True,3.6058542427852918,optimized nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.17599796217643765
panda_trajectory_06_f110,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,single_step_reserve,True,2.7628467971947908,common TRAC20 nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.17599796217643765
panda_trajectory_06_f110,panda,0c2a95a498c1bf13c2df4295db29a5367cf069e157e300d36211ce1951b2bf0e,smooth,two_step_sigma,True,2.8061373417722972,optimized nominal next,147,1.0,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":1.0,""4.0"":1.0}",4.0,"[4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0]",0.17599796217643765
panda_trajectory_15_f40,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,trac_task_5ms,True,0.36889831100467907,common TRAC20 nominal next,147,0.8367346938775511,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8333333333333334,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0]",0.0661068722957375
panda_trajectory_15_f40,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,trac_task_20ms,True,0.36889831100467907,common TRAC20 nominal next,147,0.8299319727891157,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8055555555555556,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0]",0.0661068722957375
panda_trajectory_15_f40,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,pink_qp,True,0.40047371754773725,common TRAC20 nominal next,147,0.8367346938775511,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8333333333333334,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0]",0.0661068722957375
panda_trajectory_15_f40,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,ranged_ik_upstream,True,0.33090117438778704,common TRAC20 nominal next,147,0.8435374149659864,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8611111111111112,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0]",0.0661068722957375
panda_trajectory_15_f40,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,ranged_ik_positive_range,False,,,0,,,,,
panda_trajectory_15_f40,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,two_step_predictive,True,0.4056566455922263,optimized nominal next,147,0.8435374149659864,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8611111111111112,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0]",0.0661068722957375
panda_trajectory_15_f40,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,cr_ik,True,0.4100659648341239,optimized nominal next,147,0.8367346938775511,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8333333333333334,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0]",0.0661068722957375
panda_trajectory_15_f40,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,single_step_reserve,True,0.39598063755975116,common TRAC20 nominal next,147,0.8367346938775511,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8333333333333334,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0]",0.0661068722957375
panda_trajectory_15_f40,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,two_step_sigma,True,0.3492722234586544,optimized nominal next,147,0.8367346938775511,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8333333333333334,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0]",0.0661068722957375
panda_trajectory_15_f80,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,trac_task_5ms,True,0.06158619814001488,common TRAC20 nominal next,147,0.8299319727891157,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8055555555555556,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0]",0.045556193289147735
panda_trajectory_15_f80,panda,1742dca2b4e66648ef384a591bc48af258b7ccf01a3b1f0930d212a06b1f978c,near_singular,trac_task_20ms,True,0.06158619814001488,common TRAC20 nominal next,147,0.8299319727891157,"{""0.0"":1.0,""0.5"":1.0,""1.0"":1.0,""2.0"":0.8055555555555556,""4.0"":0.5}",1.0,"[4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0]",0.045556193289147735
