input_uid,robot,sources,accepted_repeats,within20_repeats,repeats,q,position_error_m,orientation_error_rad,max_joint_step_rad,velocity_utilization,latency_p50_ms,latency_p95_ms,actual_nfev,statuses,reasons
f1d3764b99375c8427303c37807b359d6089b6db21f6bd3b78cc8bbaa3d4f88c,panda,"[{""source_csv_row"":13,""trajectory_uid"":""4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab"",""site_id"":""trajectory_14"",""method"":""tar_old"",""repeat"":2,""frame"":114,""family"":""near_singular"",""raw_file"":""outputs/task_recourse/numerical_completion_development/validated_panda/runs/panda_trajectory_14_tar_old_r2.jsonl.gz"",""historical_failure_kind"":""non_finite_or_wrong_shape"",""historical_q"":null}]",3,3,3,"[-2.1123125484071212,0.04926751035328218,2.4156626473862026,-0.5524607100789258,-2.89589401465732,2.064973956613451,-1.7534771112951615]",0.000977735101276413,0.003295270387044122,0.009091385021013476,0.2085180050691164,1.458855,1.5393789,"[5,5,5]","[""task_admissible"",""task_admissible"",""task_admissible""]",[]
6c1fbe485f44255da85b98c10347c096c20e7fbd53c6c49245ff871d82944249,panda,"[{""source_csv_row"":14,""trajectory_uid"":""b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a"",""site_id"":""trajectory_26"",""method"":""tar_old"",""repeat"":0,""frame"":74,""family"":""joint_limit_return"",""raw_file"":""outputs/task_recourse/numerical_completion_development/validated_panda/runs/panda_trajectory_26_tar_old_r0.jsonl.gz"",""historical_failure_kind"":""non_finite_or_wrong_shape"",""historical_q"":null}]",3,3,3,"[-1.2436540392102604,0.544940231146428,0.2861890830951714,-0.9802156051284928,2.895711065951191,2.7613748331356422,0.4719353862809106]",0.00011996673686605634,0.006054266525153804,0.017523004750010784,0.4019037786699721,1.721246,1.7383046000000002,"[5,5,5]","[""task_admissible"",""task_admissible"",""task_admissible""]",[]
34018512fa06d679e3f55cdb4e77edd40a42b5fa057bef6f00a5fb3c96bd796e,panda,"[{""source_csv_row"":15,""trajectory_uid"":""ea5503530085a4b7fba1457389f090742de31c9aa6ebe8907aa867289b032370"",""site_id"":""trajectory_12"",""method"":""tar_old"",""repeat"":0,""frame"":93,""family"":""near_singular"",""raw_file"":""outputs/task_recourse/numerical_completion_development/validated_panda/runs/panda_trajectory_12_tar_old_r0.jsonl.gz"",""historical_failure_kind"":""non_finite_or_wrong_shape"",""historical_q"":null}]",3,3,3,"[0.930695538705839,-0.13100565706242318,1.2499583139775012,-0.26280028028594454,1.444358305929719,2.860125868307489,1.873485428615038]",0.0009566998273165245,0.006435591905425504,0.032239477139196726,0.739437549064145,1.341809,1.3432319,"[4,4,4]","[""task_admissible"",""task_admissible"",""task_admissible""]",[]
b8b73d2fa9e7676acadc30e1d766a96c82230608a2941dd563a973b8da35236a,panda,"[{""source_csv_row"":16,""trajectory_uid"":""4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab"",""site_id"":""trajectory_14"",""method"":""tar_old"",""repeat"":0,""frame"":113,""family"":""near_singular"",""raw_file"":""outputs/task_recourse/numerical_completion_development/validated_panda/runs/panda_trajectory_14_tar_old_r0.jsonl.gz"",""historical_failure_kind"":""non_finite_or_wrong_shape"",""historical_q"":null}]",3,3,3,"[-2.072716935191528,0.051179490579509934,2.3722457809933837,-0.5523055975752085,-2.8924732663652004,2.0649468167269434,-1.7529556809878575]",0.0009238123788050029,0.007168900225663016,0.008346087194228247,0.15958101709805442,1.178001,1.199385,"[4,4,4]","[""task_admissible"",""task_admissible"",""task_admissible""]",[]
411ccdcd0fde26d9cecba60717ddadabc0cad512eba9c667ff363443f274d4ab,panda,"[{""source_csv_row"":17,""trajectory_uid"":""b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a"",""site_id"":""trajectory_26"",""method"":""trac_task_5ms"",""repeat"":2,""frame"":70,""family"":""joint_limit_return"",""raw_file"":""outputs/task_recourse/numerical_completion_development/validated_panda/runs/panda_trajectory_26_trac_task_5ms_r2.jsonl.gz"",""historical_failure_kind"":""internal_nonconvergence+position_tolerance+orientation_tolerance"",""historical_q"":[-1.1330919920705091,0.5310336635570948,0.24977297004247864,-0.943621707922951,2.8968189120709105,2.8170533659702897,0.5107366076041324]}]",3,3,3,"[-1.1428280976650411,0.5300935746062803,0.24055757875325193,-0.955574231584734,2.8877959336358323,2.8024036420516043,0.5234118457542885]",0.0007038668157819171,0.00843252874420763,0.014649723918685353,0.2801094439519188,1.236143,1.246304,"[4,4,4]","[""task_admissible"",""task_admissible"",""task_admissible""]",[]
9f086d7dd95adc6c649009cad25aa782aa41ed4e0dce939862e2dc38021b8fcc,panda,"[{""source_csv_row"":18,""trajectory_uid"":""b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a"",""site_id"":""trajectory_26"",""method"":""tar_old"",""repeat"":1,""frame"":74,""family"":""joint_limit_return"",""raw_file"":""outputs/task_recourse/numerical_completion_development/validated_panda/runs/panda_trajectory_26_tar_old_r1.jsonl.gz"",""historical_failure_kind"":""non_finite_or_wrong_shape"",""historical_q"":null}]",3,3,3,"[-1.2051742091984088,0.5415138654625083,0.2269719575053115,-0.9776129410726272,2.8968590755149966,2.7632635431690717,0.5022632363756132]",0.00021001950081197578,0.008326454263629214,0.021324978962233176,0.4891050220695683,2.23066,2.5555285,"[7,7,7]","[""task_admissible"",""task_admissible"",""task_admissible""]",[]
c85241b6695dfc0954c856434a92b0eaf2e37679044ff064cc22e950f4def478,panda,"[{""source_csv_row"":19,""trajectory_uid"":""4e626ba28da6a8d45d22f023c3732e2d796c83a0e74df2aa41168fe26f6dccab"",""site_id"":""trajectory_14"",""method"":""trac_task_5ms"",""repeat"":2,""frame"":114,""family"":""near_singular"",""raw_file"":""outputs/task_recourse/numerical_completion_development/validated_panda/runs/panda_trajectory_14_trac_task_5ms_r2.jsonl.gz"",""historical_failure_kind"":""internal_nonconvergence+position_tolerance"",""historical_q"":[-2.1747536852143607,0.05313090924129041,2.466043717224148,-0.5606718005343905,-2.8953986925843496,2.0637731138702904,-1.7458615582259494]}]",3,3,3,"[-2.1703305588155035,0.052443096469750566,2.4726314844238066,-0.5587671679502991,-2.895557718361492,2.0661692645693193,-1.7605150306176631]",0.0009438834154415658,0.008188970935341778,0.014653472391713773,0.2801811164763628,1.201026,1.2104985,"[4,4,4]","[""task_admissible"",""task_admissible"",""task_admissible""]",[]
922064c7701fd3e635320b0f0715388af679b3d9afb9214c6b9741ab9c8d11c1,panda,"[{""source_csv_row"":20,""trajectory_uid"":""b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a"",""site_id"":""trajectory_26"",""method"":""tar_corrected"",""repeat"":0,""frame"":74,""family"":""joint_limit_return"",""raw_file"":""outputs/task_recourse/numerical_completion_development/validated_panda/runs/panda_trajectory_26_tar_corrected_r0.jsonl.gz"",""historical_failure_kind"":""non_finite_or_wrong_shape"",""historical_q"":null}]",3,3,3,"[-1.1963944142056526,0.5390443503791958,0.21266887689739672,-0.9807610085518633,2.897293319178487,2.759940473074349,0.5110301549102269]",0.00014693070887950997,0.008434994439388135,0.0163548672067578,0.37511163318251833,1.977702,2.0395095,"[6,6,6]","[""task_admissible"",""task_admissible"",""task_admissible""]",[]
98f4df42d177e3501d1af10ef7c4225ef0ae4a8c9d4c6caf612cd841ecd03ad6,panda,"[{""source_csv_row"":21,""trajectory_uid"":""ca9065ec04392f64d1cce7cea6e6ae7ba224495be6a41fa0902e34ddeb925465"",""site_id"":""trajectory_17"",""method"":""trac_task_5ms"",""repeat"":1,""frame"":118,""family"":""near_singular"",""raw_file"":""outputs/task_recourse/numerical_completion_development/validated_panda/runs/panda_trajectory_17_trac_task_5ms_r1.jsonl.gz"",""historical_failure_kind"":""internal_nonconvergence+position_tolerance+orientation_tolerance"",""historical_q"":[2.8910998001666632,0.19204650057859823,1.660299208959349,-0.6618224723005,0.8554979313070099,0.3431317776754041,0.08289400339231225]}]",3,3,3,"[2.89504188992826,0.19462475062923043,1.6613192225425477,-0.6669426639853769,0.8539337295398007,0.34603651887966197,0.08329231232480351]",0.000710772089178875,0.005851942422183432,0.005120191684876985,0.11743558910268313,1.336365,1.4091236999999999,"[5,5,5]","[""task_admissible"",""task_admissible"",""task_admissible""]",[]
160a6000dbffd33626af692b59d99139cfe60861434e36f2f39ef563ee3deeb9,panda,"[{""source_csv_row"":22,""trajectory_uid"":""b47f91198895baa3999a406c9c32516cd3e78dd7e42a8bccccc4cd058a03020a"",""site_id"":""trajectory_26"",""method"":""trac_task_5ms"",""repeat"":1,""frame"":74,""family"":""joint_limit_return"",""raw_file"":""outputs/task_recourse/numerical_completion_development/validated_panda/runs/panda_trajectory_26_trac_task_5ms_r1.jsonl.gz"",""historical_failure_kind"":""internal_nonconvergence+position_tolerance+orientation_tolerance"",""historical_q"":[-1.1718982312448858,0.5371019303630358,0.20162398163655182,-0.971237969079529,2.897297713181713,2.77097304702346,0.5203285716976803]}]",3,3,3,"[-1.1987236253745892,0.5390900837136184,0.21609214359944656,-0.9814539568901584,2.8972225460970717,2.7580843331193345,0.5097975810196068]",0.0001751821723672532,0.008108806831420531,0.026825394129703417,0.6152613332500784,2.367373,2.4246822999999997,"[8,8,8]","[""task_admissible"",""task_admissible"",""task_admissible""]",[]
